Date,sell GT,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,9.97
2004-02-13,0,8.71
2004-02-20,0,8.15
2004-02-27,0,8.42
2004-03-05,0,8.48
2004-03-12,0,7.90
2004-03-19,0,7.61
2004-03-26,0,7.54
2004-04-02,0,9.01
2004-04-09,0,
2004-04-16,0,8.90
2004-04-23,0,9.23
2004-04-30,0,8.71
2004-05-07,0,8.47
2004-05-14,0,8.02
2004-05-21,0,8.24
2004-05-28,0,8.70
2004-06-04,0,8.66
2004-06-11,0,
2004-06-18,0,9.89
2004-06-25,0,9.85
2004-07-02,0,9.33
2004-07-09,0,9.59
2004-07-16,0,9.65
2004-07-23,0,10.14
2004-07-30,0,10.95
2004-08-06,0,10.40
2004-08-13,0,10.49
2004-08-20,0,10.91
2004-08-27,0,10.83
2004-09-03,0,11.67
2004-09-10,0,11.54
2004-09-17,0,10.97
2004-09-24,0,10.63
2004-10-01,0,10.86
2004-10-08,0,10.12
2004-10-15,0,9.61
2004-10-22,0,9.62
2004-10-29,0,10.08
2004-11-05,0,11.80
2004-11-12,0,11.66
2004-11-19,0,12.21
2004-11-26,0,12.50
2004-12-03,0,13.08
2004-12-10,0,12.72
2004-12-17,0,14.24
2004-12-24,0,
2004-12-31,0,14.66
2005-01-07,0,14.70
2005-01-14,0,15.32
2005-01-21,0,14.52
2005-01-28,0,15.37
2005-02-04,0,14.42
2005-02-11,0,14.00
2005-02-18,0,13.79
2005-02-25,0,14.71
2005-03-04,0,14.53
2005-03-11,0,14.76
2005-03-18,0,13.65
2005-03-25,0,
2005-04-01,0,13.06
2005-04-08,0,12.80
2005-04-15,0,11.47
2005-04-22,0,11.77
2005-04-29,0,11.87
2005-05-06,0,13.29
2005-05-13,0,13.50
2005-05-20,0,14.19
2005-05-27,0,14.59
2005-06-03,0,14.30
2005-06-10,0,14.25
2005-06-17,0,14.86
2005-06-24,0,14.24
2005-07-01,0,15.12
2005-07-08,0,15.30
2005-07-15,0,15.90
2005-07-22,0,16.12
2005-07-29,0,17.41
2005-08-05,0,18.49
2005-08-12,0,17.54
2005-08-19,0,17.08
2005-08-26,0,16.55
2005-09-02,0,16.57
2005-09-09,0,16.74
2005-09-16,0,16.24
2005-09-23,0,15.50
2005-09-30,0,15.59
2005-10-07,0,14.14
2005-10-14,0,13.94
2005-10-21,0,13.60
2005-10-28,0,15.24
2005-11-04,0,15.74
2005-11-11,0,15.59
2005-11-18,0,16.13
2005-11-25,0,16.97
2005-12-02,0,17.09
2005-12-09,0,17.11
2005-12-16,0,17.50
2005-12-23,0,17.90
2005-12-30,0,17.38
2006-01-06,0,18.47
2006-01-13,0,18.25
2006-01-20,0,17.63
2006-01-27,0,18.87
2006-02-03,0,15.21
2006-02-10,0,14.91
2006-02-17,0,14.87
2006-02-24,0,14.55
2006-03-03,0,13.42
2006-03-10,0,13.18
2006-03-17,0,13.73
2006-03-24,0,14.02
2006-03-31,0,14.48
2006-04-07,0,13.89
2006-04-14,0,
2006-04-21,0,13.90
2006-04-28,0,14.00
2006-05-05,0,15.20
2006-05-12,0,14.50
2006-05-19,0,13.53
2006-05-26,0,13.04
2006-06-02,0,12.58
2006-06-09,0,11.81
2006-06-16,0,11.67
2006-06-23,0,10.99
2006-06-30,0,11.10
2006-07-07,0,10.60
2006-07-14,0,9.99
2006-07-21,0,9.94
2006-07-28,0,10.57
2006-08-04,0,11.79
2006-08-11,0,11.30
2006-08-18,0,11.69
2006-08-25,0,12.16
2006-09-01,0,13.77
2006-09-08,0,14.57
2006-09-15,0,14.22
2006-09-22,0,14.35
2006-09-29,0,14.50
2006-10-06,0,14.46
2006-10-13,0,14.56
2006-10-20,0,14.70
2006-10-27,0,14.96
2006-11-03,0,15.28
2006-11-10,0,18.02
2006-11-17,0,18.00
2006-11-24,0,17.89
2006-12-01,0,16.80
2006-12-08,0,17.72
2006-12-15,0,19.20
2006-12-22,0,19.72
2006-12-29,0,20.99
2007-01-05,0,23.28
2007-01-12,0,24.51
2007-01-19,0,24.22
2007-01-26,0,24.70
2007-02-02,0,24.89
2007-02-09,0,25.11
2007-02-16,0,25.18
2007-02-23,0,26.12
2007-03-02,0,27.19
2007-03-09,0,28.51
2007-03-16,0,28.26
2007-03-23,0,30.29
2007-03-30,0,31.19
2007-04-06,0,
2007-04-13,0,33.18
2007-04-20,0,32.51
2007-04-27,0,34.41
2007-05-04,0,33.68
2007-05-11,0,32.96
2007-05-18,0,34.98
2007-05-25,0,34.44
2007-06-01,0,36.13
2007-06-08,0,35.13
2007-06-15,0,35.32
2007-06-22,0,34.67
2007-06-29,0,34.76
2007-07-06,0,36.57
2007-07-13,0,36.03
2007-07-20,0,34.95
2007-07-27,0,27.00
2007-08-03,0,26.43
2007-08-10,0,27.25
2007-08-17,0,27.69
2007-08-24,0,28.84
2007-08-31,0,27.66
2007-09-07,0,25.92
2007-09-14,0,25.52
2007-09-21,0,29.15
2007-09-28,0,30.41
2007-10-05,0,30.01
2007-10-12,0,30.76
2007-10-19,0,28.51
2007-10-26,0,27.48
2007-11-02,0,30.48
2007-11-09,0,27.11
2007-11-16,0,27.23
2007-11-23,0,26.58
2007-11-30,0,28.75
2007-12-07,0,28.44
2007-12-14,0,26.46
2007-12-21,0,28.75
2007-12-28,0,28.51
2008-01-04,0,24.58
2008-01-11,0,24.28
2008-01-18,0,24.25
2008-01-25,0,25.07
2008-02-01,0,26.07
2008-02-08,0,23.69
2008-02-15,0,26.86
2008-02-22,0,26.93
2008-02-29,0,27.10
2008-03-07,0,25.61
2008-03-14,0,25.61
2008-03-21,0,
2008-03-28,0,24.80
2008-04-04,0,26.58
2008-04-11,0,25.50
2008-04-18,0,27.40
2008-04-25,0,28.91
2008-05-02,0,27.18
2008-05-09,0,27.88
2008-05-16,0,28.98
2008-05-23,0,25.29
2008-05-30,0,25.41
2008-06-06,0,23.11
2008-06-13,0,23.14
2008-06-20,0,20.34
2008-06-27,0,18.25
2008-07-04,0,
2008-07-11,0,16.98
2008-07-18,0,18.53
2008-07-25,0,19.49
2008-08-01,0,19.20
2008-08-08,0,21.33
2008-08-15,0,21.41
2008-08-22,0,20.36
2008-08-29,0,19.61
2008-09-05,0,20.59
2008-09-12,0,18.35
2008-09-19,0,17.18
2008-09-26,0,16.57
2008-10-03,0,12.55
2008-10-10,0,12.20
2008-10-17,0,11.70
2008-10-24,0,8.89
2008-10-31,0,8.92
2008-11-07,0,7.14
2008-11-14,0,5.42
2008-11-21,0,5.01
2008-11-28,0,6.43
2008-12-05,0,6.07
2008-12-12,0,6.14
2008-12-19,0,6.12
2008-12-26,0,5.58
2009-01-02,0,6.51
2009-01-09,0,7.63
2009-01-16,0,6.71
2009-01-23,0,6.49
2009-01-30,0,6.17
2009-02-06,0,7.17
2009-02-13,0,6.92
2009-02-20,38,5.97
2009-02-27,39,4.44
2009-03-06,39,3.51
2009-03-13,40,5.24
2009-03-20,0,5.84
2009-03-27,0,6.85
2009-04-03,0,7.40
2009-04-10,0,
2009-04-17,0,10.21
2009-04-24,31,10.87
2009-05-01,30,11.41
2009-05-08,30,13.30
2009-05-15,30,11.24
2009-05-22,30,11.45
2009-05-29,30,11.45
2009-06-05,0,12.94
2009-06-12,0,12.41
2009-06-19,0,12.23
2009-06-26,0,11.22
2009-07-03,0,
2009-07-10,40,10.98
2009-07-17,31,12.92
2009-07-24,31,14.47
2009-07-31,31,17.02
2009-08-07,31,18.11
2009-08-14,34,17.80
2009-08-21,36,17.97
2009-08-28,30,16.20
2009-09-04,30,16.35
2009-09-11,30,17.27
2009-09-18,30,17.08
2009-09-25,30,16.02
2009-10-02,30,15.35
2009-10-09,0,17.23
2009-10-16,0,17.46
2009-10-23,0,17.75
2009-10-30,0,12.88
2009-11-06,0,13.13
2009-11-13,0,14.34
2009-11-20,0,14.11
2009-11-27,0,13.69
2009-12-04,25,14.56
2009-12-11,0,14.89
2009-12-18,0,14.34
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,15.94
2010-01-15,0,15.02
2010-01-22,0,13.24
2010-01-29,0,13.34
2010-02-05,0,12.64
2010-02-12,0,13.28
2010-02-19,0,13.46
2010-02-26,0,12.99
2010-03-05,0,13.70
2010-03-12,0,13.82
2010-03-19,0,13.01
2010-03-26,0,13.03
2010-04-02,0,
2010-04-09,29,12.87
2010-04-16,24,14.27
2010-04-23,24,14.58
2010-04-30,24,13.43
2010-05-07,0,12.11
2010-05-14,0,13.05
2010-05-21,0,11.33
2010-05-28,0,11.90
2010-06-04,0,11.49
2010-06-11,0,11.59
2010-06-18,0,11.99
2010-06-25,0,11.40
2010-07-02,0,10.01
2010-07-09,0,10.89
2010-07-16,0,10.94
2010-07-23,0,12.22
2010-07-30,43,10.67
2010-08-06,29,11.15
2010-08-13,29,9.98
2010-08-20,22,9.85
2010-08-27,22,9.69
2010-09-03,24,10.30
2010-09-10,25,10.35
2010-09-17,27,11.16
2010-09-24,24,10.82
2010-10-01,24,10.85
2010-10-08,24,11.57
2010-10-15,24,11.97
2010-10-22,24,11.74
2010-10-29,20,10.22
2010-11-05,21,10.47
2010-11-12,21,10.10
2010-11-19,19,10.33
2010-11-26,19,10.03
2010-12-03,19,9.93
2010-12-10,29,11.35
2010-12-17,19,11.64
2010-12-24,22,
2010-12-31,24,11.85
2011-01-07,20,12.90
2011-01-14,20,12.13
2011-01-21,20,11.58
2011-01-28,29,11.66
2011-02-04,27,12.76
2011-02-11,27,14.30
2011-02-18,23,14.89
2011-02-25,23,13.90
2011-03-04,17,13.68
2011-03-11,17,14.98
2011-03-18,26,14.82
2011-03-25,19,15.45
2011-04-01,19,15.22
2011-04-08,20,15.00
2011-04-15,20,15.15
2011-04-22,20,
2011-04-29,25,18.15
2011-05-06,25,17.56
2011-05-13,19,17.77
2011-05-20,19,17.57
2011-05-27,19,17.51
2011-06-03,17,16.51
2011-06-10,17,14.99
2011-06-17,19,14.80
2011-06-24,18,15.88
2011-07-01,17,17.29
2011-07-08,18,17.23
2011-07-15,19,17.84
2011-07-22,19,17.89
2011-07-29,32,16.17
2011-08-05,27,13.55
2011-08-12,27,13.48
2011-08-19,27,10.88
2011-08-26,20,11.81
2011-09-02,20,11.50
2011-09-09,24,10.78
2011-09-16,26,11.09
2011-09-23,17,9.86
2011-09-30,19,10.09
2011-10-07,20,10.30
2011-10-14,21,12.27
2011-10-21,22,12.97
2011-10-28,26,14.84
2011-11-04,26,14.30
2011-11-11,18,13.93
2011-11-18,18,12.76
2011-11-25,18,11.93
2011-12-02,20,14.12
2011-12-09,22,14.55
2011-12-16,15,13.58
2011-12-23,22,14.31
2011-12-30,23,14.17
2012-01-06,28,15.15
2012-01-13,21,13.50
2012-01-20,20,13.65
2012-01-27,21,13.50
2012-02-03,22,13.86
2012-02-10,18,13.88
2012-02-17,22,13.42
2012-02-24,22,13.11
2012-03-02,22,13.12
2012-03-09,20,12.38
2012-03-16,18,12.16
2012-03-23,23,11.91
2012-03-30,17,11.22
2012-04-06,21,
2012-04-13,17,10.59
2012-04-20,18,11.24
2012-04-27,17,11.32
2012-05-04,17,10.84
2012-05-11,17,10.55
2012-05-18,22,10.04
2012-05-25,19,10.59
2012-06-01,25,9.87
2012-06-08,26,10.49
2012-06-15,28,11.02
2012-06-22,23,11.46
2012-06-29,23,11.81
2012-07-06,23,11.09
2012-07-13,20,10.24
2012-07-20,30,9.81
2012-07-27,22,10.57
2012-08-03,19,11.16
2012-08-10,18,11.74
2012-08-17,22,12.04
2012-08-24,22,11.88
2012-08-31,13,12.20
2012-09-07,25,13.16
2012-09-14,21,13.51
2012-09-21,17,12.73
2012-09-28,18,12.19
2012-10-05,18,12.74
2012-10-12,15,12.28
2012-10-19,36,12.39
2012-10-26,25,11.02
2012-11-02,16,11.60
2012-11-09,16,11.53
2012-11-16,18,11.16
2012-11-23,15,11.83
2012-11-30,17,12.60
2012-12-07,21,12.78
2012-12-14,12,12.95
2012-12-21,15,13.08
2012-12-28,19,13.29
2013-01-04,26,14.35
2013-01-11,22,13.78
2013-01-18,17,13.81
2013-01-25,18,13.87
2013-02-01,20,13.78
2013-02-08,16,13.59
2013-02-15,16,14.10
2013-02-22,19,13.45
2013-03-01,23,12.96
2013-03-08,26,13.08
2013-03-15,21,13.73
2013-03-22,25,12.80
2013-03-29,12,
2013-04-05,17,12.16
2013-04-12,25,12.51
2013-04-19,20,12.14
2013-04-26,20,12.51
2013-05-03,21,12.37
2013-05-10,17,12.85
2013-05-17,18,14.74
2013-05-24,15,14.55
2013-05-31,20,15.14
2013-06-07,24,14.82
2013-06-14,19,15.31
2013-06-21,13,14.94
2013-06-28,26,15.30
2013-07-05,21,15.86
2013-07-12,19,16.60
2013-07-19,24,17.23
2013-07-26,23,16.78
2013-08-02,23,19.02
2013-08-09,31,19.05
2013-08-16,19,18.72
2013-08-23,19,18.84
2013-08-30,23,20.12
2013-09-06,20,20.79
2013-09-13,19,21.82
2013-09-20,19,22.21
2013-09-27,18,22.46
2013-10-04,24,23.01
2013-10-11,74,22.64
2013-10-18,100,22.63
2013-10-25,75,22.21
2013-11-01,77,20.86
2013-11-08,59,21.06
2013-11-15,60,21.65
2013-11-22,41,21.75
2013-11-29,33,22.26
2013-12-06,54,22.56
2013-12-13,40,22.62
2013-12-20,31,22.93
2013-12-27,25,23.54
2014-01-03,38,23.37
2014-01-10,36,25.99
2014-01-17,26,24.53
2014-01-24,38,23.04
2014-01-31,40,23.66
2014-02-07,32,23.53
2014-02-14,26,26.76
2014-02-21,38,26.54
2014-02-28,28,26.87
2014-03-07,37,27.66
2014-03-14,30,27.29
2014-03-21,29,26.92
2014-03-28,27,25.94
2014-04-04,23,25.56
2014-04-11,24,25.21
2014-04-18,33,
2014-04-25,23,27.44
2014-05-02,0,
