Date,McGraw Hill Financial,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,76.67
2004-02-13,0,76.36
2004-02-20,0,76.75
2004-02-27,0,78.17
2004-03-05,0,77.23
2004-03-12,0,76.37
2004-03-19,0,76.80
2004-03-26,0,75.04
2004-04-02,0,77.72
2004-04-09,0,
2004-04-16,0,77.72
2004-04-23,0,78.35
2004-04-30,0,78.86
2004-05-07,0,78.28
2004-05-14,0,77.65
2004-05-21,0,76.57
2004-05-28,0,77.92
2004-06-04,0,77.34
2004-06-11,0,
2004-06-18,0,76.87
2004-06-25,0,77.13
2004-07-02,0,75.66
2004-07-09,0,74.64
2004-07-16,0,74.08
2004-07-23,0,73.60
2004-07-30,0,75.06
2004-08-06,0,73.50
2004-08-13,0,73.53
2004-08-20,0,75.48
2004-08-27,0,74.79
2004-09-03,0,77.30
2004-09-10,0,76.55
2004-09-17,0,77.80
2004-09-24,0,78.70
2004-10-01,0,79.03
2004-10-08,0,79.46
2004-10-15,0,79.52
2004-10-22,0,83.12
2004-10-29,0,86.25
2004-11-05,0,87.94
2004-11-12,0,87.15
2004-11-19,0,87.35
2004-11-26,0,88.52
2004-12-03,0,87.46
2004-12-10,0,90.50
2004-12-17,0,90.58
2004-12-24,0,
2004-12-31,0,91.54
2005-01-07,0,91.61
2005-01-14,0,90.84
2005-01-21,0,92.03
2005-01-28,0,90.01
2005-02-04,0,94.17
2005-02-11,0,94.93
2005-02-18,0,93.06
2005-02-25,0,92.65
2005-03-04,0,95.91
2005-03-11,0,87.54
2005-03-18,0,88.70
2005-03-25,0,
2005-04-01,0,86.03
2005-04-08,0,86.04
2005-04-15,0,81.67
2005-04-22,0,82.48
2005-04-29,0,87.08
2005-05-06,0,89.31
2005-05-13,0,87.13
2005-05-20,0,43.41
2005-05-27,0,43.60
2005-06-03,0,43.58
2005-06-10,0,43.58
2005-06-17,0,43.50
2005-06-24,0,44.00
2005-07-01,0,44.19
2005-07-08,0,43.82
2005-07-15,0,44.31
2005-07-22,0,44.74
2005-07-29,0,46.01
2005-08-05,0,47.21
2005-08-12,0,47.48
2005-08-19,0,47.94
2005-08-26,0,47.86
2005-09-02,0,48.03
2005-09-09,0,48.28
2005-09-16,0,47.90
2005-09-23,0,47.45
2005-09-30,0,48.04
2005-10-07,0,47.04
2005-10-14,0,46.53
2005-10-21,0,47.69
2005-10-28,0,48.73
2005-11-04,0,50.90
2005-11-11,0,51.81
2005-11-18,0,52.76
2005-11-25,0,53.02
2005-12-02,0,53.48
2005-12-09,0,53.08
2005-12-16,0,52.37
2005-12-23,0,52.18
2005-12-30,0,51.63
2006-01-06,0,52.45
2006-01-13,0,47.95
2006-01-20,0,49.34
2006-01-27,0,51.07
2006-02-03,0,51.84
2006-02-10,0,53.43
2006-02-17,0,54.76
2006-02-24,0,54.31
2006-03-03,0,54.43
2006-03-10,0,54.90
2006-03-17,0,58.26
2006-03-24,0,57.39
2006-03-31,0,57.62
2006-04-07,0,58.17
2006-04-14,0,
2006-04-21,0,57.19
2006-04-28,0,55.66
2006-05-05,0,54.83
2006-05-12,0,53.61
2006-05-19,0,52.23
2006-05-26,0,52.35
2006-06-02,0,51.92
2006-06-09,0,51.77
2006-06-16,0,52.41
2006-06-23,0,49.94
2006-06-30,0,50.23
2006-07-07,0,51.28
2006-07-14,0,48.77
2006-07-21,0,48.97
2006-07-28,0,55.43
2006-08-04,0,57.23
2006-08-11,0,57.08
2006-08-18,0,56.10
2006-08-25,0,56.15
2006-09-01,0,56.72
2006-09-08,0,56.55
2006-09-15,0,56.80
2006-09-22,0,56.30
2006-09-29,0,58.03
2006-10-06,0,58.65
2006-10-13,0,58.19
2006-10-20,0,63.10
2006-10-27,0,63.26
2006-11-03,0,64.33
2006-11-10,0,64.20
2006-11-17,0,65.34
2006-11-24,0,65.53
2006-12-01,0,66.41
2006-12-08,0,66.60
2006-12-15,0,69.00
2006-12-22,0,68.23
2006-12-29,0,68.02
2007-01-05,0,66.81
2007-01-12,0,67.89
2007-01-19,0,69.12
2007-01-26,0,66.83
2007-02-02,0,67.30
2007-02-09,0,68.37
2007-02-16,0,68.58
2007-02-23,0,66.78
2007-03-02,0,64.15
2007-03-09,0,64.79
2007-03-16,0,62.92
2007-03-23,0,66.00
2007-03-30,0,62.88
2007-04-06,0,
2007-04-13,0,61.38
2007-04-20,0,64.16
2007-04-27,0,66.25
2007-05-04,0,67.67
2007-05-11,0,69.85
2007-05-18,0,70.02
2007-05-25,0,70.19
2007-06-01,0,70.39
2007-06-08,0,69.45
2007-06-15,0,71.00
2007-06-22,0,68.83
2007-06-29,0,68.08
2007-07-06,0,67.67
2007-07-13,0,63.57
2007-07-20,0,63.34
2007-07-27,0,60.01
2007-08-03,0,56.34
2007-08-10,0,54.07
2007-08-17,0,49.14
2007-08-24,0,50.15
2007-08-31,0,50.46
2007-09-07,0,49.27
2007-09-14,0,49.25
2007-09-21,0,50.78
2007-09-28,0,50.91
2007-10-05,0,54.06
2007-10-12,0,52.77
2007-10-19,0,50.17
2007-10-26,0,49.75
2007-11-02,0,46.44
2007-11-09,0,46.87
2007-11-16,0,46.93
2007-11-23,0,46.18
2007-11-30,0,49.08
2007-12-07,0,46.24
2007-12-14,0,45.42
2007-12-21,0,44.90
2007-12-28,0,43.86
2008-01-04,0,40.81
2008-01-11,0,42.71
2008-01-18,0,38.58
2008-01-25,0,42.00
2008-02-01,0,44.06
2008-02-08,0,40.66
2008-02-15,0,40.94
2008-02-22,0,41.11
2008-02-29,0,40.93
2008-03-07,0,38.89
2008-03-14,0,35.60
2008-03-21,0,
2008-03-28,0,37.35
2008-04-04,0,38.77
2008-04-11,0,36.46
2008-04-18,0,38.73
2008-04-25,0,40.04
2008-05-02,0,41.51
2008-05-09,0,40.85
2008-05-16,0,44.50
2008-05-23,0,39.92
2008-05-30,0,41.49
2008-06-06,0,44.36
2008-06-13,0,43.73
2008-06-20,0,43.17
2008-06-27,0,40.72
2008-07-04,0,
2008-07-11,0,36.11
2008-07-18,0,38.55
2008-07-25,0,38.25
2008-08-01,0,41.67
2008-08-08,0,44.09
2008-08-15,0,44.99
2008-08-22,0,43.26
2008-08-29,0,42.84
2008-09-05,0,43.38
2008-09-12,0,43.61
2008-09-19,0,38.15
2008-09-26,0,34.03
2008-10-03,54,28.62
2008-10-10,0,21.81
2008-10-17,0,24.29
2008-10-24,0,20.87
2008-10-31,0,26.86
2008-11-07,0,25.00
2008-11-14,0,23.36
2008-11-21,0,20.72
2008-11-28,0,25.00
2008-12-05,0,24.23
2008-12-12,0,23.14
2008-12-19,51,24.31
2008-12-26,0,23.01
2009-01-02,0,24.61
2009-01-09,0,23.52
2009-01-16,0,21.44
2009-01-23,0,20.31
2009-01-30,47,21.99
2009-02-06,0,25.00
2009-02-13,0,23.87
2009-02-20,0,21.16
2009-02-27,0,19.73
2009-03-06,0,17.64
2009-03-13,0,19.70
2009-03-20,0,18.91
2009-03-27,0,24.71
2009-04-03,0,24.41
2009-04-10,0,
2009-04-17,0,29.47
2009-04-24,0,29.07
2009-05-01,0,30.61
2009-05-08,0,33.71
2009-05-15,0,30.12
2009-05-22,0,30.84
2009-05-29,0,30.09
2009-06-05,0,30.75
2009-06-12,0,31.99
2009-06-19,0,29.69
2009-06-26,0,29.60
2009-07-03,0,
2009-07-10,0,30.08
2009-07-17,0,32.36
2009-07-24,0,32.53
2009-07-31,0,31.35
2009-08-07,0,30.04
2009-08-14,0,28.60
2009-08-21,0,29.67
2009-08-28,0,33.61
2009-09-04,50,29.10
2009-09-11,49,27.70
2009-09-18,40,26.81
2009-09-25,40,23.67
2009-10-02,40,24.62
2009-10-09,40,27.28
2009-10-16,43,29.58
2009-10-23,0,30.49
2009-10-30,0,28.78
2009-11-06,0,29.32
2009-11-13,0,31.06
2009-11-20,0,30.99
2009-11-27,0,30.45
2009-12-04,0,31.93
2009-12-11,41,34.82
2009-12-18,0,34.24
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,33.95
2010-01-15,0,33.23
2010-01-22,0,33.26
2010-01-29,45,35.45
2010-02-05,42,34.22
2010-02-12,45,34.17
2010-02-19,48,35.33
2010-02-26,50,34.20
2010-03-05,37,35.28
2010-03-12,37,35.05
2010-03-19,37,35.77
2010-03-26,37,35.62
2010-04-02,0,
2010-04-09,0,35.81
2010-04-16,0,34.76
2010-04-23,0,33.25
2010-04-30,0,33.72
2010-05-07,45,30.28
2010-05-14,0,28.98
2010-05-21,0,28.41
2010-05-28,0,27.80
2010-06-04,0,27.34
2010-06-11,0,28.87
2010-06-18,43,30.10
2010-06-25,0,29.74
2010-07-02,0,27.80
2010-07-09,0,29.49
2010-07-16,0,29.33
2010-07-23,0,29.66
2010-07-30,0,30.69
2010-08-06,0,30.58
2010-08-13,0,29.03
2010-08-20,0,28.18
2010-08-27,0,28.35
2010-09-03,0,29.68
2010-09-10,44,30.24
2010-09-17,37,30.55
2010-09-24,30,33.18
2010-10-01,42,32.99
2010-10-08,39,34.33
2010-10-15,36,35.54
2010-10-22,37,36.40
2010-10-29,38,37.65
2010-11-05,39,39.31
2010-11-12,39,36.60
2010-11-19,40,35.13
2010-11-26,0,34.31
2010-12-03,0,35.69
2010-12-10,0,35.98
2010-12-17,0,36.30
2010-12-24,0,
2010-12-31,0,36.41
2011-01-07,0,37.74
2011-01-14,0,37.50
2011-01-21,27,37.64
2011-01-28,39,38.27
2011-02-04,30,36.58
2011-02-11,29,37.45
2011-02-18,31,38.85
2011-02-25,33,38.07
2011-03-04,37,38.13
2011-03-11,41,37.54
2011-03-18,28,37.95
2011-03-25,29,38.53
2011-04-01,30,39.19
2011-04-08,31,38.97
2011-04-15,34,39.31
2011-04-22,37,
2011-04-29,40,40.47
2011-05-06,44,41.09
2011-05-13,31,42.08
2011-05-20,31,42.80
2011-05-27,0,42.20
2011-06-03,0,41.18
2011-06-10,0,40.84
2011-06-17,0,39.61
2011-06-24,0,39.51
2011-07-01,0,42.40
2011-07-08,0,42.38
2011-07-15,26,42.34
2011-07-22,27,43.92
2011-07-29,28,41.60
2011-08-05,31,41.72
2011-08-12,33,37.77
2011-08-19,25,37.00
2011-08-26,29,40.59
2011-09-02,36,40.62
2011-09-09,49,38.72
2011-09-16,51,45.29
2011-09-23,58,42.93
2011-09-30,51,41.00
2011-10-07,44,41.83
2011-10-14,26,44.97
2011-10-21,27,44.62
2011-10-28,32,43.36
2011-11-04,33,42.49
2011-11-11,34,43.22
2011-11-18,35,43.16
2011-11-25,36,40.54
2011-12-02,37,43.22
2011-12-09,41,43.21
2011-12-16,44,42.75
2011-12-23,46,45.15
2011-12-30,49,44.97
2012-01-06,51,46.01
2012-01-13,54,46.09
2012-01-20,41,46.26
2012-01-27,29,46.90
2012-02-03,30,46.39
2012-02-10,30,45.52
2012-02-17,24,45.97
2012-02-24,22,46.03
2012-03-02,33,46.23
2012-03-09,33,46.60
2012-03-16,30,47.54
2012-03-23,24,47.18
2012-03-30,28,48.47
2012-04-06,21,
2012-04-13,22,48.57
2012-04-20,24,49.53
2012-04-27,26,49.22
2012-05-04,21,48.70
2012-05-11,26,47.29
2012-05-18,27,44.51
2012-05-25,28,44.54
2012-06-01,29,42.76
2012-06-08,30,43.52
2012-06-15,31,42.50
2012-06-22,26,43.15
2012-06-29,26,45.00
2012-07-06,26,45.21
2012-07-13,20,46.21
2012-07-20,20,46.99
2012-07-27,20,47.03
2012-08-03,21,48.42
2012-08-10,22,49.19
2012-08-17,23,49.11
2012-08-24,24,49.57
2012-08-31,41,51.20
2012-09-07,47,52.91
2012-09-14,50,53.51
2012-09-21,38,54.50
2012-09-28,53,54.59
2012-10-05,45,55.83
2012-10-12,29,55.36
2012-10-19,27,56.09
2012-10-26,29,56.03
2012-11-02,27,54.43
2012-11-09,22,50.77
2012-11-16,27,50.73
2012-11-23,25,51.94
2012-11-30,33,53.11
2012-12-07,33,56.53
2012-12-14,39,53.98
2012-12-21,37,54.04
2012-12-28,37,53.23
2013-01-04,37,55.10
2013-01-11,37,53.87
2013-01-18,31,54.34
2013-01-25,38,56.98
2013-02-01,40,58.34
2013-02-08,43,42.67
2013-02-15,45,44.95
2013-02-22,30,46.04
2013-03-01,34,47.26
2013-03-08,35,47.56
2013-03-15,45,48.90
2013-03-22,17,48.37
2013-03-29,38,
2013-04-05,26,51.54
2013-04-12,30,51.80
2013-04-19,24,51.85
2013-04-26,44,52.00
2013-05-03,59,54.43
2013-05-10,42,55.69
2013-05-17,64,55.70
2013-05-24,49,53.45
2013-05-31,40,54.55
2013-06-07,54,54.74
2013-06-14,42,54.73
2013-06-21,44,54.41
2013-06-28,53,53.19
2013-07-05,26,54.87
2013-07-12,54,57.44
2013-07-19,44,58.49
2013-07-26,44,60.50
2013-08-02,39,62.76
2013-08-09,39,62.76
2013-08-16,63,60.66
2013-08-23,75,60.00
2013-08-30,69,58.37
2013-09-06,69,60.03
2013-09-13,80,61.74
2013-09-20,82,65.68
2013-09-27,86,65.92
2013-10-04,88,66.03
2013-10-11,94,67.85
2013-10-18,66,68.93
2013-10-25,76,71.35
2013-11-01,67,71.08
2013-11-08,68,71.42
2013-11-15,66,72.12
2013-11-22,65,74.28
2013-11-29,46,74.50
2013-12-06,65,74.73
2013-12-13,47,72.20
2013-12-20,57,76.00
2013-12-27,48,77.47
2014-01-03,48,77.54
2014-01-10,92,78.04
2014-01-17,98,76.75
2014-01-24,81,73.27
2014-01-31,75,76.04
2014-02-07,100,79.97
2014-02-14,78,81.53
2014-02-21,59,80.22
2014-02-28,81,79.66
2014-03-07,89,81.70
2014-03-14,56,79.55
2014-03-21,70,76.87
2014-03-28,59,75.01
2014-04-04,56,75.17
2014-04-11,71,71.98
2014-04-18,56,
2014-04-25,59,75.05
2014-05-02,69,
