Date,buy LEG,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,24.84
2004-02-13,0,24.28
2004-02-20,0,24.61
2004-02-27,0,24.47
2004-03-05,0,24.79
2004-03-12,0,23.75
2004-03-19,0,22.89
2004-03-26,0,23.05
2004-04-02,0,24.06
2004-04-09,0,
2004-04-16,0,23.47
2004-04-23,0,23.97
2004-04-30,0,22.60
2004-05-07,0,22.14
2004-05-14,0,22.33
2004-05-21,0,23.55
2004-05-28,0,25.28
2004-06-04,0,24.56
2004-06-11,0,
2004-06-18,0,26.84
2004-06-25,0,26.72
2004-07-02,0,26.26
2004-07-09,0,25.80
2004-07-16,0,26.55
2004-07-23,0,26.52
2004-07-30,0,27.05
2004-08-06,0,26.37
2004-08-13,0,25.98
2004-08-20,0,27.39
2004-08-27,0,26.89
2004-09-03,0,27.66
2004-09-10,0,28.02
2004-09-17,0,27.50
2004-09-24,0,28.09
2004-10-01,0,28.17
2004-10-08,0,27.40
2004-10-15,0,27.04
2004-10-22,0,26.86
2004-10-29,0,28.13
2004-11-05,0,28.89
2004-11-12,0,29.49
2004-11-19,0,28.97
2004-11-26,0,29.49
2004-12-03,0,30.51
2004-12-10,0,29.79
2004-12-17,0,27.30
2004-12-24,0,
2004-12-31,0,28.43
2005-01-07,0,27.78
2005-01-14,0,27.77
2005-01-21,0,27.46
2005-01-28,0,27.88
2005-02-04,0,28.33
2005-02-11,0,27.66
2005-02-18,0,27.52
2005-02-25,0,28.08
2005-03-04,0,28.15
2005-03-11,0,29.05
2005-03-18,0,29.11
2005-03-25,0,
2005-04-01,0,29.13
2005-04-08,0,29.12
2005-04-15,0,27.25
2005-04-22,0,27.25
2005-04-29,0,26.96
2005-05-06,0,27.44
2005-05-13,0,27.26
2005-05-20,0,27.79
2005-05-27,0,26.54
2005-06-03,0,26.63
2005-06-10,75,25.90
2005-06-17,0,26.35
2005-06-24,0,26.51
2005-07-01,0,26.69
2005-07-08,0,27.82
2005-07-15,0,28.12
2005-07-22,0,26.13
2005-07-29,0,25.29
2005-08-05,0,25.60
2005-08-12,0,25.64
2005-08-19,0,24.83
2005-08-26,0,24.41
2005-09-02,0,24.08
2005-09-09,0,24.48
2005-09-16,0,23.30
2005-09-23,0,20.31
2005-09-30,0,20.20
2005-10-07,0,19.30
2005-10-14,0,18.90
2005-10-21,0,19.02
2005-10-28,0,19.69
2005-11-04,0,20.60
2005-11-11,0,21.87
2005-11-18,0,22.67
2005-11-25,0,22.81
2005-12-02,0,24.22
2005-12-09,0,24.07
2005-12-16,72,24.12
2005-12-23,0,23.18
2005-12-30,0,22.96
2006-01-06,0,24.00
2006-01-13,0,23.99
2006-01-20,0,23.12
2006-01-27,0,24.78
2006-02-03,54,24.16
2006-02-10,0,24.21
2006-02-17,0,24.29
2006-02-24,0,23.90
2006-03-03,0,23.85
2006-03-10,0,23.78
2006-03-17,0,24.78
2006-03-24,0,25.07
2006-03-31,0,24.37
2006-04-07,0,24.11
2006-04-14,0,
2006-04-21,0,25.80
2006-04-28,0,26.53
2006-05-05,0,26.76
2006-05-12,0,26.06
2006-05-19,0,25.34
2006-05-26,0,25.20
2006-06-02,0,25.60
2006-06-09,0,24.91
2006-06-16,0,25.01
2006-06-23,0,25.02
2006-06-30,0,24.98
2006-07-07,0,23.95
2006-07-14,0,23.01
2006-07-21,0,22.40
2006-07-28,0,23.35
2006-08-04,0,23.32
2006-08-11,0,22.74
2006-08-18,0,23.59
2006-08-25,0,22.70
2006-09-01,0,23.22
2006-09-08,0,23.64
2006-09-15,0,24.96
2006-09-22,0,24.48
2006-09-29,0,25.03
2006-10-06,0,25.13
2006-10-13,50,24.97
2006-10-20,49,23.15
2006-10-27,49,23.39
2006-11-03,47,22.83
2006-11-10,47,23.71
2006-11-17,44,24.35
2006-11-24,44,23.88
2006-12-01,46,23.69
2006-12-08,46,23.79
2006-12-15,47,23.62
2006-12-22,48,23.47
2006-12-29,49,23.90
2007-01-05,36,23.46
2007-01-12,36,23.84
2007-01-19,0,24.15
2007-01-26,0,23.42
2007-02-02,0,24.48
2007-02-09,0,24.13
2007-02-16,0,24.38
2007-02-23,57,24.24
2007-03-02,40,23.87
2007-03-09,37,23.81
2007-03-16,37,23.04
2007-03-23,37,23.38
2007-03-30,37,22.67
2007-04-06,35,
2007-04-13,32,23.08
2007-04-20,32,23.50
2007-04-27,49,23.84
2007-05-04,33,23.80
2007-05-11,38,23.64
2007-05-18,42,23.59
2007-05-25,30,24.29
2007-06-01,30,24.51
2007-06-08,34,23.92
2007-06-15,39,23.58
2007-06-22,36,21.60
2007-06-29,36,22.05
2007-07-06,33,22.50
2007-07-13,33,22.51
2007-07-20,33,21.94
2007-07-27,33,20.81
2007-08-03,42,20.45
2007-08-10,39,19.87
2007-08-17,48,19.96
2007-08-24,55,20.89
2007-08-31,48,20.40
2007-09-07,28,19.27
2007-09-14,38,19.55
2007-09-21,34,19.58
2007-09-28,34,19.16
2007-10-05,45,20.03
2007-10-12,27,19.42
2007-10-19,46,18.33
2007-10-26,53,18.99
2007-11-02,28,18.78
2007-11-09,54,18.19
2007-11-16,42,20.16
2007-11-23,47,20.25
2007-11-30,40,20.58
2007-12-07,62,20.35
2007-12-14,50,18.72
2007-12-21,36,17.64
2007-12-28,78,17.27
2008-01-04,36,16.32
2008-01-11,43,16.10
2008-01-18,39,16.14
2008-01-25,32,16.81
2008-02-01,34,19.22
2008-02-08,32,17.77
2008-02-15,52,17.58
2008-02-22,38,17.46
2008-02-29,52,16.70
2008-03-07,50,15.92
2008-03-14,37,15.05
2008-03-21,75,
2008-03-28,44,14.88
2008-04-04,26,15.68
2008-04-11,41,15.07
2008-04-18,26,16.85
2008-04-25,44,17.13
2008-05-02,34,16.88
2008-05-09,50,16.25
2008-05-16,47,17.50
2008-05-23,34,18.53
2008-05-30,38,19.10
2008-06-06,37,18.60
2008-06-13,39,18.00
2008-06-20,52,17.77
2008-06-27,46,17.21
2008-07-04,50,
2008-07-11,39,14.84
2008-07-18,42,18.03
2008-07-25,27,18.94
2008-08-01,48,19.84
2008-08-08,24,21.41
2008-08-15,58,21.40
2008-08-22,30,21.13
2008-08-29,31,22.31
2008-09-05,46,22.58
2008-09-12,51,23.45
2008-09-19,49,23.98
2008-09-26,56,22.28
2008-10-03,37,19.98
2008-10-10,49,17.65
2008-10-17,53,16.29
2008-10-24,54,15.71
2008-10-31,83,17.36
2008-11-07,61,16.30
2008-11-14,51,14.88
2008-11-21,52,13.13
2008-11-28,58,14.60
2008-12-05,39,14.94
2008-12-12,57,14.67
2008-12-19,60,14.76
2008-12-26,47,14.47
2009-01-02,37,15.68
2009-01-09,40,14.40
2009-01-16,40,13.78
2009-01-23,25,13.00
2009-01-30,39,12.49
2009-02-06,35,13.55
2009-02-13,26,12.84
2009-02-20,35,12.26
2009-02-27,55,11.43
2009-03-06,36,10.31
2009-03-13,21,11.98
2009-03-20,41,11.94
2009-03-27,42,13.78
2009-04-03,47,14.30
2009-04-10,58,
2009-04-17,48,15.00
2009-04-24,48,14.92
2009-05-01,44,14.51
2009-05-08,29,15.71
2009-05-15,30,14.69
2009-05-22,39,14.23
2009-05-29,51,14.68
2009-06-05,61,15.72
2009-06-12,36,15.50
2009-06-19,45,14.79
2009-06-26,38,14.89
2009-07-03,38,
2009-07-10,46,14.27
2009-07-17,29,15.77
2009-07-24,27,16.18
2009-07-31,39,17.35
2009-08-07,40,17.93
2009-08-14,51,17.40
2009-08-21,49,18.88
2009-08-28,52,18.54
2009-09-04,40,18.49
2009-09-11,50,18.64
2009-09-18,48,19.56
2009-09-25,42,18.81
2009-10-02,51,18.28
2009-10-09,56,18.89
2009-10-16,41,19.73
2009-10-23,64,20.82
2009-10-30,45,19.33
2009-11-06,34,19.44
2009-11-13,48,19.85
2009-11-20,39,19.53
2009-11-27,50,19.57
2009-12-04,41,20.03
2009-12-11,43,20.25
2009-12-18,40,19.97
2009-12-25,49,
2010-01-01,52,
2010-01-08,46,21.18
2010-01-15,34,20.99
2010-01-22,38,20.02
2010-01-29,42,18.26
2010-02-05,36,18.45
2010-02-12,37,18.78
2010-02-19,41,19.41
2010-02-26,39,18.95
2010-03-05,33,20.61
2010-03-12,43,21.29
2010-03-19,40,21.47
2010-03-26,47,21.61
2010-04-02,53,
2010-04-09,44,21.90
2010-04-16,43,22.07
2010-04-23,40,23.96
2010-04-30,53,24.53
2010-05-07,61,22.22
2010-05-14,45,24.08
2010-05-21,42,22.80
2010-05-28,48,23.28
2010-06-04,49,22.37
2010-06-11,54,22.74
2010-06-18,45,22.51
2010-06-25,46,21.46
2010-07-02,50,19.51
2010-07-09,49,20.64
2010-07-16,46,20.00
2010-07-23,46,21.37
2010-07-30,42,20.84
2010-08-06,45,21.07
2010-08-13,59,19.68
2010-08-20,38,19.58
2010-08-27,51,19.48
2010-09-03,43,21.04
2010-09-10,46,21.39
2010-09-17,54,21.60
2010-09-24,47,22.80
2010-10-01,59,23.02
2010-10-08,48,23.75
2010-10-15,51,23.80
2010-10-22,63,21.01
2010-10-29,55,20.38
2010-11-05,51,20.50
2010-11-12,42,20.12
2010-11-19,53,20.34
2010-11-26,53,20.53
2010-12-03,52,21.81
2010-12-10,70,22.18
2010-12-17,58,23.23
2010-12-24,68,
2010-12-31,43,22.76
2011-01-07,57,22.88
2011-01-14,47,22.95
2011-01-21,35,22.39
2011-01-28,65,22.62
2011-02-04,44,22.56
2011-02-11,53,23.63
2011-02-18,46,23.62
2011-02-25,41,22.93
2011-03-04,34,23.72
2011-03-11,48,23.22
2011-03-18,42,22.85
2011-03-25,38,23.75
2011-04-01,46,24.17
2011-04-08,45,23.20
2011-04-15,65,23.07
2011-04-22,55,
2011-04-29,54,26.29
2011-05-06,56,26.12
2011-05-13,44,25.97
2011-05-20,55,25.79
2011-05-27,57,25.59
2011-06-03,56,24.27
2011-06-10,52,23.28
2011-06-17,53,23.46
2011-06-24,59,22.88
2011-07-01,58,24.90
2011-07-08,37,24.23
2011-07-15,53,23.25
2011-07-22,61,23.50
2011-07-29,55,21.70
2011-08-05,56,19.30
2011-08-12,54,20.10
2011-08-19,47,19.33
2011-08-26,53,20.73
2011-09-02,36,21.49
2011-09-09,42,20.86
2011-09-16,59,21.56
2011-09-23,48,19.69
2011-09-30,54,19.79
2011-10-07,46,20.65
2011-10-14,56,22.03
2011-10-21,61,23.04
2011-10-28,74,22.40
2011-11-04,58,21.85
2011-11-11,56,22.65
2011-11-18,45,21.87
2011-11-25,67,20.48
2011-12-02,56,22.41
2011-12-09,57,23.10
2011-12-16,46,21.77
2011-12-23,64,23.67
2011-12-30,49,23.04
2012-01-06,48,22.76
2012-01-13,45,22.49
2012-01-20,53,23.18
2012-01-27,57,22.67
2012-02-03,51,23.22
2012-02-10,56,21.36
2012-02-17,44,21.95
2012-02-24,59,22.59
2012-03-02,53,21.97
2012-03-09,50,22.42
2012-03-16,37,23.26
2012-03-23,62,22.40
2012-03-30,42,23.01
2012-04-06,59,
2012-04-13,51,22.32
2012-04-20,48,23.07
2012-04-27,47,21.99
2012-05-04,49,21.49
2012-05-11,56,20.83
2012-05-18,53,19.89
2012-05-25,54,20.72
2012-06-01,43,20.30
2012-06-08,56,20.84
2012-06-15,42,20.55
2012-06-22,33,19.88
2012-06-29,40,21.13
2012-07-06,42,21.04
2012-07-13,55,21.36
2012-07-20,62,21.60
2012-07-27,38,22.63
2012-08-03,65,23.08
2012-08-10,40,23.12
2012-08-17,50,23.87
2012-08-24,46,23.89
2012-08-31,57,23.74
2012-09-07,50,24.23
2012-09-14,54,25.00
2012-09-21,53,25.10
2012-09-28,50,25.05
2012-10-05,57,25.09
2012-10-12,50,24.71
2012-10-19,63,25.86
2012-10-26,74,25.40
2012-11-02,50,27.19
2012-11-09,49,26.72
2012-11-16,59,26.56
2012-11-23,58,27.43
2012-11-30,63,27.85
2012-12-07,61,26.86
2012-12-14,62,26.36
2012-12-21,86,26.83
2012-12-28,77,26.44
2013-01-04,61,28.02
2013-01-11,53,28.00
2013-01-18,51,28.55
2013-01-25,55,29.57
2013-02-01,56,29.57
2013-02-08,46,29.74
2013-02-15,41,30.70
2013-02-22,44,29.78
2013-03-01,41,30.67
2013-03-08,39,31.89
2013-03-15,54,32.22
2013-03-22,61,32.84
2013-03-29,58,
2013-04-05,100,32.63
2013-04-12,50,33.79
2013-04-19,55,32.48
2013-04-26,49,32.58
2013-05-03,48,32.84
2013-05-10,54,33.48
2013-05-17,45,34.19
2013-05-24,57,33.00
2013-05-31,46,32.00
2013-06-07,52,31.86
2013-06-14,60,32.28
2013-06-21,57,30.58
2013-06-28,50,31.09
2013-07-05,46,31.27
2013-07-12,44,32.27
2013-07-19,46,31.94
2013-07-26,44,30.71
2013-08-02,59,31.92
2013-08-09,53,30.91
2013-08-16,52,30.26
2013-08-23,47,29.67
2013-08-30,54,28.92
2013-09-06,45,29.39
2013-09-13,59,30.65
2013-09-20,46,30.55
2013-09-27,49,30.36
2013-10-04,57,29.60
2013-10-11,53,29.70
2013-10-18,50,29.30
2013-10-25,65,30.35
2013-11-01,44,29.50
2013-11-08,50,29.38
2013-11-15,64,29.82
2013-11-22,62,30.07
2013-11-29,72,30.21
2013-12-06,63,29.66
2013-12-13,74,29.15
2013-12-20,88,30.55
2013-12-27,66,31.06
2014-01-03,98,30.71
2014-01-10,69,30.38
2014-01-17,51,29.75
2014-01-24,51,29.78
2014-01-31,44,30.02
2014-02-07,47,30.36
2014-02-14,55,31.09
2014-02-21,45,31.39
2014-02-28,57,32.05
2014-03-07,61,32.09
2014-03-14,47,31.47
2014-03-21,57,31.95
2014-03-28,50,32.23
2014-04-04,56,32.57
2014-04-11,56,31.96
2014-04-18,58,
2014-04-25,69,31.97
2014-05-02,38,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
