Date,HCBK,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,39.11
2004-02-13,0,39.13
2004-02-20,0,38.76
2004-02-27,0,38.91
2004-03-05,0,39.28
2004-03-12,0,38.57
2004-03-19,0,38.17
2004-03-26,0,37.14
2004-04-02,0,38.14
2004-04-09,0,
2004-04-16,0,33.83
2004-04-23,0,34.10
2004-04-30,0,33.81
2004-05-07,0,33.34
2004-05-14,0,34.04
2004-05-21,0,34.73
2004-05-28,0,35.86
2004-06-04,0,35.91
2004-06-11,0,
2004-06-18,0,34.52
2004-06-25,0,33.70
2004-07-02,0,33.01
2004-07-09,0,32.81
2004-07-16,0,32.76
2004-07-23,0,33.79
2004-07-30,0,34.66
2004-08-06,0,33.79
2004-08-13,0,34.09
2004-08-20,0,34.24
2004-08-27,0,34.50
2004-09-03,0,35.04
2004-09-10,0,35.13
2004-09-17,0,35.60
2004-09-24,0,35.51
2004-10-01,0,36.00
2004-10-08,0,36.32
2004-10-15,0,36.21
2004-10-22,0,35.22
2004-10-29,0,36.54
2004-11-05,0,37.46
2004-11-12,0,38.00
2004-11-19,0,37.91
2004-11-26,0,39.49
2004-12-03,0,39.99
2004-12-10,0,39.57
2004-12-17,0,36.75
2004-12-24,0,
2004-12-31,0,36.82
2005-01-07,0,36.70
2005-01-14,0,35.80
2005-01-21,0,35.84
2005-01-28,0,35.16
2005-02-04,0,35.37
2005-02-11,0,34.90
2005-02-18,0,35.16
2005-02-25,0,37.46
2005-03-04,0,37.31
2005-03-11,0,36.70
2005-03-18,0,35.64
2005-03-25,0,
2005-04-01,0,36.42
2005-04-08,0,36.02
2005-04-15,0,33.51
2005-04-22,0,33.04
2005-04-29,0,33.17
2005-05-06,0,33.20
2005-05-13,0,32.94
2005-05-20,0,34.08
2005-05-27,0,34.52
2005-06-03,0,35.47
2005-06-10,0,11.18
2005-06-17,100,11.30
2005-06-24,0,11.58
2005-07-01,0,11.51
2005-07-08,0,11.65
2005-07-15,0,11.81
2005-07-22,0,11.78
2005-07-29,0,11.83
2005-08-05,0,11.79
2005-08-12,0,11.83
2005-08-19,0,12.02
2005-08-26,0,12.25
2005-09-02,0,12.46
2005-09-09,0,12.45
2005-09-16,0,12.25
2005-09-23,0,11.94
2005-09-30,0,11.90
2005-10-07,0,11.66
2005-10-14,0,11.61
2005-10-21,0,11.66
2005-10-28,0,11.87
2005-11-04,0,11.86
2005-11-11,0,11.85
2005-11-18,0,11.59
2005-11-25,0,12.06
2005-12-02,0,12.04
2005-12-09,0,11.94
2005-12-16,0,11.76
2005-12-23,0,12.01
2005-12-30,0,12.12
2006-01-06,0,12.44
2006-01-13,0,12.39
2006-01-20,0,12.19
2006-01-27,0,12.41
2006-02-03,0,12.26
2006-02-10,0,12.29
2006-02-17,0,12.49
2006-02-24,0,12.81
2006-03-03,0,13.28
2006-03-10,0,13.17
2006-03-17,0,13.26
2006-03-24,0,13.42
2006-03-31,0,13.29
2006-04-07,0,13.16
2006-04-14,0,
2006-04-21,0,13.29
2006-04-28,0,13.41
2006-05-05,0,13.68
2006-05-12,0,13.78
2006-05-19,0,13.61
2006-05-26,0,13.88
2006-06-02,0,14.00
2006-06-09,0,13.68
2006-06-16,0,13.13
2006-06-23,0,13.33
2006-06-30,0,13.33
2006-07-07,0,13.33
2006-07-14,0,13.27
2006-07-21,0,12.76
2006-07-28,0,13.05
2006-08-04,0,12.90
2006-08-11,0,12.80
2006-08-18,0,13.03
2006-08-25,0,12.85
2006-09-01,0,13.07
2006-09-08,0,13.24
2006-09-15,0,13.40
2006-09-22,0,13.02
2006-09-29,0,13.25
2006-10-06,0,13.30
2006-10-13,0,13.52
2006-10-20,59,13.46
2006-10-27,52,13.57
2006-11-03,52,13.43
2006-11-10,52,13.64
2006-11-17,0,13.58
2006-11-24,0,13.38
2006-12-01,0,13.21
2006-12-08,0,13.60
2006-12-15,0,14.03
2006-12-22,0,13.79
2006-12-29,0,13.88
2007-01-05,0,13.96
2007-01-12,0,14.15
2007-01-19,47,13.99
2007-01-26,0,13.78
2007-02-02,0,13.64
2007-02-09,0,13.72
2007-02-16,0,13.72
2007-02-23,0,13.79
2007-03-02,43,13.35
2007-03-09,0,13.42
2007-03-16,0,13.51
2007-03-23,0,13.89
2007-03-30,0,13.68
2007-04-06,0,
2007-04-13,0,13.42
2007-04-20,0,13.55
2007-04-27,0,13.35
2007-05-04,0,13.42
2007-05-11,0,13.33
2007-05-18,0,13.32
2007-05-25,0,13.17
2007-06-01,0,13.19
2007-06-08,0,12.95
2007-06-15,0,12.75
2007-06-22,0,12.19
2007-06-29,0,12.22
2007-07-06,0,12.23
2007-07-13,0,12.10
2007-07-20,0,11.58
2007-07-27,0,12.00
2007-08-03,0,12.50
2007-08-10,0,13.44
2007-08-17,0,13.98
2007-08-24,0,14.35
2007-08-31,0,14.22
2007-09-07,0,14.01
2007-09-14,0,14.74
2007-09-21,0,14.96
2007-09-28,0,15.38
2007-10-05,0,15.59
2007-10-12,0,15.31
2007-10-19,0,14.95
2007-10-26,0,15.52
2007-11-02,31,14.39
2007-11-09,33,14.94
2007-11-16,35,15.13
2007-11-23,37,14.85
2007-11-30,38,15.22
2007-12-07,51,15.59
2007-12-14,40,14.48
2007-12-21,40,15.03
2007-12-28,40,14.79
2008-01-04,40,14.57
2008-01-11,34,14.95
2008-01-18,30,13.90
2008-01-25,60,15.69
2008-02-01,43,16.42
2008-02-08,44,15.99
2008-02-15,30,15.65
2008-02-22,31,16.25
2008-02-29,33,15.87
2008-03-07,35,15.45
2008-03-14,37,16.34
2008-03-21,45,
2008-03-28,45,17.75
2008-04-04,65,18.42
2008-04-11,31,17.48
2008-04-18,28,18.09
2008-04-25,45,19.11
2008-05-02,29,19.41
2008-05-09,34,18.59
2008-05-16,31,18.47
2008-05-23,31,17.83
2008-05-30,28,17.80
2008-06-06,28,17.04
2008-06-13,28,16.74
2008-06-20,30,17.20
2008-06-27,32,16.90
2008-07-04,30,
2008-07-11,29,17.81
2008-07-18,56,18.39
2008-07-25,45,17.09
2008-08-01,44,18.34
2008-08-08,35,18.76
2008-08-15,35,18.70
2008-08-22,25,18.01
2008-08-29,25,18.44
2008-09-05,25,18.38
2008-09-12,26,19.21
2008-09-19,42,19.66
2008-09-26,35,18.81
2008-10-03,49,18.45
2008-10-10,34,15.32
2008-10-17,38,17.34
2008-10-24,38,16.03
2008-10-31,22,18.81
2008-11-07,27,17.65
2008-11-14,24,17.51
2008-11-21,30,16.41
2008-11-28,24,16.70
2008-12-05,30,15.64
2008-12-12,0,15.00
2008-12-19,0,14.88
2008-12-26,0,14.91
2009-01-02,0,15.22
2009-01-09,0,14.21
2009-01-16,21,13.29
2009-01-23,44,12.03
2009-01-30,26,11.60
2009-02-06,34,12.56
2009-02-13,35,11.85
2009-02-20,40,10.48
2009-02-27,44,10.37
2009-03-06,35,8.80
2009-03-13,56,10.55
2009-03-20,51,11.09
2009-03-27,40,11.86
2009-04-03,29,12.26
2009-04-10,33,
2009-04-17,38,12.80
2009-04-24,33,12.81
2009-05-01,29,12.13
2009-05-08,19,12.63
2009-05-15,21,12.28
2009-05-22,23,11.63
2009-05-29,24,12.83
2009-06-05,26,12.86
2009-06-12,31,13.17
2009-06-19,36,13.32
2009-06-26,40,13.44
2009-07-03,21,
2009-07-10,21,13.66
2009-07-17,27,14.27
2009-07-24,38,13.65
2009-07-31,21,14.06
2009-08-07,35,14.50
2009-08-14,21,13.84
2009-08-21,25,13.37
2009-08-28,28,12.87
2009-09-04,30,12.68
2009-09-11,25,13.29
2009-09-18,0,13.80
2009-09-25,0,13.07
2009-10-02,0,12.92
2009-10-09,0,13.08
2009-10-16,0,13.09
2009-10-23,36,13.41
2009-10-30,21,13.14
2009-11-06,21,13.22
2009-11-13,21,13.30
2009-11-20,22,13.30
2009-11-27,24,12.95
2009-12-04,26,13.27
2009-12-11,19,13.17
2009-12-18,22,13.48
2009-12-25,25,
2010-01-01,23,
2010-01-08,31,14.33
2010-01-15,23,13.84
2010-01-22,27,13.12
2010-01-29,21,13.27
2010-02-05,21,13.06
2010-02-12,20,13.19
2010-02-19,20,13.16
2010-02-26,20,13.52
2010-03-05,20,13.39
2010-03-12,20,13.66
2010-03-19,19,13.84
2010-03-26,15,13.99
2010-04-02,20,
2010-04-09,18,14.43
2010-04-16,18,14.40
2010-04-23,18,13.62
2010-04-30,21,13.32
2010-05-07,24,12.73
2010-05-14,18,13.01
2010-05-21,24,12.68
2010-05-28,18,12.61
2010-06-04,18,12.59
2010-06-11,18,13.06
2010-06-18,18,13.38
2010-06-25,16,12.70
2010-07-02,16,12.09
2010-07-09,16,12.48
2010-07-16,16,12.44
2010-07-23,16,12.10
2010-07-30,16,12.42
2010-08-06,19,12.14
2010-08-13,20,11.56
2010-08-20,29,11.96
2010-08-27,14,11.62
2010-09-03,14,11.94
2010-09-10,14,12.25
2010-09-17,14,12.03
2010-09-24,18,12.25
2010-10-01,13,12.19
2010-10-08,13,12.00
2010-10-15,13,11.70
2010-10-22,22,11.53
2010-10-29,0,11.64
2010-11-05,0,11.98
2010-11-12,0,11.53
2010-11-19,0,11.58
2010-11-26,0,11.40
2010-12-03,0,12.09
2010-12-10,0,12.41
2010-12-17,0,12.51
2010-12-24,0,
2010-12-31,0,12.74
2011-01-07,0,13.15
2011-01-14,0,13.19
2011-01-21,23,11.25
2011-01-28,14,10.95
2011-02-04,26,11.14
2011-02-11,27,11.48
2011-02-18,28,11.41
2011-02-25,29,11.38
2011-03-04,31,9.88
2011-03-11,13,9.92
2011-03-18,18,9.89
2011-03-25,23,9.87
2011-04-01,29,9.72
2011-04-08,18,9.87
2011-04-15,14,9.68
2011-04-22,18,
2011-04-29,23,9.53
2011-05-06,16,9.44
2011-05-13,16,9.26
2011-05-20,14,9.20
2011-05-27,14,9.06
2011-06-03,13,8.60
2011-06-10,13,8.17
2011-06-17,13,8.17
2011-06-24,13,7.94
2011-07-01,13,8.25
2011-07-08,13,8.28
2011-07-15,14,8.25
2011-07-22,14,8.33
2011-07-29,13,8.25
2011-08-05,16,7.36
2011-08-12,19,6.23
2011-08-19,10,5.65
2011-08-26,10,5.92
2011-09-02,12,5.77
2011-09-09,13,5.53
2011-09-16,13,6.03
2011-09-23,15,5.62
2011-09-30,13,5.66
2011-10-07,13,5.44
2011-10-14,12,5.85
2011-10-21,13,6.18
2011-10-28,13,6.29
2011-11-04,10,5.75
2011-11-11,12,5.75
2011-11-18,10,5.48
2011-11-25,10,5.13
2011-12-02,11,5.84
2011-12-09,11,5.93
2011-12-16,12,6.00
2011-12-23,12,6.29
2011-12-30,11,6.25
2012-01-06,11,6.83
2012-01-13,25,7.01
2012-01-20,10,7.10
2012-01-27,15,6.83
2012-02-03,16,7.19
2012-02-10,12,7.02
2012-02-17,10,7.01
2012-02-24,10,6.89
2012-03-02,11,6.82
2012-03-09,12,6.79
2012-03-16,15,7.49
2012-03-23,18,7.30
2012-03-30,10,7.32
2012-04-06,13,
2012-04-13,14,6.64
2012-04-20,13,6.66
2012-04-27,11,7.16
2012-05-04,12,6.77
2012-05-11,12,6.47
2012-05-18,13,6.08
2012-05-25,9,6.33
2012-06-01,9,5.88
2012-06-08,9,6.04
2012-06-15,11,6.16
2012-06-22,9,6.34
2012-06-29,10,6.37
2012-07-06,10,6.24
2012-07-13,11,6.15
2012-07-20,11,5.87
2012-07-27,11,6.02
2012-08-03,11,6.34
2012-08-10,11,6.61
2012-08-17,12,6.65
2012-08-24,13,6.44
2012-08-31,33,7.19
2012-09-07,15,7.55
2012-09-14,12,7.94
2012-09-21,12,7.91
2012-09-28,15,7.95
2012-10-05,10,8.19
2012-10-12,14,8.00
2012-10-19,16,8.64
2012-10-26,9,8.62
2012-11-02,9,8.57
2012-11-09,9,8.03
2012-11-16,0,7.95
2012-11-23,0,8.16
2012-11-30,0,8.06
2012-12-07,0,7.99
2012-12-14,0,7.99
2012-12-21,0,8.16
2012-12-28,0,8.04
2013-01-04,0,8.53
2013-01-11,8,8.58
2013-01-18,0,8.59
2013-01-25,0,8.64
2013-02-01,0,8.68
2013-02-08,0,8.62
2013-02-15,0,8.70
2013-02-22,0,8.68
2013-03-01,0,8.58
2013-03-08,0,8.70
2013-03-15,0,8.73
2013-03-22,8,8.63
2013-03-29,11,
2013-04-05,8,8.47
2013-04-12,12,8.29
2013-04-19,10,8.08
2013-04-26,9,8.22
2013-05-03,11,8.29
2013-05-10,0,8.53
2013-05-17,0,8.65
2013-05-24,0,8.52
2013-05-31,0,8.50
2013-06-07,0,8.41
2013-06-14,0,8.29
2013-06-21,7,8.64
2013-06-28,12,9.18
2013-07-05,10,9.57
2013-07-12,10,9.73
2013-07-19,14,9.66
2013-07-26,15,9.58
2013-08-02,17,9.77
2013-08-09,12,9.60
2013-08-16,11,9.55
2013-08-23,9,9.62
2013-08-30,12,9.19
2013-09-06,9,9.25
2013-09-13,12,9.03
2013-09-20,11,9.05
2013-09-27,11,9.12
2013-10-04,11,9.25
2013-10-11,11,9.34
2013-10-18,11,9.30
2013-10-25,10,8.99
2013-11-01,9,8.96
2013-11-08,7,9.18
2013-11-15,8,9.14
2013-11-22,9,9.30
2013-11-29,10,9.34
2013-12-06,11,9.23
2013-12-13,7,9.16
2013-12-20,8,9.20
2013-12-27,9,9.38
2014-01-03,0,9.36
2014-01-10,0,9.40
2014-01-17,0,9.08
2014-01-24,0,9.05
2014-01-31,0,9.04
2014-02-07,9,9.18
2014-02-14,7,9.27
2014-02-21,7,9.22
2014-02-28,7,9.50
2014-03-07,6,9.70
2014-03-14,6,9.56
2014-03-21,0,9.79
2014-03-28,0,9.80
2014-04-04,0,9.79
2014-04-11,0,9.55
2014-04-18,0,
2014-04-25,7,9.92
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
