Date,buy MTB,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,91.91
2004-02-13,0,94.55
2004-02-20,0,92.75
2004-02-27,0,96.05
2004-03-05,0,96.88
2004-03-12,0,92.50
2004-03-19,0,90.47
2004-03-26,0,89.16
2004-04-02,0,89.18
2004-04-09,0,
2004-04-16,0,87.70
2004-04-23,0,84.60
2004-04-30,0,85.00
2004-05-07,0,85.63
2004-05-14,0,85.79
2004-05-21,0,86.67
2004-05-28,0,90.57
2004-06-04,0,91.67
2004-06-11,0,
2004-06-18,0,88.75
2004-06-25,0,88.20
2004-07-02,0,88.03
2004-07-09,0,87.90
2004-07-16,0,93.61
2004-07-23,0,93.02
2004-07-30,0,93.23
2004-08-06,0,92.57
2004-08-13,0,94.34
2004-08-20,0,96.35
2004-08-27,0,97.56
2004-09-03,0,96.00
2004-09-10,0,95.95
2004-09-17,0,96.34
2004-09-24,0,94.62
2004-10-01,0,97.59
2004-10-08,0,99.08
2004-10-15,0,100.30
2004-10-22,0,97.28
2004-10-29,0,103.00
2004-11-05,0,105.43
2004-11-12,0,106.30
2004-11-19,0,104.25
2004-11-26,0,106.06
2004-12-03,0,105.92
2004-12-10,0,103.83
2004-12-17,0,104.15
2004-12-24,0,
2004-12-31,0,107.84
2005-01-07,0,103.49
2005-01-14,0,100.77
2005-01-21,0,100.60
2005-01-28,0,100.24
2005-02-04,0,103.03
2005-02-11,0,101.25
2005-02-18,0,98.95
2005-02-25,0,100.20
2005-03-04,0,104.68
2005-03-11,0,101.21
2005-03-18,0,100.06
2005-03-25,0,
2005-04-01,0,100.89
2005-04-08,0,102.37
2005-04-15,0,101.30
2005-04-22,0,99.90
2005-04-29,0,103.45
2005-05-06,0,103.30
2005-05-13,0,100.93
2005-05-20,0,104.52
2005-05-27,0,103.05
2005-06-03,0,103.19
2005-06-10,0,102.78
2005-06-17,0,106.60
2005-06-24,0,104.50
2005-07-01,0,105.58
2005-07-08,0,106.46
2005-07-15,0,110.12
2005-07-22,0,110.46
2005-07-29,0,108.51
2005-08-05,0,107.34
2005-08-12,0,108.70
2005-08-19,0,108.39
2005-08-26,0,105.76
2005-09-02,0,107.05
2005-09-09,0,108.37
2005-09-16,0,106.85
2005-09-23,0,105.65
2005-09-30,0,105.71
2005-10-07,0,102.49
2005-10-14,0,103.93
2005-10-21,0,103.52
2005-10-28,0,106.65
2005-11-04,0,106.94
2005-11-11,0,110.80
2005-11-18,0,109.83
2005-11-25,0,110.84
2005-12-02,0,109.88
2005-12-09,0,109.62
2005-12-16,0,110.93
2005-12-23,0,110.35
2005-12-30,0,109.05
2006-01-06,0,112.03
2006-01-13,0,110.12
2006-01-20,0,106.50
2006-01-27,0,109.25
2006-02-03,0,106.82
2006-02-10,0,108.20
2006-02-17,0,111.82
2006-02-24,0,113.31
2006-03-03,0,112.52
2006-03-10,0,112.31
2006-03-17,0,117.19
2006-03-24,0,115.94
2006-03-31,0,114.14
2006-04-07,0,113.70
2006-04-14,0,
2006-04-21,0,114.30
2006-04-28,0,119.40
2006-05-05,0,118.92
2006-05-12,0,116.55
2006-05-19,0,115.33
2006-05-26,0,116.42
2006-06-02,0,116.89
2006-06-09,0,118.31
2006-06-16,0,116.18
2006-06-23,0,113.84
2006-06-30,0,117.92
2006-07-07,0,117.01
2006-07-14,0,116.39
2006-07-21,0,118.96
2006-07-28,0,122.77
2006-08-04,0,123.96
2006-08-11,0,121.57
2006-08-18,0,124.14
2006-08-25,0,122.45
2006-09-01,0,122.51
2006-09-08,0,118.72
2006-09-15,0,120.83
2006-09-22,0,119.78
2006-09-29,0,119.96
2006-10-06,0,119.00
2006-10-13,0,123.20
2006-10-20,0,121.76
2006-10-27,0,121.20
2006-11-03,0,119.73
2006-11-10,0,120.58
2006-11-17,0,121.55
2006-11-24,0,120.23
2006-12-01,0,118.66
2006-12-08,0,120.18
2006-12-15,0,122.11
2006-12-22,0,121.08
2006-12-29,0,122.16
2007-01-05,0,120.41
2007-01-12,0,120.31
2007-01-19,0,119.07
2007-01-26,0,119.47
2007-02-02,0,122.35
2007-02-09,0,121.67
2007-02-16,0,124.42
2007-02-23,0,124.18
2007-03-02,0,118.28
2007-03-09,0,117.44
2007-03-16,0,116.00
2007-03-23,0,118.56
2007-03-30,0,115.83
2007-04-06,0,
2007-04-13,0,105.88
2007-04-20,0,113.59
2007-04-27,0,111.62
2007-05-04,0,113.62
2007-05-11,0,112.05
2007-05-18,0,112.70
2007-05-25,0,110.75
2007-06-01,0,111.34
2007-06-08,0,109.57
2007-06-15,0,108.75
2007-06-22,0,106.94
2007-06-29,0,106.90
2007-07-06,0,108.70
2007-07-13,0,111.72
2007-07-20,0,108.71
2007-07-27,0,105.40
2007-08-03,0,99.85
2007-08-10,0,102.39
2007-08-17,0,111.67
2007-08-24,0,108.04
2007-08-31,0,105.88
2007-09-07,0,103.20
2007-09-14,0,104.80
2007-09-21,0,107.60
2007-09-28,0,103.45
2007-10-05,0,107.73
2007-10-12,0,101.34
2007-10-19,0,97.39
2007-10-26,0,100.26
2007-11-02,0,91.47
2007-11-09,0,92.28
2007-11-16,0,89.40
2007-11-23,0,89.97
2007-11-30,0,90.96
2007-12-07,0,88.87
2007-12-14,0,83.31
2007-12-21,0,82.12
2007-12-28,0,81.43
2008-01-04,0,75.85
2008-01-11,0,73.75
2008-01-18,0,73.69
2008-01-25,0,83.85
2008-02-01,0,94.03
2008-02-08,0,88.89
2008-02-15,0,88.40
2008-02-22,0,86.89
2008-02-29,0,82.08
2008-03-07,0,77.29
2008-03-14,0,79.96
2008-03-21,0,
2008-03-28,0,81.80
2008-04-04,0,83.01
2008-04-11,0,83.62
2008-04-18,0,90.50
2008-04-25,0,94.28
2008-05-02,0,95.31
2008-05-09,0,91.04
2008-05-16,0,91.64
2008-05-23,0,88.36
2008-05-30,0,86.66
2008-06-06,0,81.18
2008-06-13,0,77.88
2008-06-20,0,73.32
2008-06-27,0,71.57
2008-07-04,0,
2008-07-11,100,69.70
2008-07-18,0,68.63
2008-07-25,0,68.10
2008-08-01,0,71.57
2008-08-08,0,76.07
2008-08-15,0,74.52
2008-08-22,0,70.21
2008-08-29,0,71.34
2008-09-05,0,73.91
2008-09-12,0,78.17
2008-09-19,0,93.50
2008-09-26,0,91.50
2008-10-03,0,87.67
2008-10-10,0,72.75
2008-10-17,0,79.00
2008-10-24,56,75.25
2008-10-31,0,81.10
2008-11-07,0,73.78
2008-11-14,0,65.83
2008-11-21,0,58.21
2008-11-28,0,64.25
2008-12-05,0,67.88
2008-12-12,0,59.07
2008-12-19,0,55.96
2008-12-26,0,55.39
2009-01-02,0,57.32
2009-01-09,0,48.10
2009-01-16,0,39.93
2009-01-23,0,37.38
2009-01-30,0,38.91
2009-02-06,0,41.10
2009-02-13,0,36.91
2009-02-20,0,35.10
2009-02-27,0,36.60
2009-03-06,0,31.85
2009-03-13,0,39.34
2009-03-20,0,40.27
2009-03-27,49,47.74
2009-04-03,49,47.31
2009-04-10,49,
2009-04-17,49,59.97
2009-04-24,49,53.56
2009-05-01,50,49.39
2009-05-08,59,55.09
2009-05-15,0,46.16
2009-05-22,0,46.73
2009-05-29,0,50.30
2009-06-05,0,48.44
2009-06-12,0,48.86
2009-06-19,0,46.80
2009-06-26,47,49.15
2009-07-03,50,
2009-07-10,53,51.36
2009-07-17,0,54.44
2009-07-24,0,57.52
2009-07-31,0,58.32
2009-08-07,0,61.19
2009-08-14,0,60.02
2009-08-21,0,60.44
2009-08-28,47,61.64
2009-09-04,48,58.46
2009-09-11,49,59.33
2009-09-18,0,66.04
2009-09-25,0,62.47
2009-10-02,0,60.14
2009-10-09,0,66.02
2009-10-16,0,66.53
2009-10-23,0,68.77
2009-10-30,50,62.85
2009-11-06,41,62.83
2009-11-13,41,62.50
2009-11-20,41,65.85
2009-11-27,41,63.85
2009-12-04,41,63.44
2009-12-11,0,64.44
2009-12-18,0,64.87
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,73.84
2010-01-15,0,73.16
2010-01-22,0,75.59
2010-01-29,0,73.75
2010-02-05,0,72.67
2010-02-12,0,72.07
2010-02-19,0,76.60
2010-02-26,0,77.43
2010-03-05,0,78.55
2010-03-12,0,80.00
2010-03-19,0,83.28
2010-03-26,41,80.81
2010-04-02,55,
2010-04-09,46,85.34
2010-04-16,46,84.25
2010-04-23,46,88.49
2010-04-30,46,87.35
2010-05-07,46,84.07
2010-05-14,54,87.25
2010-05-21,57,84.00
2010-05-28,50,79.24
2010-06-04,51,75.36
2010-06-11,52,78.39
2010-06-18,53,90.71
2010-06-25,54,88.37
2010-07-02,47,84.89
2010-07-09,41,90.23
2010-07-16,58,85.73
2010-07-23,66,89.56
2010-07-30,51,87.34
2010-08-06,51,86.88
2010-08-13,51,85.35
2010-08-20,47,89.76
2010-08-27,35,87.78
2010-09-03,0,88.93
2010-09-10,0,86.57
2010-09-17,0,86.70
2010-09-24,0,90.62
2010-10-01,0,81.91
2010-10-08,45,76.84
2010-10-15,32,75.22
2010-10-22,32,74.44
2010-10-29,35,74.75
2010-11-05,36,82.70
2010-11-12,38,80.98
2010-11-19,31,77.80
2010-11-26,47,76.45
2010-12-03,36,80.86
2010-12-10,52,85.02
2010-12-17,34,82.75
2010-12-24,34,
2010-12-31,32,87.05
2011-01-07,32,86.82
2011-01-14,32,86.38
2011-01-21,41,86.77
2011-01-28,49,86.35
2011-02-04,29,87.49
2011-02-11,29,89.86
2011-02-18,28,91.01
2011-02-25,29,88.56
2011-03-04,30,88.01
2011-03-11,33,87.70
2011-03-18,37,87.57
2011-03-25,28,87.54
2011-04-01,42,89.69
2011-04-08,34,87.70
2011-04-15,42,85.35
2011-04-22,53,
2011-04-29,35,88.37
2011-05-06,59,86.43
2011-05-13,40,86.39
2011-05-20,36,88.04
2011-05-27,31,87.62
2011-06-03,43,85.79
2011-06-10,41,84.41
2011-06-17,47,88.02
2011-06-24,28,85.32
2011-07-01,39,89.03
2011-07-08,51,87.56
2011-07-15,40,85.56
2011-07-22,33,89.08
2011-07-29,50,86.24
2011-08-05,31,78.65
2011-08-12,27,73.04
2011-08-19,30,69.86
2011-08-26,53,74.39
2011-09-02,31,72.29
2011-09-09,41,70.50
2011-09-16,28,74.15
2011-09-23,36,69.01
2011-09-30,48,69.90
2011-10-07,35,70.82
2011-10-14,36,75.72
2011-10-21,45,74.94
2011-10-28,27,78.30
2011-11-04,34,72.10
2011-11-11,34,73.91
2011-11-18,34,71.76
2011-11-25,34,67.70
2011-12-02,29,73.88
2011-12-09,33,73.01
2011-12-16,38,72.75
2011-12-23,33,76.89
2011-12-30,58,76.34
2012-01-06,34,79.45
2012-01-13,34,82.34
2012-01-20,34,81.72
2012-01-27,29,80.11
2012-02-03,42,82.45
2012-02-10,46,79.80
2012-02-17,22,82.92
2012-02-24,44,81.77
2012-03-02,42,80.59
2012-03-09,38,81.35
2012-03-16,46,85.69
2012-03-23,47,85.86
2012-03-30,38,86.88
2012-04-06,64,
2012-04-13,41,84.43
2012-04-20,28,87.39
2012-04-27,48,87.38
2012-05-04,25,85.56
2012-05-11,43,84.80
2012-05-18,39,80.71
2012-05-25,66,81.82
2012-06-01,37,78.57
2012-06-08,58,79.93
2012-06-15,34,81.04
2012-06-22,44,80.96
2012-06-29,46,82.57
2012-07-06,29,83.88
2012-07-13,37,83.98
2012-07-20,48,84.97
2012-07-27,33,86.45
2012-08-03,44,87.42
2012-08-10,51,86.66
2012-08-17,47,87.28
2012-08-24,45,85.87
2012-08-31,43,86.90
2012-09-07,55,90.74
2012-09-14,46,94.80
2012-09-21,42,94.99
2012-09-28,47,95.16
2012-10-05,45,98.51
2012-10-12,48,96.32
2012-10-19,42,103.70
2012-10-26,20,103.44
2012-11-02,41,103.55
2012-11-09,53,99.09
2012-11-16,47,97.10
2012-11-23,31,99.67
2012-11-30,40,97.73
2012-12-07,34,97.64
2012-12-14,34,97.91
2012-12-21,22,99.86
2012-12-28,41,97.55
2013-01-04,35,102.80
2013-01-11,29,103.24
2013-01-18,45,103.29
2013-01-25,24,103.99
2013-02-01,47,103.92
2013-02-08,56,104.39
2013-02-15,29,104.83
2013-02-22,54,104.73
2013-03-01,49,102.66
2013-03-08,46,103.96
2013-03-15,36,104.35
2013-03-22,52,103.12
2013-03-29,49,
2013-04-05,48,101.20
2013-04-12,38,100.24
2013-04-19,33,98.75
2013-04-26,46,99.82
2013-05-03,43,100.77
2013-05-10,37,103.52
2013-05-17,53,105.94
2013-05-24,46,104.71
2013-05-31,54,104.90
2013-06-07,54,103.74
2013-06-14,42,102.51
2013-06-21,39,106.25
2013-06-28,35,111.75
2013-07-05,38,116.40
2013-07-12,47,117.78
2013-07-19,39,118.23
2013-07-26,52,117.25
2013-08-02,39,119.12
2013-08-09,59,117.67
2013-08-16,64,116.77
2013-08-23,37,118.26
2013-08-30,59,113.34
2013-09-06,51,114.98
2013-09-13,37,111.93
2013-09-20,42,111.53
2013-09-27,67,112.08
2013-10-04,48,112.83
2013-10-11,35,114.45
2013-10-18,32,114.80
2013-10-25,34,112.55
2013-11-01,43,111.90
2013-11-08,37,113.87
2013-11-15,33,113.23
2013-11-22,21,116.12
2013-11-29,38,115.36
2013-12-06,22,114.30
2013-12-13,45,113.75
2013-12-20,40,114.34
2013-12-27,32,116.07
2014-01-03,37,115.21
2014-01-10,43,116.00
2014-01-17,43,111.99
2014-01-24,46,111.27
2014-01-31,35,111.51
2014-02-07,38,113.00
2014-02-14,37,114.06
2014-02-21,28,113.51
2014-02-28,32,116.59
2014-03-07,32,119.38
2014-03-14,44,117.43
2014-03-21,39,121.13
2014-03-28,44,120.44
2014-04-04,60,120.55
2014-04-11,36,118.22
2014-04-18,50,
2014-04-25,52,122.24
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
