Date,Mohawk Industries,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,79.64
2004-02-13,0,82.44
2004-02-20,0,80.55
2004-02-27,0,83.30
2004-03-05,0,85.27
2004-03-12,0,82.90
2004-03-19,0,82.34
2004-03-26,0,80.48
2004-04-02,0,82.40
2004-04-09,0,
2004-04-16,0,80.40
2004-04-23,0,79.96
2004-04-30,0,77.14
2004-05-07,0,74.20
2004-05-14,0,71.98
2004-05-21,0,71.17
2004-05-28,0,74.24
2004-06-04,0,71.46
2004-06-11,0,
2004-06-18,0,70.39
2004-06-25,0,74.37
2004-07-02,0,71.98
2004-07-09,0,72.70
2004-07-16,0,71.50
2004-07-23,0,70.25
2004-07-30,0,73.54
2004-08-06,0,71.49
2004-08-13,0,71.95
2004-08-20,0,73.42
2004-08-27,0,77.47
2004-09-03,0,79.05
2004-09-10,0,80.10
2004-09-17,0,80.25
2004-09-24,0,78.81
2004-10-01,0,80.35
2004-10-08,0,76.90
2004-10-15,0,74.85
2004-10-22,0,82.39
2004-10-29,0,85.08
2004-11-05,0,87.65
2004-11-12,0,89.10
2004-11-19,0,86.64
2004-11-26,0,89.15
2004-12-03,0,89.79
2004-12-10,0,88.05
2004-12-17,0,89.40
2004-12-24,0,
2004-12-31,0,91.25
2005-01-07,0,87.10
2005-01-14,0,89.45
2005-01-21,0,88.50
2005-01-28,0,87.00
2005-02-04,0,92.61
2005-02-11,0,93.66
2005-02-18,0,89.49
2005-02-25,0,89.78
2005-03-04,0,91.70
2005-03-11,0,89.31
2005-03-18,0,88.46
2005-03-25,0,
2005-04-01,0,83.04
2005-04-08,0,82.22
2005-04-15,0,79.02
2005-04-22,0,78.00
2005-04-29,0,77.81
2005-05-06,0,80.09
2005-05-13,0,79.83
2005-05-20,0,84.60
2005-05-27,0,83.25
2005-06-03,0,83.83
2005-06-10,0,85.86
2005-06-17,0,87.75
2005-06-24,0,82.34
2005-07-01,0,82.20
2005-07-08,97,89.43
2005-07-15,0,89.46
2005-07-22,0,90.25
2005-07-29,0,87.82
2005-08-05,0,85.46
2005-08-12,0,85.05
2005-08-19,0,83.95
2005-08-26,0,82.27
2005-09-02,0,84.15
2005-09-09,0,84.97
2005-09-16,0,81.06
2005-09-23,85,77.60
2005-09-30,0,80.25
2005-10-07,0,78.07
2005-10-14,0,76.95
2005-10-21,0,76.74
2005-10-28,0,76.95
2005-11-04,0,79.58
2005-11-11,0,82.25
2005-11-18,0,84.38
2005-11-25,0,88.16
2005-12-02,0,89.00
2005-12-09,0,87.26
2005-12-16,0,87.84
2005-12-23,0,87.94
2005-12-30,0,86.98
2006-01-06,0,88.56
2006-01-13,100,87.02
2006-01-20,0,84.65
2006-01-27,0,84.68
2006-02-03,0,83.87
2006-02-10,0,81.46
2006-02-17,0,83.15
2006-02-24,0,86.90
2006-03-03,0,87.43
2006-03-10,0,86.85
2006-03-17,0,87.43
2006-03-24,0,86.34
2006-03-31,0,80.72
2006-04-07,0,79.75
2006-04-14,0,
2006-04-21,69,78.65
2006-04-28,61,80.10
2006-05-05,56,77.22
2006-05-12,56,76.50
2006-05-19,56,75.57
2006-05-26,56,75.08
2006-06-02,56,73.77
2006-06-09,57,71.66
2006-06-16,60,70.95
2006-06-23,63,71.39
2006-06-30,66,70.35
2006-07-07,69,68.38
2006-07-14,0,66.05
2006-07-21,0,65.51
2006-07-28,0,69.96
2006-08-04,0,69.83
2006-08-11,0,66.77
2006-08-18,0,70.85
2006-08-25,68,68.23
2006-09-01,51,71.58
2006-09-08,44,71.54
2006-09-15,44,76.27
2006-09-22,44,73.54
2006-09-29,0,74.45
2006-10-06,0,76.75
2006-10-13,0,78.58
2006-10-20,0,74.99
2006-10-27,0,73.60
2006-11-03,51,70.23
2006-11-10,43,72.16
2006-11-17,43,75.97
2006-11-24,43,76.38
2006-12-01,43,77.20
2006-12-08,40,77.26
2006-12-15,40,76.02
2006-12-22,40,74.27
2006-12-29,41,74.86
2007-01-05,41,76.05
2007-01-12,41,79.25
2007-01-19,41,78.38
2007-01-26,41,78.52
2007-02-02,65,86.89
2007-02-09,48,82.88
2007-02-16,48,93.89
2007-02-23,48,92.95
2007-03-02,55,87.00
2007-03-09,63,86.86
2007-03-16,41,83.12
2007-03-23,41,85.49
2007-03-30,41,82.05
2007-04-06,44,
2007-04-13,47,85.35
2007-04-20,51,92.64
2007-04-27,44,92.02
2007-05-04,44,92.98
2007-05-11,43,94.64
2007-05-18,47,95.15
2007-05-25,31,96.81
2007-06-01,34,103.05
2007-06-08,50,99.38
2007-06-15,34,101.68
2007-06-22,31,98.98
2007-06-29,31,100.79
2007-07-06,33,103.00
2007-07-13,34,101.81
2007-07-20,36,97.42
2007-07-27,38,92.57
2007-08-03,38,87.50
2007-08-10,41,87.40
2007-08-17,44,86.33
2007-08-24,39,87.64
2007-08-31,30,87.31
2007-09-07,38,85.72
2007-09-14,51,83.56
2007-09-21,45,84.16
2007-09-28,41,81.30
2007-10-05,28,84.43
2007-10-12,28,82.34
2007-10-19,37,81.76
2007-10-26,31,86.10
2007-11-02,46,83.42
2007-11-09,44,80.13
2007-11-16,32,78.80
2007-11-23,32,79.00
2007-11-30,36,80.44
2007-12-07,38,79.85
2007-12-14,40,75.51
2007-12-21,44,75.26
2007-12-28,48,74.75
2008-01-04,52,71.37
2008-01-11,57,70.01
2008-01-18,26,66.14
2008-01-25,52,72.86
2008-02-01,24,83.05
2008-02-08,41,77.86
2008-02-15,38,72.07
2008-02-22,51,74.68
2008-02-29,25,71.41
2008-03-07,23,69.75
2008-03-14,25,69.14
2008-03-21,38,
2008-03-28,50,71.49
2008-04-04,42,76.08
2008-04-11,42,73.49
2008-04-18,38,78.18
2008-04-25,34,76.95
2008-05-02,30,78.35
2008-05-09,36,75.55
2008-05-16,42,77.61
2008-05-23,33,73.06
2008-05-30,26,75.08
2008-06-06,30,72.10
2008-06-13,27,70.16
2008-06-20,41,68.08
2008-06-27,34,64.81
2008-07-04,28,
2008-07-11,39,59.07
2008-07-18,27,64.85
2008-07-25,41,61.89
2008-08-01,26,59.13
2008-08-08,26,66.49
2008-08-15,26,72.96
2008-08-22,21,69.09
2008-08-29,21,69.05
2008-09-05,21,70.46
2008-09-12,20,69.90
2008-09-19,20,74.34
2008-09-26,26,69.90
2008-10-03,30,58.68
2008-10-10,37,49.00
2008-10-17,35,48.29
2008-10-24,36,44.18
2008-10-31,32,48.38
2008-11-07,30,39.13
2008-11-14,26,32.27
2008-11-21,23,26.09
2008-11-28,23,30.74
2008-12-05,30,36.53
2008-12-12,27,35.73
2008-12-19,26,42.60
2008-12-26,22,41.17
2009-01-02,22,44.10
2009-01-09,22,40.59
2009-01-16,29,37.39
2009-01-23,26,34.39
2009-01-30,30,32.11
2009-02-06,17,36.91
2009-02-13,27,33.27
2009-02-20,31,28.37
2009-02-27,28,22.59
2009-03-06,20,18.24
2009-03-13,27,20.81
2009-03-20,20,23.79
2009-03-27,22,32.58
2009-04-03,25,34.25
2009-04-10,27,
2009-04-17,28,36.79
2009-04-24,32,49.00
2009-05-01,27,46.29
2009-05-08,25,45.46
2009-05-15,30,39.77
2009-05-22,18,37.53
2009-05-29,19,38.27
2009-06-05,21,40.75
2009-06-12,26,40.60
2009-06-19,24,37.52
2009-06-26,21,35.44
2009-07-03,16,
2009-07-10,35,32.20
2009-07-17,37,37.78
2009-07-24,37,43.12
2009-07-31,48,51.58
2009-08-07,18,52.54
2009-08-14,22,47.40
2009-08-21,30,47.45
2009-08-28,26,50.83
2009-09-04,23,48.17
2009-09-11,17,48.94
2009-09-18,26,52.19
2009-09-25,24,47.54
2009-10-02,38,43.77
2009-10-09,25,45.57
2009-10-16,25,49.21
2009-10-23,27,48.02
2009-10-30,34,42.83
2009-11-06,30,44.21
2009-11-13,24,44.38
2009-11-20,18,41.00
2009-11-27,20,41.57
2009-12-04,15,43.30
2009-12-11,21,46.14
2009-12-18,25,46.97
2009-12-25,29,
2010-01-01,33,
2010-01-08,20,49.64
2010-01-15,25,46.79
2010-01-22,31,45.01
2010-01-29,36,41.41
2010-02-05,21,44.43
2010-02-12,17,44.54
2010-02-19,20,46.78
2010-02-26,20,51.58
2010-03-05,19,53.88
2010-03-12,23,53.93
2010-03-19,23,53.03
2010-03-26,13,53.13
2010-04-02,20,
2010-04-09,19,55.12
2010-04-16,25,57.20
2010-04-23,24,63.18
2010-04-30,32,63.74
2010-05-07,38,55.02
2010-05-14,42,61.23
2010-05-21,22,55.39
2010-05-28,30,56.16
2010-06-04,20,51.00
2010-06-11,14,50.14
2010-06-18,32,52.33
2010-06-25,34,49.94
2010-07-02,22,44.19
2010-07-09,14,46.02
2010-07-16,24,43.80
2010-07-23,21,49.50
2010-07-30,19,48.93
2010-08-06,26,51.89
2010-08-13,31,45.26
2010-08-20,25,44.74
2010-08-27,31,46.58
2010-09-03,26,48.84
2010-09-10,26,48.13
2010-09-17,30,48.95
2010-09-24,21,51.92
2010-10-01,23,54.00
2010-10-08,18,54.42
2010-10-15,20,55.05
2010-10-22,18,57.46
2010-10-29,21,57.34
2010-11-05,39,57.08
2010-11-12,24,53.04
2010-11-19,19,53.23
2010-11-26,12,52.95
2010-12-03,14,56.02
2010-12-10,14,58.00
2010-12-17,21,59.92
2010-12-24,22,
2010-12-31,23,56.76
2011-01-07,22,57.08
2011-01-14,22,58.37
2011-01-21,20,57.25
2011-01-28,25,55.56
2011-02-04,21,56.27
2011-02-11,27,59.54
2011-02-18,16,59.30
2011-02-25,20,58.45
2011-03-04,31,56.84
2011-03-11,30,57.91
2011-03-18,33,57.43
2011-03-25,25,59.69
2011-04-01,26,62.50
2011-04-08,32,60.68
2011-04-15,13,59.84
2011-04-22,24,
2011-04-29,25,60.04
2011-05-06,27,67.48
2011-05-13,17,67.50
2011-05-20,21,65.29
2011-05-27,20,65.91
2011-06-03,13,62.89
2011-06-10,22,59.04
2011-06-17,20,58.03
2011-06-24,12,59.96
2011-07-01,21,61.60
2011-07-08,12,56.32
2011-07-15,25,56.16
2011-07-22,25,55.21
2011-07-29,27,52.03
2011-08-05,21,47.92
2011-08-12,18,46.05
2011-08-19,29,42.43
2011-08-26,30,46.03
2011-09-02,27,48.01
2011-09-09,18,43.21
2011-09-16,16,45.51
2011-09-23,20,41.26
2011-09-30,17,42.91
2011-10-07,19,46.69
2011-10-14,30,50.00
2011-10-21,21,53.81
2011-10-28,20,54.15
2011-11-04,17,53.29
2011-11-11,25,54.52
2011-11-18,17,52.63
2011-11-25,12,49.77
2011-12-02,16,54.89
2011-12-09,24,57.01
2011-12-16,15,54.39
2011-12-23,18,60.45
2011-12-30,17,59.85
2012-01-06,15,59.50
2012-01-13,21,62.52
2012-01-20,20,63.30
2012-01-27,17,63.45
2012-02-03,13,66.59
2012-02-10,17,65.45
2012-02-17,12,66.79
2012-02-24,20,62.41
2012-03-02,20,62.28
2012-03-09,18,63.19
2012-03-16,20,65.77
2012-03-23,20,65.06
2012-03-30,20,66.51
2012-04-06,14,
2012-04-13,19,62.66
2012-04-20,20,63.38
2012-04-27,20,68.05
2012-05-04,20,73.52
2012-05-11,14,74.57
2012-05-18,13,67.52
2012-05-25,19,69.66
2012-06-01,18,64.45
2012-06-08,21,68.45
2012-06-15,19,67.91
2012-06-22,20,64.46
2012-06-29,20,69.83
2012-07-06,15,69.91
2012-07-13,22,69.85
2012-07-20,13,72.55
2012-07-27,20,71.55
2012-08-03,22,69.84
2012-08-10,16,71.93
2012-08-17,23,75.05
2012-08-24,19,72.83
2012-08-31,23,72.05
2012-09-07,18,74.23
2012-09-14,18,78.92
2012-09-21,22,82.59
2012-09-28,19,80.02
2012-10-05,21,81.97
2012-10-12,23,78.22
2012-10-19,21,81.46
2012-10-26,28,80.27
2012-11-02,23,86.76
2012-11-09,26,84.53
2012-11-16,25,81.27
2012-11-23,17,87.10
2012-11-30,28,85.99
2012-12-07,21,82.84
2012-12-14,19,81.50
2012-12-21,25,91.29
2012-12-28,11,89.44
2013-01-04,20,93.52
2013-01-11,24,94.23
2013-01-18,28,96.30
2013-01-25,15,102.47
2013-02-01,23,102.42
2013-02-08,17,103.11
2013-02-15,26,107.80
2013-02-22,27,106.74
2013-03-01,26,106.43
2013-03-08,27,112.30
2013-03-15,24,113.62
2013-03-22,18,110.41
2013-03-29,25,
2013-04-05,19,112.04
2013-04-12,13,116.27
2013-04-19,24,111.46
2013-04-26,22,113.36
2013-05-03,18,115.50
2013-05-10,22,118.04
2013-05-17,18,117.90
2013-05-24,31,114.23
2013-05-31,20,111.17
2013-06-07,23,111.64
2013-06-14,20,111.08
2013-06-21,16,108.95
2013-06-28,21,112.49
2013-07-05,18,111.58
2013-07-12,23,117.03
2013-07-19,25,117.76
2013-07-26,20,114.42
2013-08-02,15,129.97
2013-08-09,26,128.00
2013-08-16,19,121.96
2013-08-23,24,123.05
2013-08-30,22,117.49
2013-09-06,19,121.38
2013-09-13,19,127.69
2013-09-20,19,130.45
2013-09-27,17,130.09
2013-10-04,13,130.70
2013-10-11,22,129.95
2013-10-18,14,124.28
2013-10-25,28,131.78
2013-11-01,21,137.56
2013-11-08,24,134.30
2013-11-15,18,144.68
2013-11-22,19,142.32
2013-11-29,9,140.02
2013-12-06,25,138.95
2013-12-13,18,139.64
2013-12-20,25,141.44
2013-12-27,12,146.75
2014-01-03,18,149.45
2014-01-10,21,148.23
2014-01-17,25,146.76
2014-01-24,18,141.36
2014-01-31,27,142.18
2014-02-07,24,147.61
2014-02-14,29,147.10
2014-02-21,19,143.41
2014-02-28,19,141.53
2014-03-07,30,144.68
2014-03-14,23,139.40
2014-03-21,19,138.59
2014-03-28,22,134.73
2014-04-04,27,136.01
2014-04-11,19,131.03
2014-04-18,22,
2014-04-25,22,133.20
2014-05-02,22,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
