Date,BBT,Price
2004-01-09,27,
2004-01-16,28,
2004-01-23,29,
2004-01-30,18,
2004-02-06,24,37.12
2004-02-13,26,37.37
2004-02-20,22,36.98
2004-02-27,30,37.15
2004-03-05,23,37.61
2004-03-12,27,36.81
2004-03-19,25,35.32
2004-03-26,21,34.89
2004-04-02,29,35.21
2004-04-09,26,
2004-04-16,24,34.14
2004-04-23,21,34.72
2004-04-30,23,34.49
2004-05-07,19,34.00
2004-05-14,21,34.57
2004-05-21,27,35.13
2004-05-28,26,37.68
2004-06-04,25,37.14
2004-06-11,26,
2004-06-18,27,37.14
2004-06-25,25,36.87
2004-07-02,20,37.00
2004-07-09,26,36.68
2004-07-16,26,37.44
2004-07-23,27,38.37
2004-07-30,27,38.73
2004-08-06,22,37.47
2004-08-13,33,38.57
2004-08-20,27,39.43
2004-08-27,22,39.63
2004-09-03,31,39.86
2004-09-10,30,40.21
2004-09-17,19,40.25
2004-09-24,26,39.18
2004-10-01,27,40.18
2004-10-08,33,40.21
2004-10-15,27,39.53
2004-10-22,26,39.51
2004-10-29,27,41.11
2004-11-05,28,42.52
2004-11-12,28,43.00
2004-11-19,33,42.26
2004-11-26,24,42.66
2004-12-03,28,42.54
2004-12-10,27,41.97
2004-12-17,23,41.83
2004-12-24,17,
2004-12-31,21,42.05
2005-01-07,27,41.52
2005-01-14,30,39.73
2005-01-21,30,38.85
2005-01-28,28,38.97
2005-02-04,25,40.06
2005-02-11,27,40.24
2005-02-18,32,39.35
2005-02-25,25,39.42
2005-03-04,26,40.02
2005-03-11,24,39.45
2005-03-18,27,38.76
2005-03-25,32,
2005-04-01,25,38.73
2005-04-08,32,38.97
2005-04-15,22,37.08
2005-04-22,24,38.18
2005-04-29,26,39.21
2005-05-06,22,39.73
2005-05-13,24,39.13
2005-05-20,24,40.52
2005-05-27,25,40.17
2005-06-03,21,39.79
2005-06-10,24,39.66
2005-06-17,33,40.39
2005-06-24,30,39.90
2005-07-01,26,40.15
2005-07-08,26,40.72
2005-07-15,30,42.60
2005-07-22,31,42.54
2005-07-29,27,41.82
2005-08-05,27,41.05
2005-08-12,31,41.18
2005-08-19,27,41.00
2005-08-26,32,39.84
2005-09-02,26,40.51
2005-09-09,32,40.58
2005-09-16,26,41.01
2005-09-23,24,39.61
2005-09-30,23,39.05
2005-10-07,23,38.59
2005-10-14,29,39.33
2005-10-21,29,40.80
2005-10-28,28,42.41
2005-11-04,22,42.70
2005-11-11,22,43.49
2005-11-18,25,43.20
2005-11-25,28,43.68
2005-12-02,25,42.75
2005-12-09,32,42.41
2005-12-16,24,43.38
2005-12-23,23,42.90
2005-12-30,21,41.91
2006-01-06,23,42.53
2006-01-13,30,41.87
2006-01-20,25,39.63
2006-01-27,25,40.04
2006-02-03,26,38.63
2006-02-10,24,39.29
2006-02-17,26,39.73
2006-02-24,29,39.94
2006-03-03,29,39.10
2006-03-10,26,39.49
2006-03-17,30,40.57
2006-03-24,27,39.70
2006-03-31,32,39.20
2006-04-07,24,39.61
2006-04-14,34,
2006-04-21,27,41.93
2006-04-28,33,42.94
2006-05-05,30,43.15
2006-05-12,31,42.22
2006-05-19,26,42.02
2006-05-26,29,42.07
2006-06-02,30,42.31
2006-06-09,29,42.76
