Date,buy HAS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,20.69
2004-02-13,0,21.82
2004-02-20,0,21.69
2004-02-27,0,21.87
2004-03-05,0,22.57
2004-03-12,0,21.74
2004-03-19,0,22.21
2004-03-26,0,21.24
2004-04-02,26,22.68
2004-04-09,0,
2004-04-16,0,21.87
2004-04-23,0,20.70
2004-04-30,0,18.89
2004-05-07,0,18.50
2004-05-14,0,17.70
2004-05-21,23,19.04
2004-05-28,25,19.66
2004-06-04,26,19.10
2004-06-11,28,
2004-06-18,0,18.95
2004-06-25,0,19.35
2004-07-02,0,18.73
2004-07-09,0,17.98
2004-07-16,0,17.96
2004-07-23,0,17.96
2004-07-30,0,18.17
2004-08-06,0,17.61
2004-08-13,0,17.63
2004-08-20,0,17.88
2004-08-27,0,18.52
2004-09-03,0,18.94
2004-09-10,0,18.92
2004-09-17,20,18.40
2004-09-24,21,18.22
2004-10-01,22,18.97
2004-10-08,19,18.75
2004-10-15,19,18.46
2004-10-22,19,17.40
2004-10-29,23,17.69
2004-11-05,27,18.50
2004-11-12,24,19.00
2004-11-19,24,18.86
2004-11-26,29,18.98
2004-12-03,33,19.06
2004-12-10,31,17.97
2004-12-17,22,18.41
2004-12-24,42,
2004-12-31,18,19.38
2005-01-07,18,18.60
2005-01-14,19,18.66
2005-01-21,18,19.55
2005-01-28,18,18.80
2005-02-04,22,20.40
2005-02-11,25,20.30
2005-02-18,22,20.29
2005-02-25,22,20.93
2005-03-04,22,20.78
2005-03-11,22,20.80
2005-03-18,23,20.52
2005-03-25,19,
2005-04-01,18,20.40
2005-04-08,23,20.33
2005-04-15,20,19.29
2005-04-22,20,18.81
2005-04-29,21,18.92
2005-05-06,21,19.80
2005-05-13,21,19.75
2005-05-20,21,20.79
2005-05-27,15,20.32
2005-06-03,17,20.33
2005-06-10,19,20.03
2005-06-17,15,20.66
2005-06-24,23,20.15
2005-07-01,17,20.85
2005-07-08,15,21.57
2005-07-15,15,21.48
2005-07-22,15,21.30
2005-07-29,15,21.94
2005-08-05,18,21.23
2005-08-12,18,20.90
2005-08-19,18,20.43
2005-08-26,18,20.18
2005-09-02,19,20.39
2005-09-09,19,21.45
2005-09-16,18,21.80
2005-09-23,20,20.27
2005-09-30,18,19.65
2005-10-07,17,19.32
2005-10-14,26,18.72
2005-10-21,19,19.10
2005-10-28,20,18.94
2005-11-04,20,19.21
2005-11-11,20,19.72
2005-11-18,20,20.10
2005-11-25,25,20.63
2005-12-02,24,20.64
2005-12-09,19,20.32
2005-12-16,26,20.29
2005-12-23,30,20.36
2005-12-30,23,20.18
2006-01-06,13,19.99
2006-01-13,16,21.50
2006-01-20,19,21.00
2006-01-27,17,21.52
2006-02-03,16,20.75
2006-02-10,21,20.50
2006-02-17,21,20.26
2006-02-24,20,20.34
2006-03-03,18,20.59
2006-03-10,23,20.85
2006-03-17,13,20.90
2006-03-24,27,20.76
2006-03-31,14,21.10
2006-04-07,14,20.78
2006-04-14,17,
2006-04-21,20,20.93
2006-04-28,14,19.71
2006-05-05,21,19.93
2006-05-12,11,19.87
2006-05-19,12,19.33
2006-05-26,15,18.78
2006-06-02,12,18.84
2006-06-09,20,18.52
2006-06-16,20,18.11
2006-06-23,20,18.01
2006-06-30,21,18.11
2006-07-07,15,18.10
2006-07-14,19,17.51
2006-07-21,16,17.49
2006-07-28,19,19.01
2006-08-04,18,18.81
2006-08-11,18,18.55
2006-08-18,18,19.83
2006-08-25,17,19.57
2006-09-01,15,20.29
2006-09-08,20,20.79
2006-09-15,23,21.89
2006-09-22,20,21.92
2006-09-29,22,22.75
2006-10-06,18,22.62
2006-10-13,17,23.16
2006-10-20,19,23.30
2006-10-27,26,25.10
2006-11-03,14,27.01
2006-11-10,24,26.93
2006-11-17,21,26.83
2006-11-24,34,27.18
2006-12-01,37,26.45
2006-12-08,28,26.53
2006-12-15,26,27.01
2006-12-22,29,27.15
2006-12-29,18,27.25
2007-01-05,21,27.36
2007-01-12,13,27.90
2007-01-19,12,28.29
2007-01-26,18,28.26
2007-02-02,23,28.81
2007-02-09,17,28.38
2007-02-16,17,29.60
2007-02-23,20,29.31
2007-03-02,15,28.78
2007-03-09,22,29.61
2007-03-16,21,29.16
2007-03-23,20,29.83
2007-03-30,21,28.62
2007-04-06,24,
2007-04-13,25,30.15
2007-04-20,18,30.21
2007-04-27,27,31.41
2007-05-04,17,32.75
2007-05-11,21,32.94
2007-05-18,23,31.87
2007-05-25,18,32.43
2007-06-01,15,32.46
2007-06-08,21,31.23
2007-06-15,20,31.44
2007-06-22,19,31.30
2007-06-29,19,31.41
2007-07-06,27,32.49
2007-07-13,19,32.44
2007-07-20,19,32.56
2007-07-27,21,28.06
2007-08-03,18,27.65
2007-08-10,26,27.73
2007-08-17,18,27.51
2007-08-24,22,29.09
2007-08-31,25,28.21
2007-09-07,16,26.22
2007-09-14,22,27.65
2007-09-21,24,28.55
2007-09-28,24,27.88
2007-10-05,22,29.13
2007-10-12,22,29.00
2007-10-19,26,28.41
2007-10-26,26,29.05
2007-11-02,20,28.81
2007-11-09,24,25.96
2007-11-16,25,27.45
2007-11-23,39,27.01
2007-11-30,33,27.77
2007-12-07,45,26.77
2007-12-14,33,25.71
2007-12-21,36,25.95
2007-12-28,24,25.91
2008-01-04,24,23.74
2008-01-11,24,22.34
2008-01-18,25,22.83
2008-01-25,27,23.95
2008-02-01,26,26.13
2008-02-08,24,25.87
2008-02-15,27,26.77
2008-02-22,25,26.86
2008-02-29,29,25.77
2008-03-07,24,25.88
2008-03-14,21,26.42
2008-03-21,24,
2008-03-28,28,28.17
2008-04-04,24,30.33
2008-04-11,26,29.69
2008-04-18,30,31.55
2008-04-25,32,34.99
2008-05-02,31,35.71
2008-05-09,29,35.58
2008-05-16,29,36.26
2008-05-23,34,34.31
2008-05-30,31,36.24
2008-06-06,28,37.51
2008-06-13,31,39.00
2008-06-20,28,37.19
2008-06-27,34,35.14
2008-07-04,30,
2008-07-11,34,34.85
2008-07-18,35,37.99
2008-07-25,39,40.41
2008-08-01,34,38.76
2008-08-08,28,40.80
2008-08-15,34,39.69
2008-08-22,34,36.62
2008-08-29,34,37.40
2008-09-05,28,37.02
2008-09-12,33,37.88
2008-09-19,31,36.55
2008-09-26,28,35.66
2008-10-03,31,32.84
2008-10-10,39,30.00
2008-10-17,38,30.12
2008-10-24,32,26.11
2008-10-31,33,29.09
2008-11-07,38,27.73
2008-11-14,37,26.94
2008-11-21,38,24.44
2008-11-28,53,26.80
2008-12-05,49,27.84
2008-12-12,52,27.04
2008-12-19,59,29.17
2008-12-26,44,29.04
2009-01-02,38,29.60
2009-01-09,37,27.98
2009-01-16,38,26.89
2009-01-23,38,25.84
2009-01-30,38,24.13
2009-02-06,40,23.54
2009-02-13,34,23.80
2009-02-20,37,23.20
2009-02-27,33,22.89
2009-03-06,40,22.07
2009-03-13,40,23.25
2009-03-20,42,23.30
2009-03-27,40,25.46
2009-04-03,41,26.74
2009-04-10,44,
2009-04-17,36,27.91
2009-04-24,45,27.75
2009-05-01,43,26.85
2009-05-08,45,26.06
2009-05-15,50,22.93
2009-05-22,41,22.74
2009-05-29,40,25.41
2009-06-05,40,25.40
2009-06-12,42,25.09
2009-06-19,47,25.14
2009-06-26,43,24.47
2009-07-03,45,
2009-07-10,35,23.19
2009-07-17,48,25.38
2009-07-24,38,26.49
2009-07-31,47,26.50
2009-08-07,43,26.97
2009-08-14,49,26.61
2009-08-21,43,27.01
2009-08-28,44,28.33
2009-09-04,46,28.69
2009-09-11,39,28.37
2009-09-18,44,28.90
2009-09-25,37,27.18
2009-10-02,39,27.07
2009-10-09,48,28.18
2009-10-16,48,29.52
2009-10-23,51,28.03
2009-10-30,48,27.27
2009-11-06,46,27.91
2009-11-13,51,29.10
2009-11-20,47,29.10
2009-11-27,60,29.34
2009-12-04,61,30.18
2009-12-11,59,30.83
2009-12-18,66,31.62
2009-12-25,64,
2010-01-01,46,
2010-01-08,52,31.77
2010-01-15,46,32.16
2010-01-22,45,31.29
2010-01-29,43,30.55
2010-02-05,53,30.80
2010-02-12,46,35.55
2010-02-19,47,35.80
2010-02-26,43,35.78
2010-03-05,52,37.47
2010-03-12,50,38.20
2010-03-19,46,37.89
2010-03-26,52,38.41
2010-04-02,49,
2010-04-09,49,38.93
2010-04-16,43,39.85
2010-04-23,55,40.53
2010-04-30,53,38.36
2010-05-07,44,38.97
2010-05-14,48,40.28
2010-05-21,43,39.53
2010-05-28,47,40.15
2010-06-04,49,39.14
2010-06-11,47,40.39
2010-06-18,55,42.88
2010-06-25,54,43.00
2010-07-02,47,40.45
2010-07-09,48,41.59
2010-07-16,58,39.50
2010-07-23,56,40.95
2010-07-30,58,42.15
2010-08-06,58,43.32
2010-08-13,49,42.78
2010-08-20,56,42.47
2010-08-27,59,40.94
2010-09-03,53,43.49
2010-09-10,54,43.34
2010-09-17,45,44.70
2010-09-24,52,44.38
2010-10-01,48,44.61
2010-10-08,47,45.64
2010-10-15,47,45.08
2010-10-22,45,46.00
2010-10-29,48,46.25
2010-11-05,54,47.26
2010-11-12,59,46.82
2010-11-19,61,47.79
2010-11-26,67,47.72
2010-12-03,67,49.39
2010-12-10,64,49.65
2010-12-17,80,49.44
2010-12-24,75,
2010-12-31,54,47.18
2011-01-07,51,46.07
2011-01-14,51,44.49
2011-01-21,56,44.61
2011-01-28,57,43.91
2011-02-04,57,44.82
2011-02-11,57,45.45
2011-02-18,56,45.74
2011-02-25,55,44.61
2011-03-04,52,46.59
2011-03-11,57,46.86
2011-03-18,57,46.28
2011-03-25,57,47.22
2011-04-01,60,47.39
2011-04-08,56,46.84
2011-04-15,60,44.80
2011-04-22,59,
2011-04-29,60,46.84
2011-05-06,51,47.34
2011-05-13,63,48.05
2011-05-20,56,47.49
2011-05-27,64,45.50
2011-06-03,54,44.36
2011-06-10,50,42.67
2011-06-17,55,43.36
2011-06-24,55,43.35
2011-07-01,53,45.26
2011-07-08,54,44.65
2011-07-15,58,41.37
2011-07-22,57,40.50
2011-07-29,53,39.56
2011-08-05,61,37.25
2011-08-12,59,37.45
2011-08-19,57,36.43
2011-08-26,62,36.82
2011-09-02,46,36.49
2011-09-09,54,36.28
2011-09-16,55,36.02
2011-09-23,55,34.45
2011-09-30,66,32.61
2011-10-07,56,33.25
2011-10-14,57,34.75
2011-10-21,48,35.08
2011-10-28,57,38.07
2011-11-04,54,38.66
2011-11-11,62,37.36
2011-11-18,64,36.03
2011-11-25,77,34.15
2011-12-02,79,36.04
2011-12-09,79,36.76
2011-12-16,82,34.02
2011-12-23,76,32.43
2011-12-30,59,31.89
2012-01-06,58,31.90
2012-01-13,55,32.69
2012-01-20,57,32.75
2012-01-27,66,35.06
2012-02-03,63,35.86
2012-02-10,63,36.84
2012-02-17,61,36.18
2012-02-24,68,34.86
2012-03-02,61,35.21
2012-03-09,62,35.18
2012-03-16,60,35.45
2012-03-23,56,36.38
2012-03-30,63,36.72
2012-04-06,58,
2012-04-13,62,36.18
2012-04-20,59,35.92
2012-04-27,65,36.68
2012-05-04,61,36.09
2012-05-11,63,35.68
2012-05-18,65,34.24
2012-05-25,63,34.91
2012-06-01,66,34.96
2012-06-08,59,34.50
2012-06-15,60,34.50
2012-06-22,54,33.87
2012-06-29,62,33.87
2012-07-06,65,34.17
2012-07-13,60,32.91
2012-07-20,65,33.84
2012-07-27,65,36.26
2012-08-03,68,36.07
2012-08-10,71,37.56
2012-08-17,68,38.24
2012-08-24,67,37.49
2012-08-31,67,37.51
2012-09-07,66,37.64
2012-09-14,73,39.96
2012-09-21,62,38.01
2012-09-28,72,38.17
2012-10-05,71,37.76
2012-10-12,65,39.30
2012-10-19,68,39.05
2012-10-26,73,36.35
2012-11-02,72,35.58
2012-11-09,75,37.22
2012-11-16,76,36.45
2012-11-23,87,38.25
2012-11-30,90,38.46
2012-12-07,84,37.46
2012-12-14,84,36.97
2012-12-21,96,36.04
2012-12-28,68,35.31
2013-01-04,68,35.74
2013-01-11,67,36.89
2013-01-18,62,39.01
2013-01-25,70,37.31
2013-02-01,64,37.65
2013-02-08,69,39.84
2013-02-15,64,40.53
2013-02-22,63,41.13
2013-03-01,68,40.11
2013-03-08,69,41.67
2013-03-15,62,42.38
2013-03-22,68,43.84
2013-03-29,69,
2013-04-05,64,43.33
2013-04-12,70,44.91
2013-04-19,67,45.02
2013-04-26,67,47.27
2013-05-03,69,47.22
2013-05-10,65,47.51
2013-05-17,63,47.91
2013-05-24,58,47.16
2013-05-31,61,44.48
2013-06-07,62,45.00
2013-06-14,68,44.09
2013-06-21,60,44.34
2013-06-28,60,44.83
2013-07-05,62,46.61
2013-07-12,63,47.64
2013-07-19,66,45.38
2013-07-26,62,47.08
2013-08-02,67,46.99
2013-08-09,66,45.96
2013-08-16,67,44.90
2013-08-23,67,46.11
2013-08-30,64,45.58
2013-09-06,68,47.99
2013-09-13,66,46.82
2013-09-20,70,48.79
2013-09-27,63,47.38
2013-10-04,69,47.43
2013-10-11,68,46.72
2013-10-18,69,47.24
2013-10-25,65,52.05
2013-11-01,69,51.84
2013-11-08,73,50.48
2013-11-15,77,52.73
2013-11-22,90,52.88
2013-11-29,93,53.82
2013-12-06,92,51.76
2013-12-13,98,51.76
2013-12-20,100,52.49
2013-12-27,82,54.40
2014-01-03,70,54.11
2014-01-10,67,53.04
2014-01-17,71,52.00
2014-01-24,70,51.27
2014-01-31,68,49.12
2014-02-07,64,50.09
2014-02-14,71,52.82
2014-02-21,68,54.30
2014-02-28,69,55.16
2014-03-07,72,54.77
2014-03-14,69,54.66
2014-03-21,66,55.20
2014-03-28,74,55.18
2014-04-04,66,54.99
2014-04-11,65,53.63
2014-04-18,68,
2014-04-25,71,54.72
2014-05-02,78,
