Date,AN,Price
2004-01-09,52,
2004-01-16,55,
2004-01-23,56,
2004-01-30,52,
2004-02-06,55,17.14
2004-02-13,54,16.32
2004-02-20,53,16.40
2004-02-27,56,16.68
2004-03-05,56,16.68
2004-03-12,52,16.40
2004-03-19,55,16.61
2004-03-26,53,16.94
2004-04-02,55,17.23
2004-04-09,52,
2004-04-16,53,17.10
2004-04-23,55,17.00
2004-04-30,55,17.02
2004-05-07,54,16.30
2004-05-14,68,15.61
2004-05-21,52,16.11
2004-05-28,51,16.67
2004-06-04,49,16.93
2004-06-11,50,
2004-06-18,47,17.06
2004-06-25,47,17.07
2004-07-02,46,16.84
2004-07-09,47,15.92
2004-07-16,47,15.58
2004-07-23,47,15.42
2004-07-30,47,16.12
2004-08-06,48,15.76
2004-08-13,47,15.67
2004-08-20,47,16.05
2004-08-27,47,16.45
2004-09-03,49,16.46
2004-09-10,51,16.12
2004-09-17,52,17.04
2004-09-24,54,16.81
2004-10-01,55,17.32
2004-10-08,55,16.99
2004-10-15,54,16.66
2004-10-22,54,16.49
2004-10-29,54,17.23
2004-11-05,55,17.68
2004-11-12,55,17.61
2004-11-19,59,18.50
2004-11-26,53,18.56
2004-12-03,57,18.64
2004-12-10,57,18.05
2004-12-17,54,18.58
2004-12-24,46,
2004-12-31,50,19.21
2005-01-07,52,18.66
2005-01-14,53,19.06
2005-01-21,53,18.69
2005-01-28,55,18.61
2005-02-04,54,19.79
2005-02-11,57,19.66
2005-02-18,55,19.74
2005-02-25,54,19.37
2005-03-04,55,19.99
2005-03-11,55,19.28
2005-03-18,54,18.50
2005-03-25,53,
2005-04-01,50,18.72
2005-04-08,54,18.97
2005-04-15,55,17.92
2005-04-22,54,18.04
2005-04-29,54,18.27
2005-05-06,56,18.94
2005-05-13,54,19.22
2005-05-20,52,19.74
2005-05-27,51,19.80
2005-06-03,51,19.90
2005-06-10,50,20.21
2005-06-17,51,20.34
2005-06-24,49,20.32
2005-07-01,47,20.63
2005-07-08,45,20.86
2005-07-15,48,21.13
2005-07-22,49,21.46
2005-07-29,46,21.59
2005-08-05,46,21.19
2005-08-12,47,21.08
2005-08-19,48,20.67
2005-08-26,47,20.45
2005-09-02,47,20.61
2005-09-09,50,20.73
2005-09-16,53,20.47
2005-09-23,55,20.05
2005-09-30,54,19.97
2005-10-07,54,19.30
2005-10-14,56,18.94
2005-10-21,54,18.53
2005-10-28,54,19.68
2005-11-04,53,20.07
2005-11-11,53,19.87
2005-11-18,54,20.17
2005-11-25,50,20.65
2005-12-02,55,21.13
2005-12-09,55,21.58
2005-12-16,54,22.60
2005-12-23,49,22.08
2005-12-30,49,21.73
2006-01-06,50,22.40
2006-01-13,51,22.70
2006-01-20,52,22.22
2006-01-27,55,22.39
2006-02-03,52,22.26
2006-02-10,53,21.44
2006-02-17,52,21.69
2006-02-24,53,21.35
2006-03-03,54,21.13
2006-03-10,53,21.82
2006-03-17,52,21.95
2006-03-24,51,21.53
2006-03-31,52,21.55
2006-04-07,52,22.48
2006-04-14,51,
2006-04-21,52,22.15
2006-04-28,54,22.52
2006-05-05,54,22.66
2006-05-12,53,22.54
2006-05-19,51,21.73
2006-05-26,50,21.74
2006-06-02,49,21.44
2006-06-09,49,21.00
2006-06-16,49,20.90
2006-06-23,48,20.88
2006-06-30,45,21.44
2006-07-07,44,20.91
2006-07-14,47,20.21
2006-07-21,47,19.99
2006-07-28,47,20.08
2006-08-04,46,19.90
2006-08-11,46,19.43
2006-08-18,47,19.88
2006-08-25,47,19.01
2006-09-01,46,19.49
2006-09-08,48,19.64
2006-09-15,52,20.70
2006-09-22,53,20.17
2006-09-29,53,20.90
2006-10-06,52,20.82
2006-10-13,52,20.85
2006-10-20,53,20.70
2006-10-27,52,19.98
2006-11-03,51,19.54
2006-11-10,52,20.26
2006-11-17,53,20.49
2006-11-24,49,20.63
2006-12-01,52,20.55
2006-12-08,53,20.67
2006-12-15,53,20.89
2006-12-22,49,21.31
2006-12-29,47,21.32
2007-01-05,50,20.87
2007-01-12,49,21.56
2007-01-19,50,21.89
2007-01-26,53,21.95
2007-02-02,51,22.90
2007-02-09,51,22.74
2007-02-16,50,22.90
2007-02-23,52,22.73
2007-03-02,52,21.83
2007-03-09,52,21.67
2007-03-16,51,21.00
2007-03-23,51,21.71
2007-03-30,50,21.24
2007-04-06,49,
2007-04-13,48,20.76
2007-04-20,51,22.00
2007-04-27,50,21.23
2007-05-04,49,20.83
2007-05-11,50,20.96
2007-05-18,50,21.63
2007-05-25,49,21.70
2007-06-01,47,22.49
2007-06-08,48,22.23
2007-06-15,46,22.55
2007-06-22,47,22.50
2007-06-29,46,22.44
2007-07-06,46,22.45
2007-07-13,47,21.89
2007-07-20,46,21.40
2007-07-27,46,19.21
2007-08-03,46,18.79
2007-08-10,45,19.93
2007-08-17,46,19.12
2007-08-24,45,19.65
2007-08-31,47,18.98
2007-09-07,47,18.03
2007-09-14,49,18.23
2007-09-21,52,17.69
2007-09-28,52,17.72
2007-10-05,52,18.50
2007-10-12,53,17.97
2007-10-19,52,17.14
2007-10-26,52,17.12
2007-11-02,52,17.16
2007-11-09,53,16.51
2007-11-16,53,16.56
2007-11-23,50,16.37
2007-11-30,52,16.50
2007-12-07,54,17.42
2007-12-14,53,15.20
2007-12-21,49,15.48
2007-12-28,48,15.47
2008-01-04,51,13.90
2008-01-11,53,12.98
2008-01-18,52,12.50
2008-01-25,52,14.25
2008-02-01,53,16.59
2008-02-08,56,15.51
2008-02-15,52,15.10
2008-02-22,54,15.46
2008-02-29,55,14.57
2008-03-07,54,14.03
2008-03-14,52,13.74
2008-03-21,52,
2008-03-28,51,14.65
2008-04-04,54,15.95
2008-04-11,55,14.95
2008-04-18,55,15.70
2008-04-25,55,15.70
2008-05-02,56,16.57
2008-05-09,55,16.03
2008-05-16,53,16.46
2008-05-23,53,15.51
2008-05-30,52,15.79
2008-06-06,52,14.45
2008-06-13,52,13.91
2008-06-20,52,11.97
2008-06-27,51,10.44
2008-07-04,51,
2008-07-11,53,8.09
2008-07-18,52,8.25
2008-07-25,53,9.75
2008-08-01,52,10.39
2008-08-08,51,11.87
2008-08-15,54,12.37
2008-08-22,54,11.93
2008-08-29,53,11.35
2008-09-05,52,12.28
2008-09-12,59,12.40
2008-09-19,57,13.32
2008-09-26,59,12.83
2008-10-03,58,10.93
2008-10-10,58,8.10
2008-10-17,57,7.34
2008-10-24,59,4.43
2008-10-31,56,6.87
2008-11-07,59,6.55
2008-11-14,59,6.35
2008-11-21,58,6.45
2008-11-28,55,8.54
2008-12-05,61,9.51
2008-12-12,61,8.88
2008-12-19,55,9.65
2008-12-26,52,8.56
2009-01-02,60,10.64
2009-01-09,59,9.65
2009-01-16,60,8.42
2009-01-23,58,8.14
2009-01-30,60,9.28
2009-02-06,61,11.38
2009-02-13,62,10.68
2009-02-20,60,9.78
2009-02-27,63,9.98
2009-03-06,63,9.72
2009-03-13,63,12.10
2009-03-20,63,12.07
2009-03-27,61,14.29
2009-04-03,62,15.38
2009-04-10,60,
2009-04-17,60,16.64
2009-04-24,62,16.19
