Date,buy MAS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,26.40
2004-02-13,0,27.33
2004-02-20,0,27.26
2004-02-27,0,28.04
2004-03-05,0,28.33
2004-03-12,0,29.28
2004-03-19,0,29.82
2004-03-26,0,29.79
2004-04-02,0,30.14
2004-04-09,0,
2004-04-16,0,29.42
2004-04-23,0,28.46
2004-04-30,0,28.01
2004-05-07,0,27.43
2004-05-14,0,28.04
2004-05-21,0,28.32
2004-05-28,0,28.95
2004-06-04,0,28.68
2004-06-11,0,
2004-06-18,0,29.94
2004-06-25,0,30.97
2004-07-02,0,31.04
2004-07-09,0,30.52
2004-07-16,0,31.18
2004-07-23,0,30.81
2004-07-30,0,30.24
2004-08-06,0,30.52
2004-08-13,0,31.11
2004-08-20,0,32.26
2004-08-27,0,32.08
2004-09-03,0,32.88
2004-09-10,0,32.87
2004-09-17,0,34.25
2004-09-24,0,34.18
2004-10-01,0,34.93
2004-10-08,0,33.56
2004-10-15,0,33.52
2004-10-22,0,33.90
2004-10-29,0,34.26
2004-11-05,0,35.87
2004-11-12,0,36.50
2004-11-19,0,35.80
2004-11-26,0,36.02
2004-12-03,0,35.68
2004-12-10,0,35.66
2004-12-17,0,35.93
2004-12-24,0,
2004-12-31,0,36.53
2005-01-07,0,35.31
2005-01-14,0,36.22
2005-01-21,0,36.12
2005-01-28,0,36.76
2005-02-04,0,38.03
2005-02-11,0,37.19
2005-02-18,0,36.84
2005-02-25,0,33.92
2005-03-04,0,34.70
2005-03-11,0,33.34
2005-03-18,0,33.59
2005-03-25,0,
2005-04-01,0,34.29
2005-04-08,0,33.94
2005-04-15,0,32.65
2005-04-22,0,32.22
2005-04-29,0,31.49
2005-05-06,0,30.73
2005-05-13,0,30.02
2005-05-20,0,31.94
2005-05-27,0,32.38
2005-06-03,0,32.37
2005-06-10,0,32.50
2005-06-17,0,33.66
2005-06-24,0,31.70
2005-07-01,0,31.44
2005-07-08,0,32.05
2005-07-15,0,32.53
2005-07-22,0,33.84
2005-07-29,0,33.91
2005-08-05,0,31.40
2005-08-12,0,31.39
2005-08-19,0,30.79
2005-08-26,0,29.79
2005-09-02,0,30.80
2005-09-09,0,31.02
2005-09-16,0,30.16
2005-09-23,0,29.76
2005-09-30,0,30.68
2005-10-07,0,29.45
2005-10-14,0,29.43
2005-10-21,0,28.12
2005-10-28,0,28.55
2005-11-04,0,28.91
2005-11-11,0,29.09
2005-11-18,0,29.82
2005-11-25,0,30.77
2005-12-02,0,30.43
2005-12-09,0,29.52
2005-12-16,0,30.64
2005-12-23,0,30.02
2005-12-30,0,30.19
2006-01-06,0,30.40
2006-01-13,0,30.25
2006-01-20,0,29.38
2006-01-27,0,29.62
2006-02-03,0,29.61
2006-02-10,0,29.85
2006-02-17,0,31.22
2006-02-24,0,31.39
2006-03-03,0,30.90
2006-03-10,0,31.12
2006-03-17,0,32.24
2006-03-24,0,32.11
2006-03-31,0,32.49
2006-04-07,0,32.60
2006-04-14,0,
2006-04-21,0,32.75
2006-04-28,0,31.90
2006-05-05,0,32.76
2006-05-12,0,32.40
2006-05-19,0,30.81
2006-05-26,0,30.94
2006-06-02,0,31.49
2006-06-09,0,28.97
2006-06-16,0,28.40
2006-06-23,0,28.35
2006-06-30,0,29.64
2006-07-07,0,27.95
2006-07-14,0,27.07
2006-07-21,0,26.00
2006-07-28,0,26.89
2006-08-04,0,27.36
2006-08-11,0,26.53
2006-08-18,0,27.33
2006-08-25,0,26.75
2006-09-01,0,27.74
2006-09-08,0,27.02
2006-09-15,0,28.23
2006-09-22,0,26.61
2006-09-29,0,27.42
2006-10-06,0,27.54
2006-10-13,0,27.38
2006-10-20,0,27.83
2006-10-27,0,28.36
2006-11-03,0,27.08
2006-11-10,0,27.87
2006-11-17,0,28.97
2006-11-24,0,28.70
2006-12-01,0,28.76
2006-12-08,0,29.96
2006-12-15,0,29.28
2006-12-22,0,29.25
2006-12-29,0,29.87
2007-01-05,0,29.25
2007-01-12,0,30.28
2007-01-19,0,31.88
2007-01-26,0,30.90
2007-02-02,0,33.93
2007-02-09,0,31.97
2007-02-16,0,31.17
2007-02-23,0,30.54
2007-03-02,0,28.92
2007-03-09,0,28.15
2007-03-16,0,27.52
2007-03-23,0,27.98
2007-03-30,0,27.40
2007-04-06,0,
2007-04-13,0,26.87
2007-04-20,0,27.61
2007-04-27,0,27.82
2007-05-04,0,30.50
2007-05-11,0,29.59
2007-05-18,0,29.64
2007-05-25,0,29.89
2007-06-01,0,29.44
2007-06-08,0,28.70
2007-06-15,0,29.31
2007-06-22,0,28.34
2007-06-29,0,28.47
2007-07-06,0,28.69
2007-07-13,0,28.38
2007-07-20,0,27.53
2007-07-27,0,25.88
2007-08-03,0,26.96
2007-08-10,0,25.78
2007-08-17,0,26.30
2007-08-24,0,26.85
2007-08-31,0,26.02
2007-09-07,0,25.04
2007-09-14,0,24.77
2007-09-21,0,23.87
2007-09-28,0,23.17
2007-10-05,0,24.66
2007-10-12,0,23.41
2007-10-19,0,22.37
2007-10-26,0,23.07
2007-11-02,0,23.59
2007-11-09,0,23.17
2007-11-16,0,23.34
2007-11-23,71,21.65
2007-11-30,78,22.40
2007-12-07,85,23.93
2007-12-14,92,21.97
2007-12-21,0,21.92
2007-12-28,0,21.63
2008-01-04,0,19.77
2008-01-11,0,19.65
2008-01-18,0,18.85
2008-01-25,0,21.40
2008-02-01,0,23.33
2008-02-08,0,21.06
2008-02-15,0,19.15
2008-02-22,57,19.27
2008-02-29,0,18.69
2008-03-07,0,18.54
2008-03-14,0,18.25
2008-03-21,0,
2008-03-28,0,19.28
2008-04-04,0,19.95
2008-04-11,0,19.03
2008-04-18,0,20.14
2008-04-25,0,19.17
2008-05-02,0,18.60
2008-05-09,0,18.20
2008-05-16,0,19.47
2008-05-23,0,17.86
2008-05-30,0,18.54
2008-06-06,0,17.18
2008-06-13,0,17.74
2008-06-20,0,16.65
2008-06-27,0,15.92
2008-07-04,69,
2008-07-11,71,14.48
2008-07-18,73,16.38
2008-07-25,75,15.83
2008-08-01,77,16.64
2008-08-08,79,17.92
2008-08-15,0,18.65
2008-08-22,0,18.29
2008-08-29,0,19.06
2008-09-05,0,18.26
2008-09-12,0,19.15
2008-09-19,0,19.28
2008-09-26,55,18.98
2008-10-03,64,16.13
2008-10-10,73,13.18
2008-10-17,73,13.08
2008-10-24,73,10.29
2008-10-31,73,10.15
2008-11-07,73,8.80
2008-11-14,70,7.69
2008-11-21,70,7.44
2008-11-28,70,9.58
2008-12-05,45,10.18
2008-12-12,70,10.21
2008-12-19,60,11.67
2008-12-26,77,10.62
2009-01-02,94,11.37
2009-01-09,54,11.30
2009-01-16,47,10.36
2009-01-23,47,9.04
2009-01-30,49,7.82
2009-02-06,51,8.13
2009-02-13,52,6.44
2009-02-20,54,5.66
2009-02-27,55,5.15
2009-03-06,59,3.90
2009-03-13,41,5.09
2009-03-20,41,6.60
2009-03-27,41,7.40
2009-04-03,56,7.66
2009-04-10,70,
2009-04-17,53,8.65
2009-04-24,53,10.09
2009-05-01,53,8.99
2009-05-08,53,10.84
2009-05-15,49,9.54
2009-05-22,49,9.96
2009-05-29,49,10.36
2009-06-05,50,10.71
2009-06-12,50,9.93
2009-06-19,51,9.07
2009-06-26,63,9.41
2009-07-03,61,
2009-07-10,49,8.35
2009-07-17,50,9.68
2009-07-24,52,11.05
2009-07-31,53,13.93
2009-08-07,74,15.13
2009-08-14,49,14.11
2009-08-21,49,14.36
2009-08-28,49,14.51
2009-09-04,49,13.08
2009-09-11,45,14.18
2009-09-18,41,14.13
2009-09-25,45,12.83
2009-10-02,62,12.10
2009-10-09,58,12.88
2009-10-16,58,13.70
2009-10-23,39,13.54
2009-10-30,42,11.75
2009-11-06,45,12.60
2009-11-13,52,14.01
2009-11-20,58,14.04
2009-11-27,85,13.53
2009-12-04,85,14.60
2009-12-11,69,13.55
2009-12-18,45,13.39
2009-12-25,73,
2010-01-01,57,
2010-01-08,57,15.58
2010-01-15,36,15.00
2010-01-22,45,13.91
2010-01-29,60,13.56
2010-02-05,76,14.14
2010-02-12,79,13.81
2010-02-19,36,13.60
2010-02-26,71,13.37
2010-03-05,35,14.39
2010-03-12,37,15.17
2010-03-19,41,15.00
2010-03-26,53,15.19
2010-04-02,86,
2010-04-09,39,16.10
2010-04-16,34,16.96
2010-04-23,62,18.35
2010-04-30,61,16.23
2010-05-07,66,13.66
2010-05-14,71,14.74
2010-05-21,61,13.74
2010-05-28,52,13.35
2010-06-04,51,12.40
2010-06-11,51,12.36
2010-06-18,42,12.32
2010-06-25,39,11.81
2010-07-02,55,10.70
2010-07-09,31,11.51
2010-07-16,46,10.47
2010-07-23,46,11.42
2010-07-30,49,10.28
2010-08-06,52,10.94
2010-08-13,52,10.48
2010-08-20,37,10.56
2010-08-27,56,10.68
2010-09-03,51,11.43
2010-09-10,41,10.93
2010-09-17,42,10.94
2010-09-24,66,11.00
2010-10-01,52,11.18
2010-10-08,60,12.06
2010-10-15,63,11.01
2010-10-22,53,10.95
2010-10-29,56,10.66
2010-11-05,56,11.56
2010-11-12,55,11.36
2010-11-19,50,11.03
2010-11-26,63,10.72
2010-12-03,56,11.99
2010-12-10,90,13.53
2010-12-17,80,13.06
2010-12-24,58,
2010-12-31,56,12.66
2011-01-07,42,13.77
2011-01-14,86,14.00
2011-01-21,56,13.28
2011-01-28,27,13.29
2011-02-04,51,14.02
2011-02-11,51,14.17
2011-02-18,50,13.30
2011-02-25,63,13.19
2011-03-04,54,13.31
2011-03-11,42,13.87
2011-03-18,47,13.95
2011-03-25,63,14.17
2011-04-01,40,14.12
2011-04-08,55,13.41
2011-04-15,36,13.18
2011-04-22,37,
2011-04-29,47,13.42
2011-05-06,69,13.36
2011-05-13,74,13.22
2011-05-20,47,14.25
2011-05-27,66,14.29
2011-06-03,46,13.30
2011-06-10,46,11.81
2011-06-17,74,12.13
2011-06-24,44,12.01
2011-07-01,47,12.46
2011-07-08,57,11.92
2011-07-15,53,11.37
2011-07-22,53,11.42
2011-07-29,52,10.55
2011-08-05,66,9.18
2011-08-12,60,8.56
2011-08-19,54,7.56
2011-08-26,74,8.05
2011-09-02,71,7.98
2011-09-09,64,7.80
2011-09-16,49,7.97
2011-09-23,49,7.14
2011-09-30,57,7.12
2011-10-07,48,7.49
2011-10-14,57,8.47
2011-10-21,61,9.00
2011-10-28,44,9.88
2011-11-04,64,9.39
2011-11-11,57,9.55
2011-11-18,99,9.01
2011-11-25,100,8.42
2011-12-02,58,9.32
2011-12-09,50,9.39
2011-12-16,76,9.16
2011-12-23,85,10.20
2011-12-30,77,10.48
2012-01-06,48,11.40
2012-01-13,61,12.09
2012-01-20,74,12.41
2012-01-27,49,12.33
2012-02-03,67,12.92
2012-02-10,52,12.72
2012-02-17,82,12.10
2012-02-24,65,11.57
2012-03-02,73,11.56
2012-03-09,43,12.11
2012-03-16,57,13.38
2012-03-23,54,13.58
2012-03-30,60,13.37
2012-04-06,44,
2012-04-13,50,12.14
2012-04-20,51,12.00
2012-04-27,55,13.44
2012-05-04,60,14.40
2012-05-11,51,13.97
2012-05-18,47,11.85
2012-05-25,40,12.60
2012-06-01,50,12.04
2012-06-08,44,13.50
2012-06-15,54,13.60
2012-06-22,37,12.76
2012-06-29,57,13.87
2012-07-06,57,14.16
2012-07-13,47,14.05
2012-07-20,44,14.15
2012-07-27,58,13.30
2012-08-03,48,12.71
2012-08-10,60,12.97
2012-08-17,49,13.89
2012-08-24,54,14.13
2012-08-31,52,14.16
2012-09-07,59,14.15
2012-09-14,63,15.80
2012-09-21,41,16.25
2012-09-28,65,15.05
2012-10-05,64,15.97
2012-10-12,62,14.30
2012-10-19,37,15.04
2012-10-26,69,14.60
2012-11-02,42,15.89
2012-11-09,53,15.29
2012-11-16,74,14.92
2012-11-23,79,16.90
2012-11-30,70,16.96
2012-12-07,56,15.99
2012-12-14,74,16.12
2012-12-21,77,16.27
2012-12-28,73,16.04
2013-01-04,52,17.47
2013-01-11,49,17.69
2013-01-18,60,17.78
2013-01-25,50,18.36
2013-02-01,56,18.55
2013-02-08,57,17.79
2013-02-15,50,20.00
2013-02-22,58,18.92
2013-03-01,62,19.22
2013-03-08,47,19.94
2013-03-15,51,19.96
2013-03-22,63,20.60
2013-03-29,46,
2013-04-05,51,19.28
2013-04-12,41,20.11
2013-04-19,54,19.27
2013-04-26,50,20.62
2013-05-03,42,21.60
2013-05-10,52,21.56
2013-05-17,65,22.74
2013-05-24,56,22.14
2013-05-31,47,21.02
2013-06-07,59,20.21
2013-06-14,43,20.79
2013-06-21,52,19.06
2013-06-28,32,19.49
2013-07-05,45,19.79
2013-07-12,47,20.75
2013-07-19,71,20.89
2013-07-26,63,19.84
2013-08-02,54,21.55
2013-08-09,47,19.90
2013-08-16,51,19.02
2013-08-23,40,19.35
2013-08-30,54,18.92
2013-09-06,50,19.63
2013-09-13,69,20.81
2013-09-20,45,21.99
2013-09-27,59,21.12
2013-10-04,65,20.96
2013-10-11,42,20.55
2013-10-18,56,19.98
2013-10-25,49,20.99
2013-11-01,53,21.02
2013-11-08,61,20.35
2013-11-15,73,21.20
2013-11-22,62,21.79
2013-11-29,78,22.42
2013-12-06,65,21.64
2013-12-13,63,21.28
2013-12-20,84,21.69
2013-12-27,70,22.47
2014-01-03,48,23.16
2014-01-10,45,23.46
2014-01-17,60,22.10
2014-01-24,49,21.45
2014-01-31,41,21.16
2014-02-07,53,22.02
2014-02-14,42,22.46
2014-02-21,48,22.44
2014-02-28,53,23.35
2014-03-07,51,23.38
2014-03-14,66,22.76
2014-03-21,42,21.89
2014-03-28,61,22.04
2014-04-04,42,22.71
2014-04-11,49,21.35
2014-04-18,44,
2014-04-25,43,20.78
2014-05-02,44,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
