Date,Illinois Tool Works,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,79.36
2004-02-13,0,78.84
2004-02-20,0,79.38
2004-02-27,0,79.52
2004-03-05,0,78.72
2004-03-12,0,75.69
2004-03-19,0,77.13
2004-03-26,0,77.20
2004-04-02,0,79.65
2004-04-09,0,
2004-04-16,0,83.19
2004-04-23,0,88.10
2004-04-30,0,86.21
2004-05-07,0,85.98
2004-05-14,0,85.66
2004-05-21,0,87.25
2004-05-28,0,89.88
2004-06-04,0,92.29
2004-06-11,0,
2004-06-18,0,92.77
2004-06-25,0,95.55
2004-07-02,0,93.63
2004-07-09,0,93.44
2004-07-16,0,93.69
2004-07-23,0,86.85
2004-07-30,0,90.52
2004-08-06,0,87.55
2004-08-13,0,87.94
2004-08-20,0,90.75
2004-08-27,0,92.04
2004-09-03,0,93.02
2004-09-10,0,88.97
2004-09-17,0,92.00
2004-09-24,0,91.32
2004-10-01,0,94.70
2004-10-08,0,93.26
2004-10-15,0,91.29
2004-10-22,0,89.11
2004-10-29,0,92.28
2004-11-05,0,94.78
2004-11-12,0,95.98
2004-11-19,0,94.88
2004-11-26,0,95.72
2004-12-03,0,95.03
2004-12-10,0,93.68
2004-12-17,0,91.70
2004-12-24,0,
2004-12-31,0,92.68
2005-01-07,99,91.02
2005-01-14,0,91.61
2005-01-21,0,87.70
2005-01-28,0,86.79
2005-02-04,0,87.50
2005-02-11,0,88.98
2005-02-18,0,91.50
2005-02-25,0,90.45
2005-03-04,0,93.63
2005-03-11,85,93.07
2005-03-18,0,92.38
2005-03-25,0,
2005-04-01,0,89.26
2005-04-08,0,90.39
2005-04-15,0,85.07
2005-04-22,0,85.11
2005-04-29,0,83.82
2005-05-06,0,85.23
2005-05-13,0,82.08
2005-05-20,0,83.86
2005-05-27,0,85.53
2005-06-03,0,85.17
2005-06-10,0,81.50
2005-06-17,0,83.48
2005-06-24,0,80.69
2005-07-01,0,80.15
2005-07-08,0,82.41
2005-07-15,0,83.01
2005-07-22,0,85.75
2005-07-29,0,85.65
2005-08-05,0,86.15
2005-08-12,0,86.90
2005-08-19,0,85.74
2005-08-26,0,83.79
2005-09-02,0,85.63
2005-09-09,0,84.63
2005-09-16,100,81.59
2005-09-23,69,80.20
2005-09-30,69,82.33
2005-10-07,0,80.00
2005-10-14,0,81.14
2005-10-21,0,80.17
2005-10-28,0,84.21
2005-11-04,0,84.09
2005-11-11,0,86.00
2005-11-18,0,87.13
2005-11-25,0,87.24
2005-12-02,0,89.68
2005-12-09,0,87.87
2005-12-16,0,90.04
2005-12-23,0,90.77
2005-12-30,0,87.99
2006-01-06,0,90.22
2006-01-13,0,89.54
2006-01-20,0,86.46
2006-01-27,0,87.68
2006-02-03,0,84.68
2006-02-10,0,85.32
2006-02-17,0,88.44
2006-02-24,57,86.58
2006-03-03,54,89.11
2006-03-10,54,91.56
2006-03-17,61,97.64
2006-03-24,68,97.20
2006-03-31,75,96.31
2006-04-07,0,95.55
2006-04-14,0,
2006-04-21,0,102.66
2006-04-28,0,102.70
2006-05-05,0,105.86
2006-05-12,59,102.79
2006-05-19,61,99.95
2006-05-26,63,50.26
2006-06-02,65,50.07
2006-06-09,54,48.71
2006-06-16,54,48.23
2006-06-23,54,47.54
2006-06-30,54,47.50
2006-07-07,54,45.55
2006-07-14,54,44.19
2006-07-21,55,43.34
2006-07-28,0,45.65
2006-08-04,0,46.52
2006-08-11,0,44.28
2006-08-18,0,44.98
2006-08-25,0,43.52
2006-09-01,0,44.17
2006-09-08,83,43.96
2006-09-15,55,43.53
2006-09-22,55,44.07
2006-09-29,55,44.90
2006-10-06,55,47.75
2006-10-13,45,49.15
2006-10-20,47,46.34
2006-10-27,48,47.03
2006-11-03,50,46.76
2006-11-10,51,46.84
2006-11-17,46,47.07
2006-11-24,0,47.39
2006-12-01,0,46.83
2006-12-08,0,47.53
2006-12-15,0,46.80
2006-12-22,0,46.10
2006-12-29,0,46.19
2007-01-05,0,46.00
2007-01-12,0,47.55
2007-01-19,0,47.48
2007-01-26,50,46.95
2007-02-02,38,51.48
2007-02-09,38,51.33
2007-02-16,38,52.55
2007-02-23,38,52.77
2007-03-02,36,50.90
2007-03-09,36,50.88
2007-03-16,40,50.41
2007-03-23,43,52.87
2007-03-30,47,51.60
2007-04-06,51,
2007-04-13,54,52.27
2007-04-20,35,51.68
2007-04-27,35,51.96
2007-05-04,35,52.99
2007-05-11,35,52.33
2007-05-18,36,51.43
2007-05-25,36,52.72
2007-06-01,36,52.58
2007-06-08,36,52.02
2007-06-15,54,55.36
2007-06-22,46,55.12
2007-06-29,47,54.19
2007-07-06,48,55.81
2007-07-13,49,57.91
2007-07-20,32,57.09
2007-07-27,32,54.64
2007-08-03,32,54.76
2007-08-10,32,54.63
2007-08-17,32,52.87
2007-08-24,0,56.98
2007-08-31,0,58.17
2007-09-07,0,56.80
2007-09-14,0,56.83
2007-09-21,0,57.85
2007-09-28,0,59.64
2007-10-05,0,59.70
2007-10-12,43,60.00
2007-10-19,39,56.28
2007-10-26,27,56.98
2007-11-02,31,56.73
2007-11-09,34,55.27
2007-11-16,35,54.45
2007-11-23,36,54.62
2007-11-30,37,55.50
2007-12-07,40,56.81
2007-12-14,41,55.90
2007-12-21,42,54.26
2007-12-28,42,54.04
2008-01-04,43,50.50
2008-01-11,43,47.92
2008-01-18,30,47.15
2008-01-25,34,49.98
2008-02-01,39,50.90
2008-02-08,24,48.51
2008-02-15,24,48.86
2008-02-22,24,48.40
2008-02-29,40,49.07
2008-03-07,30,47.13
2008-03-14,30,46.75
2008-03-21,30,
2008-03-28,38,47.89
2008-04-04,23,50.82
2008-04-11,37,49.75
2008-04-18,51,52.34
2008-04-25,23,52.20
2008-05-02,33,53.12
2008-05-09,54,53.10
2008-05-16,41,54.64
2008-05-23,27,52.46
2008-05-30,28,53.70
2008-06-06,29,50.16
2008-06-13,23,49.71
2008-06-20,24,48.61
2008-06-27,26,46.36
2008-07-04,27,
2008-07-11,28,45.60
2008-07-18,24,46.73
2008-07-25,24,46.46
2008-08-01,30,46.82
2008-08-08,32,50.00
2008-08-15,34,49.46
2008-08-22,25,48.95
2008-08-29,25,49.61
2008-09-05,26,47.91
2008-09-12,27,47.67
2008-09-19,34,48.78
2008-09-26,33,44.77
2008-10-03,33,40.37
2008-10-10,20,33.19
2008-10-17,30,33.98
2008-10-24,32,30.50
2008-10-31,21,33.39
2008-11-07,29,32.91
2008-11-14,29,31.84
2008-11-21,33,30.49
2008-11-28,19,34.12
2008-12-05,34,32.39
2008-12-12,20,31.30
2008-12-19,29,33.40
2008-12-26,32,34.10
2009-01-02,35,36.67
2009-01-09,38,36.28
2009-01-16,35,34.63
2009-01-23,36,33.04
2009-01-30,29,32.66
2009-02-06,27,35.82
2009-02-13,30,35.12
2009-02-20,32,30.71
2009-02-27,20,27.80
2009-03-06,21,26.80
2009-03-13,22,27.85
2009-03-20,18,27.74
2009-03-27,27,31.88
2009-04-03,24,32.44
2009-04-10,24,
2009-04-17,22,32.22
2009-04-24,22,33.87
2009-05-01,26,33.30
2009-05-08,29,34.66
2009-05-15,19,33.01
2009-05-22,19,32.54
2009-05-29,22,32.29
2009-06-05,25,37.03
2009-06-12,17,38.08
2009-06-19,17,35.47
2009-06-26,17,37.45
2009-07-03,17,
2009-07-10,17,35.77
2009-07-17,17,38.75
2009-07-24,35,40.94
2009-07-31,17,40.55
2009-08-07,19,40.96
2009-08-14,24,41.29
2009-08-21,17,42.29
2009-08-28,22,42.27
2009-09-04,27,41.77
2009-09-11,21,44.02
2009-09-18,30,44.37
2009-09-25,25,42.30
2009-10-02,20,41.69
2009-10-09,23,45.02
2009-10-16,21,45.33
2009-10-23,15,47.78
2009-10-30,22,45.92
2009-11-06,26,48.39
2009-11-13,16,48.98
2009-11-20,16,49.51
2009-11-27,14,48.66
2009-12-04,14,48.49
2009-12-11,17,47.99
2009-12-18,21,47.57
2009-12-25,14,
2010-01-01,14,
2010-01-08,14,49.10
2010-01-15,14,47.88
2010-01-22,18,45.35
2010-01-29,23,43.59
2010-02-05,16,42.66
2010-02-12,20,43.64
2010-02-19,25,46.76
2010-02-26,16,45.52
2010-03-05,20,47.27
2010-03-12,21,46.65
2010-03-19,21,46.77
2010-03-26,13,47.23
2010-04-02,18,
2010-04-09,28,47.73
2010-04-16,20,49.01
2010-04-23,22,52.43
2010-04-30,20,51.10
2010-05-07,24,47.71
2010-05-14,27,49.36
2010-05-21,17,45.54
2010-05-28,23,46.43
2010-06-04,20,44.24
2010-06-11,20,45.55
2010-06-18,15,45.26
2010-06-25,15,44.16
2010-07-02,18,41.13
2010-07-09,29,43.33
2010-07-16,26,42.70
2010-07-23,27,43.31
2010-07-30,20,43.50
2010-08-06,20,45.61
2010-08-13,20,43.02
2010-08-20,27,42.10
2010-08-27,16,41.85
2010-09-03,21,45.00
2010-09-10,16,45.73
2010-09-17,22,46.24
2010-09-24,19,47.08
2010-10-01,14,47.26
2010-10-08,11,48.43
2010-10-15,21,48.96
2010-10-22,19,46.69
2010-10-29,22,45.68
2010-11-05,25,48.36
2010-11-12,15,47.42
2010-11-19,19,47.29
2010-11-26,18,47.13
2010-12-03,18,50.41
2010-12-10,21,51.06
2010-12-17,13,51.97
2010-12-24,18,
2010-12-31,21,53.40
2011-01-07,24,54.00
2011-01-14,28,55.96
2011-01-21,21,54.71
2011-01-28,19,54.71
2011-02-04,18,54.25
2011-02-11,13,55.81
2011-02-18,19,54.90
2011-02-25,21,53.56
2011-03-04,19,54.89
2011-03-11,23,54.61
2011-03-18,19,54.00
2011-03-25,16,54.97
2011-04-01,26,54.15
2011-04-08,18,54.33
2011-04-15,18,53.31
2011-04-22,11,
2011-04-29,24,58.41
2011-05-06,23,58.15
2011-05-13,21,57.95
2011-05-20,17,57.09
2011-05-27,16,57.04
2011-06-03,15,56.08
2011-06-10,19,54.64
2011-06-17,12,54.93
2011-06-24,14,54.35
2011-07-01,25,57.61
2011-07-08,17,58.91
2011-07-15,17,57.09
2011-07-22,24,56.97
2011-07-29,25,49.80
2011-08-05,27,46.33
2011-08-12,19,45.09
2011-08-19,19,41.36
2011-08-26,19,44.79
2011-09-02,14,43.67
2011-09-09,15,42.51
2011-09-16,15,45.39
2011-09-23,18,42.66
2011-09-30,16,41.60
2011-10-07,14,43.15
2011-10-14,22,46.89
2011-10-21,17,47.36
2011-10-28,15,49.13
2011-11-04,17,49.23
2011-11-11,11,46.93
2011-11-18,20,44.94
2011-11-25,10,42.58
2011-12-02,18,45.95
2011-12-09,14,47.13
2011-12-16,19,46.00
2011-12-23,13,47.72
2011-12-30,13,46.71
2012-01-06,14,47.79
2012-01-13,17,49.37
2012-01-20,14,51.47
2012-01-27,13,52.77
2012-02-03,16,55.60
2012-02-10,18,55.71
2012-02-17,16,56.19
2012-02-24,12,55.92
2012-03-02,23,55.50
2012-03-09,11,55.44
2012-03-16,15,57.91
2012-03-23,19,56.91
2012-03-30,11,57.12
2012-04-06,9,
2012-04-13,12,54.82
2012-04-20,12,55.79
2012-04-27,21,58.11
2012-05-04,17,56.43
2012-05-11,17,56.39
2012-05-18,16,53.55
2012-05-25,19,56.29
2012-06-01,12,54.85
2012-06-08,24,56.01
2012-06-15,17,54.48
2012-06-22,15,53.67
2012-06-29,13,52.89
2012-07-06,9,52.06
2012-07-13,21,50.75
2012-07-20,14,53.29
2012-07-27,19,55.27
2012-08-03,12,55.62
2012-08-10,12,57.31
2012-08-17,21,60.00
2012-08-24,15,59.68
2012-08-31,19,59.29
2012-09-07,14,60.60
2012-09-14,18,61.12
2012-09-21,16,60.81
2012-09-28,16,59.47
2012-10-05,26,60.66
2012-10-12,14,58.55
2012-10-19,19,60.79
2012-10-26,13,60.27
2012-11-02,13,62.02
2012-11-09,9,60.44
2012-11-16,17,58.87
2012-11-23,20,60.62
2012-11-30,15,61.57
2012-12-07,17,61.17
2012-12-14,17,59.82
2012-12-21,15,61.29
2012-12-28,12,60.02
2013-01-04,12,62.40
2013-01-11,16,62.56
2013-01-18,13,63.72
2013-01-25,12,64.99
2013-02-01,21,62.90
2013-02-08,11,62.72
2013-02-15,23,63.25
2013-02-22,19,61.48
2013-03-01,20,61.60
2013-03-08,15,62.44
2013-03-15,22,62.23
2013-03-22,13,62.26
2013-03-29,10,
2013-04-05,15,61.57
2013-04-12,15,63.44
2013-04-19,13,60.50
2013-04-26,15,64.38
2013-05-03,12,65.71
2013-05-10,14,68.30
2013-05-17,9,70.78
2013-05-24,20,70.23
2013-05-31,14,70.13
2013-06-07,20,70.70
2013-06-14,14,70.24
2013-06-21,11,68.43
2013-06-28,17,69.17
2013-07-05,11,69.97
2013-07-12,8,71.87
2013-07-19,19,73.29
2013-07-26,12,71.97
2013-08-02,11,74.25
2013-08-09,18,73.30
2013-08-16,11,72.43
2013-08-23,12,73.28
2013-08-30,10,71.47
2013-09-06,11,72.88
2013-09-13,17,74.37
2013-09-20,15,76.49
2013-09-27,14,76.73
2013-10-04,21,75.34
2013-10-11,14,76.93
2013-10-18,18,77.42
2013-10-25,13,78.55
2013-11-01,12,78.98
2013-11-08,12,79.08
2013-11-15,13,79.65
2013-11-22,16,79.50
2013-11-29,16,79.58
2013-12-06,14,80.49
2013-12-13,12,78.95
2013-12-20,14,81.87
2013-12-27,7,83.59
2014-01-03,12,83.74
2014-01-10,13,82.47
2014-01-17,17,82.66
2014-01-24,14,79.21
2014-01-31,14,78.87
2014-02-07,19,79.68
2014-02-14,16,78.59
2014-02-21,19,81.48
2014-02-28,17,82.50
2014-03-07,10,82.78
2014-03-14,16,80.29
2014-03-21,20,80.76
2014-03-28,13,80.76
2014-04-04,14,83.57
2014-04-11,18,81.27
2014-04-18,14,
2014-04-25,14,84.47
2014-05-02,0,
