Date,ED,Price
2004-01-09,56,
2004-01-16,57,
2004-01-23,61,
2004-01-30,59,
2004-02-06,59,43.43
2004-02-13,57,43.34
2004-02-20,53,43.57
2004-02-27,55,44.17
2004-03-05,56,44.90
2004-03-12,55,43.80
2004-03-19,53,44.12
2004-03-26,55,43.91
2004-04-02,56,43.87
2004-04-09,58,
2004-04-16,57,42.33
2004-04-23,57,42.14
2004-04-30,56,41.21
2004-05-07,58,39.98
2004-05-14,59,38.18
2004-05-21,58,37.79
2004-05-28,56,39.26
2004-06-04,54,39.20
2004-06-11,56,
2004-06-18,52,39.53
2004-06-25,52,40.28
2004-07-02,52,39.63
2004-07-09,50,39.44
2004-07-16,51,39.91
2004-07-23,57,40.05
2004-07-30,54,40.97
2004-08-06,54,41.62
2004-08-13,51,40.90
2004-08-20,51,40.87
2004-08-27,55,41.27
2004-09-03,57,42.66
2004-09-10,55,41.93
2004-09-17,56,42.51
2004-09-24,54,41.66
2004-10-01,53,42.31
2004-10-08,55,42.49
2004-10-15,53,43.25
2004-10-22,56,43.35
2004-10-29,56,43.45
2004-11-05,57,45.04
2004-11-12,55,45.59
2004-11-19,54,44.55
2004-11-26,53,45.40
2004-12-03,56,43.59
2004-12-10,53,43.45
2004-12-17,55,44.08
2004-12-24,49,
2004-12-31,45,43.75
2005-01-07,55,42.87
2005-01-14,57,43.43
2005-01-21,56,43.40
2005-01-28,58,43.30
2005-02-04,56,44.19
2005-02-11,58,44.60
2005-02-18,54,43.46
2005-02-25,55,43.10
2005-03-04,57,42.91
2005-03-11,58,41.90
2005-03-18,54,41.85
2005-03-25,56,
2005-04-01,54,41.84
2005-04-08,54,42.20
2005-04-15,53,42.21
2005-04-22,56,43.17
2005-04-29,58,43.28
2005-05-06,57,44.28
2005-05-13,54,45.39
2005-05-20,55,45.72
2005-05-27,55,45.33
2005-06-03,51,45.99
2005-06-10,56,45.58
2005-06-17,58,45.91
2005-06-24,55,46.01
2005-07-01,55,47.08
2005-07-08,51,47.85
2005-07-15,54,48.07
2005-07-22,52,47.87
2005-07-29,54,48.16
2005-08-05,54,47.62
2005-08-12,52,47.50
2005-08-19,51,46.18
2005-08-26,53,46.20
2005-09-02,52,47.65
2005-09-09,53,48.15
2005-09-16,53,49.24
2005-09-23,55,48.22
2005-09-30,55,48.55
2005-10-07,56,47.03
2005-10-14,56,44.54
2005-10-21,58,44.88
2005-10-28,56,45.21
2005-11-04,57,45.44
2005-11-11,54,45.90
2005-11-18,54,45.53
2005-11-25,49,46.01
2005-12-02,56,45.81
2005-12-09,55,45.46
2005-12-16,56,46.85
2005-12-23,54,46.94
2005-12-30,47,46.33
2006-01-06,52,46.81
2006-01-13,57,46.30
2006-01-20,54,46.73
2006-01-27,57,47.29
2006-02-03,58,46.10
2006-02-10,54,46.14
2006-02-17,57,45.45
2006-02-24,57,46.49
2006-03-03,56,45.09
2006-03-10,54,44.65
2006-03-17,55,45.09
2006-03-24,56,44.60
2006-03-31,55,43.50
2006-04-07,56,42.39
2006-04-14,55,
2006-04-21,53,42.67
2006-04-28,56,43.12
2006-05-05,56,43.12
2006-05-12,57,41.81
2006-05-19,56,42.15
2006-05-26,54,44.06
2006-06-02,52,44.45
2006-06-09,56,44.61
2006-06-16,54,44.23
2006-06-23,51,43.49
2006-06-30,53,44.44
2006-07-07,48,45.10
2006-07-14,52,45.21
2006-07-21,53,46.80
2006-07-28,54,46.99
2006-08-04,53,46.65
2006-08-11,50,45.80
2006-08-18,52,45.34
2006-08-25,51,45.39
2006-09-01,54,45.90
2006-09-08,53,45.29
2006-09-15,55,45.73
2006-09-22,54,46.02
2006-09-29,56,46.20
2006-10-06,56,46.43
2006-10-13,57,46.74
2006-10-20,56,47.89
2006-10-27,54,48.23
2006-11-03,55,48.02
2006-11-10,79,48.30
2006-11-17,58,47.99
2006-11-24,49,47.85
2006-12-01,54,48.22
2006-12-08,54,47.83
2006-12-15,51,48.67
2006-12-22,51,47.76
2006-12-29,46,48.07
2007-01-05,54,47.63
2007-01-12,53,47.36
2007-01-19,53,47.74
2007-01-26,56,48.10
2007-02-02,54,48.46
2007-02-09,53,49.03
2007-02-16,53,48.72
2007-02-23,52,49.33
2007-03-02,52,48.08
2007-03-09,54,48.40
2007-03-16,54,48.61
2007-03-23,52,50.42
2007-03-30,51,51.06
2007-04-06,53,
2007-04-13,54,51.79
2007-04-20,53,52.00
2007-04-27,57,51.80
2007-05-04,58,51.42
2007-05-11,56,50.97
2007-05-18,58,50.95
2007-05-25,54,48.12
2007-06-01,54,48.48
2007-06-08,59,46.59
2007-06-15,55,47.37
2007-06-22,55,45.20
2007-06-29,56,45.12
2007-07-06,53,45.21
2007-07-13,57,46.09
2007-07-20,57,45.37
2007-07-27,55,43.65
2007-08-03,56,43.87
2007-08-10,54,47.43
