Date,buy TAP,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,62.29
2004-02-13,0,64.35
2004-02-20,0,65.62
2004-02-27,0,67.78
2004-03-05,0,66.23
2004-03-12,0,67.39
2004-03-19,0,67.76
2004-03-26,0,67.98
2004-04-02,0,70.71
2004-04-09,0,
2004-04-16,0,68.51
2004-04-23,0,67.55
2004-04-30,0,65.71
2004-05-07,0,66.20
2004-05-14,0,64.65
2004-05-21,0,64.40
2004-05-28,0,64.45
2004-06-04,0,65.67
2004-06-11,0,
2004-06-18,0,69.26
2004-06-25,0,71.12
2004-07-02,0,71.95
2004-07-09,0,72.11
2004-07-16,0,73.02
2004-07-23,0,71.45
2004-07-30,0,68.76
2004-08-06,0,66.20
2004-08-13,0,67.60
2004-08-20,0,67.00
2004-08-27,0,67.80
2004-09-03,0,69.00
2004-09-10,0,68.88
2004-09-17,0,69.24
2004-09-24,0,67.54
2004-10-01,0,67.75
2004-10-08,0,66.84
2004-10-15,0,65.98
2004-10-22,0,67.19
2004-10-29,0,66.70
2004-11-05,0,70.03
2004-11-12,0,71.88
2004-11-19,0,72.50
2004-11-26,0,72.04
2004-12-03,0,75.25
2004-12-10,0,73.55
2004-12-17,0,74.41
2004-12-24,0,
2004-12-31,0,75.67
2005-01-07,0,72.19
2005-01-14,0,74.02
2005-01-21,0,74.48
2005-01-28,0,72.75
2005-02-04,0,75.75
2005-02-11,0,73.10
2005-02-18,0,70.18
2005-02-25,0,68.73
2005-03-04,0,71.65
2005-03-11,0,74.15
2005-03-18,0,75.90
2005-03-25,0,
2005-04-01,0,77.97
2005-04-08,0,78.99
2005-04-15,0,75.84
2005-04-22,0,77.45
2005-04-29,0,61.75
2005-05-06,0,61.84
2005-05-13,0,60.20
2005-05-20,0,60.40
2005-05-27,0,58.97
2005-06-03,0,58.88
2005-06-10,0,59.57
2005-06-17,0,58.83
2005-06-24,0,59.95
2005-07-01,0,61.59
2005-07-08,0,62.37
2005-07-15,0,63.31
2005-07-22,0,63.58
2005-07-29,0,62.70
2005-08-05,0,63.32
2005-08-12,0,62.75
2005-08-19,0,64.50
2005-08-26,0,63.42
2005-09-02,0,64.52
2005-09-09,0,66.06
2005-09-16,0,66.95
2005-09-23,0,64.55
2005-09-30,0,64.01
2005-10-07,0,62.69
2005-10-14,0,61.81
2005-10-21,0,60.87
2005-10-28,0,60.90
2005-11-04,0,64.10
2005-11-11,0,67.05
2005-11-18,0,66.45
2005-11-25,0,66.70
2005-12-02,0,67.09
2005-12-09,0,65.42
2005-12-16,0,66.23
2005-12-23,0,66.28
2005-12-30,0,66.99
2006-01-06,0,68.00
2006-01-13,0,68.85
2006-01-20,0,65.06
2006-01-27,0,62.64
2006-02-03,0,62.54
2006-02-10,0,63.23
2006-02-17,0,63.24
2006-02-24,0,63.17
2006-03-03,0,65.10
2006-03-10,0,68.26
2006-03-17,0,69.95
2006-03-24,0,69.58
2006-03-31,0,68.62
2006-04-07,0,68.35
2006-04-14,0,
2006-04-21,0,70.64
2006-04-28,0,73.86
2006-05-05,0,67.45
2006-05-12,0,65.88
2006-05-19,0,64.93
2006-05-26,0,63.98
2006-06-02,0,66.23
2006-06-09,0,67.96
2006-06-16,0,67.58
2006-06-23,0,67.60
2006-06-30,0,67.88
2006-07-07,0,68.97
2006-07-14,0,68.40
2006-07-21,0,70.36
2006-07-28,0,70.68
2006-08-04,0,66.21
2006-08-11,0,67.59
2006-08-18,0,69.35
2006-08-25,0,69.50
2006-09-01,0,70.13
2006-09-08,0,69.86
2006-09-15,68,68.00
2006-09-22,0,67.34
2006-09-29,0,68.90
2006-10-06,0,65.87
2006-10-13,0,66.77
2006-10-20,0,68.37
2006-10-27,0,68.00
2006-11-03,0,70.51
2006-11-10,0,71.72
2006-11-17,0,71.00
2006-11-24,0,70.71
2006-12-01,0,71.09
2006-12-08,0,72.49
2006-12-15,0,73.90
2006-12-22,0,75.95
2006-12-29,0,76.44
2007-01-05,0,75.44
2007-01-12,67,76.86
2007-01-19,0,77.96
2007-01-26,0,80.51
2007-02-02,0,80.85
2007-02-09,0,81.90
2007-02-16,0,86.61
2007-02-23,0,85.10
2007-03-02,0,82.83
2007-03-09,0,86.35
2007-03-16,0,88.83
2007-03-23,0,92.88
2007-03-30,0,94.62
2007-04-06,0,
2007-04-13,0,95.03
2007-04-20,0,96.10
2007-04-27,0,96.00
2007-05-04,0,96.74
2007-05-11,0,92.56
2007-05-18,0,91.58
2007-05-25,0,89.86
2007-06-01,0,91.52
2007-06-08,0,89.12
2007-06-15,0,91.93
2007-06-22,0,91.06
2007-06-29,0,92.46
2007-07-06,0,93.19
2007-07-13,47,92.86
2007-07-20,47,91.20
2007-07-27,51,87.48
2007-08-03,0,90.93
2007-08-10,0,82.69
2007-08-17,0,85.19
2007-08-24,0,85.90
2007-08-31,0,89.46
2007-09-07,0,89.24
2007-09-14,75,93.68
2007-09-21,41,98.40
2007-09-28,45,99.67
2007-10-05,49,49.68
2007-10-12,53,55.05
2007-10-19,40,53.75
2007-10-26,40,57.14
2007-11-02,41,55.71
2007-11-09,42,52.87
2007-11-16,41,52.37
2007-11-23,41,51.79
2007-11-30,41,53.84
2007-12-07,41,55.48
2007-12-14,66,52.05
2007-12-21,47,52.60
2007-12-28,47,52.12
2008-01-04,47,50.69
2008-01-11,40,49.70
2008-01-18,64,46.20
2008-01-25,39,43.96
2008-02-01,38,45.83
2008-02-08,68,45.12
2008-02-15,41,50.99
2008-02-22,41,52.91
2008-02-29,51,53.96
2008-03-07,47,50.57
2008-03-14,47,52.26
2008-03-21,64,
2008-03-28,34,53.24
2008-04-04,37,54.48
2008-04-11,33,54.13
2008-04-18,33,55.72
2008-04-25,54,54.66
2008-05-02,38,53.50
2008-05-09,44,56.00
2008-05-16,39,58.03
2008-05-23,39,58.32
2008-05-30,36,58.00
2008-06-06,37,58.07
2008-06-13,38,57.72
2008-06-20,39,55.14
2008-06-27,41,54.12
2008-07-04,42,
2008-07-11,44,54.25
2008-07-18,47,57.29
2008-07-25,51,56.08
2008-08-01,34,54.41
2008-08-08,37,49.91
2008-08-15,42,49.62
2008-08-22,46,48.30
2008-08-29,35,47.65
2008-09-05,34,48.30
2008-09-12,39,49.02
2008-09-19,66,47.76
2008-09-26,48,46.41
2008-10-03,51,46.38
2008-10-10,35,37.60
2008-10-17,37,38.51
2008-10-24,45,38.14
2008-10-31,28,37.36
2008-11-07,47,42.43
2008-11-14,33,42.55
2008-11-21,50,43.31
2008-11-28,34,44.47
2008-12-05,38,41.05
2008-12-12,74,45.58
2008-12-19,50,46.20
2008-12-26,52,47.04
2009-01-02,44,49.52
2009-01-09,33,43.83
2009-01-16,56,42.19
2009-01-23,50,42.49
2009-01-30,52,40.27
2009-02-06,54,41.17
2009-02-13,35,38.84
2009-02-20,54,36.10
2009-02-27,57,35.23
2009-03-06,65,34.10
2009-03-13,42,31.68
2009-03-20,46,33.08
2009-03-27,27,35.37
2009-04-03,40,36.23
2009-04-10,40,
2009-04-17,49,38.38
2009-04-24,54,37.07
2009-05-01,41,39.04
2009-05-08,57,42.00
2009-05-15,46,41.96
2009-05-22,44,43.56
2009-05-29,56,43.99
2009-06-05,53,45.75
2009-06-12,61,44.93
2009-06-19,43,43.03
2009-06-26,54,42.64
2009-07-03,36,
2009-07-10,64,41.86
2009-07-17,47,43.86
2009-07-24,72,44.90
2009-07-31,55,45.21
2009-08-07,45,45.43
2009-08-14,67,45.62
2009-08-21,39,46.30
2009-08-28,38,46.67
2009-09-04,66,48.23
2009-09-11,57,49.28
2009-09-18,76,47.80
2009-09-25,49,47.89
2009-10-02,68,47.72
2009-10-09,53,49.74
2009-10-16,52,49.95
2009-10-23,79,50.24
2009-10-30,49,48.97
2009-11-06,63,43.85
2009-11-13,56,45.68
2009-11-20,60,45.57
2009-11-27,43,45.01
2009-12-04,70,45.72
2009-12-11,44,45.06
2009-12-18,44,43.43
2009-12-25,83,
2010-01-01,64,
2010-01-08,57,44.50
2010-01-15,49,45.18
2010-01-22,56,43.02
2010-01-29,38,42.00
2010-02-05,52,41.22
2010-02-12,73,38.90
2010-02-19,57,41.11
2010-02-26,43,40.38
2010-03-05,51,42.81
2010-03-12,54,43.15
2010-03-19,51,43.36
2010-03-26,64,42.61
2010-04-02,72,
2010-04-09,49,43.58
2010-04-16,49,43.98
2010-04-23,47,44.14
2010-04-30,63,44.36
2010-05-07,63,41.96
2010-05-14,58,42.70
2010-05-21,37,41.89
2010-05-28,60,41.04
2010-06-04,68,41.64
2010-06-11,66,43.68
2010-06-18,86,44.55
2010-06-25,66,43.40
2010-07-02,80,42.18
2010-07-09,60,44.16
2010-07-16,68,43.97
2010-07-23,71,46.24
2010-07-30,59,45.01
2010-08-06,75,45.68
2010-08-13,49,45.62
2010-08-20,76,45.92
2010-08-27,69,43.81
2010-09-03,62,44.59
2010-09-10,68,44.08
2010-09-17,78,45.50
2010-09-24,83,46.89
2010-10-01,63,47.78
2010-10-08,57,49.16
2010-10-15,52,48.71
2010-10-22,63,48.53
2010-10-29,58,47.23
2010-11-05,70,50.25
2010-11-12,59,49.02
2010-11-19,71,49.11
2010-11-26,56,48.68
2010-12-03,49,49.36
2010-12-10,61,49.30
2010-12-17,56,50.80
2010-12-24,76,
2010-12-31,57,50.19
2011-01-07,80,47.47
2011-01-14,55,47.70
2011-01-21,70,48.78
2011-01-28,58,46.51
2011-02-04,61,47.47
2011-02-11,59,45.05
2011-02-18,64,45.60
2011-02-25,69,45.00
2011-03-04,52,44.24
2011-03-11,71,44.10
2011-03-18,54,43.25
2011-03-25,64,45.12
2011-04-01,73,47.24
2011-04-08,69,46.78
2011-04-15,70,47.86
2011-04-22,66,
2011-04-29,68,48.75
2011-05-06,70,45.02
2011-05-13,60,46.02
2011-05-20,51,46.50
2011-05-27,57,46.63
2011-06-03,57,44.19
2011-06-10,62,44.22
2011-06-17,72,44.64
2011-06-24,64,44.29
2011-07-01,68,45.32
2011-07-08,48,44.55
2011-07-15,56,44.82
2011-07-22,79,46.54
2011-07-29,67,45.05
2011-08-05,61,42.53
2011-08-12,53,43.25
2011-08-19,86,42.87
2011-08-26,54,42.67
2011-09-02,74,42.66
2011-09-09,73,41.80
2011-09-16,62,42.81
2011-09-23,66,39.13
2011-09-30,74,39.61
2011-10-07,69,41.01
2011-10-14,61,41.78
2011-10-21,67,41.70
2011-10-28,53,42.96
2011-11-04,74,38.87
2011-11-11,59,41.02
2011-11-18,72,39.57
2011-11-25,57,38.00
2011-12-02,66,40.51
2011-12-09,59,41.40
2011-12-16,77,42.64
2011-12-23,65,44.00
2011-12-30,65,43.54
2012-01-06,75,43.57
2012-01-13,68,43.94
2012-01-20,58,44.00
2012-01-27,73,42.88
2012-02-03,68,43.93
2012-02-10,87,43.17
2012-02-17,58,45.43
2012-02-24,63,43.92
2012-03-02,53,43.60
2012-03-09,60,42.76
2012-03-16,72,43.11
2012-03-23,64,43.96
2012-03-30,59,45.25
2012-04-06,58,
2012-04-13,65,40.94
2012-04-20,69,41.30
2012-04-27,65,41.49
2012-05-04,86,42.00
2012-05-11,47,41.32
2012-05-18,72,39.84
2012-05-25,77,39.78
2012-06-01,59,38.33
2012-06-08,63,38.98
2012-06-15,72,39.43
2012-06-22,65,38.96
2012-06-29,86,41.61
2012-07-06,62,41.00
2012-07-13,64,40.86
2012-07-20,85,41.34
2012-07-27,78,42.28
2012-08-03,83,42.08
2012-08-10,100,44.17
2012-08-17,74,44.33
2012-08-24,83,44.27
2012-08-31,75,44.54
2012-09-07,90,45.54
2012-09-14,89,45.87
2012-09-21,81,45.60
2012-09-28,68,45.05
2012-10-05,77,44.64
2012-10-12,80,44.20
2012-10-19,69,44.03
2012-10-26,69,43.46
2012-11-02,62,43.31
2012-11-09,67,41.18
2012-11-16,72,39.83
2012-11-23,73,40.51
2012-11-30,74,41.46
2012-12-07,79,43.01
2012-12-14,91,43.04
2012-12-21,82,43.36
2012-12-28,69,42.71
2013-01-04,91,42.75
2013-01-11,66,42.69
2013-01-18,69,44.84
2013-01-25,68,45.12
2013-02-01,69,45.37
2013-02-08,73,44.41
2013-02-15,76,43.53
2013-02-22,67,46.48
2013-03-01,60,45.24
2013-03-08,75,47.37
2013-03-15,85,48.46
2013-03-22,62,48.96
2013-03-29,64,
2013-04-05,63,50.16
2013-04-12,74,51.91
2013-04-19,63,52.65
2013-04-26,71,51.01
2013-05-03,62,51.31
2013-05-10,66,50.08
2013-05-17,70,53.32
2013-05-24,67,51.56
2013-05-31,69,49.41
2013-06-07,67,50.66
2013-06-14,65,49.59
2013-06-21,80,47.79
2013-06-28,77,47.86
2013-07-05,82,47.65
2013-07-12,60,51.30
2013-07-19,76,51.39
2013-07-26,78,49.79
2013-08-02,69,50.79
2013-08-09,93,53.20
2013-08-16,80,50.78
2013-08-23,82,50.46
2013-08-30,82,48.79
2013-09-06,95,49.24
2013-09-13,80,49.54
2013-09-20,69,50.53
2013-09-27,77,50.40
2013-10-04,54,50.47
2013-10-11,63,51.76
2013-10-18,76,52.62
2013-10-25,72,53.89
2013-11-01,74,53.99
2013-11-08,85,53.79
2013-11-15,65,54.12
2013-11-22,73,53.65
2013-11-29,82,52.67
2013-12-06,87,54.96
2013-12-13,63,53.19
2013-12-20,91,54.94
2013-12-27,74,55.76
2014-01-03,67,55.01
2014-01-10,84,56.08
2014-01-17,87,55.58
2014-01-24,73,53.82
2014-01-31,71,52.64
2014-02-07,71,52.41
2014-02-14,66,55.02
2014-02-21,68,56.60
2014-02-28,63,56.83
2014-03-07,80,58.24
2014-03-14,59,57.61
2014-03-21,76,58.50
2014-03-28,76,58.08
2014-04-04,63,59.79
2014-04-11,70,57.08
2014-04-18,72,
2014-04-25,60,58.56
2014-05-02,55,
