Date,ESS,Price
2004-01-09,91,
2004-01-16,87,
2004-01-23,100,
2004-01-30,97,
2004-02-06,83,62.09
2004-02-13,87,62.45
2004-02-20,91,62.35
2004-02-27,88,62.97
2004-03-05,79,65.56
2004-03-12,90,65.83
2004-03-19,85,66.18
2004-03-26,79,64.63
2004-04-02,72,66.44
2004-04-09,87,
2004-04-16,77,62.40
2004-04-23,74,61.18
2004-04-30,72,60.95
2004-05-07,76,62.30
2004-05-14,66,62.45
2004-05-21,77,63.67
2004-05-28,71,65.55
2004-06-04,73,65.65
2004-06-11,67,
2004-06-18,69,67.75
2004-06-25,76,69.22
2004-07-02,72,69.40
2004-07-09,71,67.80
2004-07-16,74,68.51
2004-07-23,68,66.70
2004-07-30,72,65.90
2004-08-06,68,67.14
2004-08-13,62,66.69
2004-08-20,75,71.00
2004-08-27,66,72.78
2004-09-03,68,73.99
2004-09-10,69,74.27
2004-09-17,65,74.63
2004-09-24,73,71.90
2004-10-01,66,73.05
2004-10-08,67,74.25
2004-10-15,65,76.15
2004-10-22,66,77.53
2004-10-29,63,78.46
2004-11-05,64,80.18
2004-11-12,67,81.72
2004-11-19,60,78.10
2004-11-26,65,81.30
2004-12-03,62,81.29
2004-12-10,62,84.35
2004-12-17,59,84.50
2004-12-24,65,
2004-12-31,58,83.80
2005-01-07,59,77.19
2005-01-14,61,75.43
2005-01-21,59,76.01
2005-01-28,59,72.01
2005-02-04,62,75.15
2005-02-11,56,74.80
2005-02-18,59,75.50
2005-02-25,57,73.65
2005-03-04,62,74.94
2005-03-11,59,72.44
2005-03-18,54,73.15
2005-03-25,59,
2005-04-01,57,69.45
2005-04-08,57,70.89
2005-04-15,49,71.05
2005-04-22,50,71.93
2005-04-29,53,75.95
2005-05-06,54,77.60
2005-05-13,49,78.53
2005-05-20,56,82.28
2005-05-27,53,78.90
2005-06-03,62,79.78
2005-06-10,48,83.65
2005-06-17,46,84.49
2005-06-24,49,85.20
2005-07-01,46,84.02
2005-07-08,49,87.25
2005-07-15,49,87.50
2005-07-22,47,89.09
2005-07-29,42,91.86
2005-08-05,44,86.80
2005-08-12,47,85.83
2005-08-19,47,86.00
2005-08-26,49,86.60
2005-09-02,54,88.15
2005-09-09,49,90.88
2005-09-16,42,90.59
2005-09-23,48,88.99
2005-09-30,40,90.00
2005-10-07,47,85.00
2005-10-14,50,83.00
2005-10-21,43,85.25
2005-10-28,43,88.16
2005-11-04,46,89.94
2005-11-11,43,91.89
2005-11-18,42,92.16
2005-11-25,43,92.93
2005-12-02,41,92.03
2005-12-09,44,92.18
2005-12-16,44,91.30
2005-12-23,41,93.15
2005-12-30,42,92.20
2006-01-06,42,96.00
2006-01-13,42,97.00
2006-01-20,46,97.55
2006-01-27,42,100.00
2006-02-03,46,98.54
2006-02-10,44,99.00
2006-02-17,39,101.10
2006-02-24,42,100.30
2006-03-03,43,99.55
2006-03-10,44,105.50
2006-03-17,42,111.10
2006-03-24,39,107.70
2006-03-31,40,108.73
2006-04-07,38,105.15
2006-04-14,38,
2006-04-21,35,108.07
2006-04-28,36,109.10
2006-05-05,39,109.25
2006-05-12,36,104.24
2006-05-19,36,104.55
2006-05-26,35,108.56
2006-06-02,38,107.99
2006-06-09,39,107.01
2006-06-16,36,105.35
2006-06-23,35,105.60
2006-06-30,36,111.66
2006-07-07,37,113.94
2006-07-14,34,113.87
2006-07-21,36,112.88
2006-07-28,33,116.80
2006-08-04,37,121.50
2006-08-11,35,114.72
2006-08-18,36,118.80
2006-08-25,38,121.80
2006-09-01,35,123.75
2006-09-08,37,125.24
2006-09-15,35,126.58
2006-09-22,32,122.26
2006-09-29,33,121.40
2006-10-06,38,123.51
2006-10-13,38,126.89
2006-10-20,36,126.59
2006-10-27,34,130.40
2006-11-03,33,127.40
2006-11-10,37,127.94
2006-11-17,35,127.81
2006-11-24,33,133.47
2006-12-01,35,131.75
2006-12-08,36,131.00
2006-12-15,32,129.40
2006-12-22,30,126.04
2006-12-29,31,129.25
2007-01-05,32,127.52
2007-01-12,35,132.98
2007-01-19,33,137.47
2007-01-26,32,141.97
2007-02-02,34,145.51
2007-02-09,36,145.00
2007-02-16,33,144.23
2007-02-23,35,141.39
2007-03-02,34,132.88
2007-03-09,30,129.35
2007-03-16,34,128.46
2007-03-23,31,135.03
2007-03-30,32,129.48
2007-04-06,33,
2007-04-13,31,126.79
2007-04-20,35,129.75
2007-04-27,34,132.66
2007-05-04,34,127.30
2007-05-11,33,127.58
2007-05-18,36,119.23
2007-05-25,37,122.40
2007-06-01,35,126.70
2007-06-08,30,120.42
2007-06-15,32,121.26
2007-06-22,33,118.66
2007-06-29,33,116.30
2007-07-06,33,120.22
2007-07-13,36,119.53
2007-07-20,34,117.98
2007-07-27,31,107.81
2007-08-03,31,107.39
2007-08-10,33,110.30
2007-08-17,34,110.50
2007-08-24,31,115.68
2007-08-31,33,117.79
2007-09-07,33,112.50
2007-09-14,31,115.10
2007-09-21,33,116.10
2007-09-28,31,117.57
2007-10-05,32,126.92
2007-10-12,32,123.50
2007-10-19,31,114.00
2007-10-26,32,122.33
2007-11-02,36,111.70
2007-11-09,40,103.07
2007-11-16,36,104.17
2007-11-23,37,104.10
2007-11-30,41,103.74
2007-12-07,36,105.44
2007-12-14,38,98.50
2007-12-21,33,98.45
2007-12-28,31,95.34
2008-01-04,33,87.74
2008-01-11,36,91.09
2008-01-18,36,90.33
2008-01-25,33,98.35
2008-02-01,31,108.42
2008-02-08,32,103.15
2008-02-15,33,105.75
2008-02-22,35,109.58
