Date,Macerich,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,48.86
2004-02-13,0,50.10
2004-02-20,0,48.78
2004-02-27,0,49.40
2004-03-05,0,51.74
2004-03-12,0,52.00
2004-03-19,0,52.33
2004-03-26,0,51.85
2004-04-02,0,53.44
2004-04-09,0,
2004-04-16,0,44.47
2004-04-23,0,43.06
2004-04-30,0,41.87
2004-05-07,0,40.70
2004-05-14,0,41.30
2004-05-21,0,42.40
2004-05-28,0,45.25
2004-06-04,0,45.30
2004-06-11,0,
2004-06-18,0,47.30
2004-06-25,0,47.70
2004-07-02,0,49.25
2004-07-09,0,48.68
2004-07-16,0,48.79
2004-07-23,0,46.60
2004-07-30,0,47.90
2004-08-06,0,48.55
2004-08-13,0,48.01
2004-08-20,0,50.98
2004-08-27,0,54.11
2004-09-03,0,54.24
2004-09-10,0,53.90
2004-09-17,0,54.06
2004-09-24,0,52.23
2004-10-01,0,54.10
2004-10-08,0,54.89
2004-10-15,0,56.75
2004-10-22,0,57.57
2004-10-29,0,59.75
2004-11-05,0,57.75
2004-11-12,0,60.58
2004-11-19,0,59.40
2004-11-26,0,60.74
2004-12-03,0,61.95
2004-12-10,0,62.15
2004-12-17,0,64.66
2004-12-24,0,
2004-12-31,0,62.80
2005-01-07,0,58.00
2005-01-14,0,58.33
2005-01-21,0,59.50
2005-01-28,0,56.80
2005-02-04,0,59.61
2005-02-11,0,60.00
2005-02-18,0,59.74
2005-02-25,0,57.73
2005-03-04,0,58.94
2005-03-11,0,56.10
2005-03-18,0,56.40
2005-03-25,0,
2005-04-01,0,54.20
2005-04-08,0,54.30
2005-04-15,0,56.22
2005-04-22,0,57.85
2005-04-29,100,60.30
2005-05-06,0,59.12
2005-05-13,0,59.80
2005-05-20,0,63.35
2005-05-27,0,61.50
2005-06-03,0,62.05
2005-06-10,0,64.39
2005-06-17,0,65.35
2005-06-24,0,67.04
2005-07-01,0,67.40
2005-07-08,0,68.08
2005-07-15,0,67.00
2005-07-22,0,67.54
2005-07-29,0,70.22
2005-08-05,0,65.75
2005-08-12,0,64.90
2005-08-19,0,64.03
2005-08-26,0,63.62
2005-09-02,0,65.06
2005-09-09,0,65.76
2005-09-16,0,65.00
2005-09-23,0,62.61
2005-09-30,0,64.94
2005-10-07,0,62.59
2005-10-14,0,62.65
2005-10-21,0,62.92
2005-10-28,0,64.00
2005-11-04,0,62.15
2005-11-11,0,65.43
2005-11-18,0,66.76
2005-11-25,0,68.58
2005-12-02,0,68.37
2005-12-09,0,67.63
2005-12-16,0,67.77
2005-12-23,0,68.50
2005-12-30,0,67.14
2006-01-06,0,70.83
2006-01-13,0,70.10
2006-01-20,0,69.65
2006-01-27,0,71.76
2006-02-03,0,70.71
2006-02-10,58,69.95
2006-02-17,0,71.20
2006-02-24,0,72.30
2006-03-03,0,71.10
2006-03-10,0,72.40
2006-03-17,0,74.34
2006-03-24,0,72.44
2006-03-31,0,73.95
2006-04-07,0,71.45
2006-04-14,0,
2006-04-21,0,73.66
2006-04-28,0,73.22
2006-05-05,0,74.05
2006-05-12,0,70.80
2006-05-19,0,69.44
2006-05-26,0,69.53
2006-06-02,0,71.25
2006-06-09,0,71.19
2006-06-16,0,70.05
2006-06-23,0,68.11
2006-06-30,0,70.20
2006-07-07,0,71.07
2006-07-14,0,71.00
2006-07-21,0,70.02
2006-07-28,0,72.50
2006-08-04,53,71.78
2006-08-11,0,70.40
2006-08-18,0,72.17
2006-08-25,0,72.50
2006-09-01,0,73.68
2006-09-08,0,73.70
2006-09-15,0,76.44
2006-09-22,0,75.85
2006-09-29,0,76.36
2006-10-06,0,77.90
2006-10-13,0,78.65
2006-10-20,0,78.14
2006-10-27,0,79.80
2006-11-03,58,77.66
2006-11-10,42,78.21
2006-11-17,42,80.80
2006-11-24,50,86.72
2006-12-01,58,85.74
2006-12-08,42,85.13
2006-12-15,44,83.38
2006-12-22,46,82.57
2006-12-29,48,86.57
2007-01-05,51,85.76
2007-01-12,37,90.55
2007-01-19,37,92.48
2007-01-26,37,93.46
2007-02-02,37,96.60
2007-02-09,37,100.10
2007-02-16,42,98.25
2007-02-23,47,96.24
2007-03-02,52,91.96
2007-03-09,57,93.14
2007-03-16,62,90.67
2007-03-23,0,93.43
2007-03-30,0,92.36
2007-04-06,0,
2007-04-13,0,94.28
2007-04-20,0,95.79
2007-04-27,0,96.05
2007-05-04,39,93.76
2007-05-11,36,93.03
2007-05-18,36,85.65
2007-05-25,36,84.08
2007-06-01,36,89.39
2007-06-08,36,87.31
2007-06-15,0,85.94
2007-06-22,0,83.10
2007-06-29,0,82.42
2007-07-06,0,85.61
2007-07-13,0,84.71
2007-07-20,44,80.33
2007-07-27,44,73.14
2007-08-03,45,74.78
2007-08-10,45,78.94
2007-08-17,46,81.11
2007-08-24,47,81.16
2007-08-31,29,81.22
2007-09-07,29,79.87
2007-09-14,29,82.77
2007-09-21,29,84.43
2007-09-28,29,87.58
2007-10-05,49,91.78
2007-10-12,28,90.88
2007-10-19,28,85.15
2007-10-26,28,85.31
2007-11-02,28,82.08
2007-11-09,32,78.54
2007-11-16,29,78.96
2007-11-23,30,75.80
2007-11-30,38,77.65
2007-12-07,0,80.10
2007-12-14,0,74.61
2007-12-21,0,73.86
2007-12-28,0,70.63
2008-01-04,0,64.86
2008-01-11,34,61.52
2008-01-18,30,58.91
2008-01-25,30,66.03
2008-02-01,25,72.13
2008-02-08,25,64.07
2008-02-15,27,65.56
2008-02-22,32,64.15
2008-02-29,26,64.00
2008-03-07,43,61.17
2008-03-14,25,61.60
2008-03-21,25,
2008-03-28,24,68.57
2008-04-04,42,72.85
2008-04-11,44,69.85
2008-04-18,33,73.27
2008-04-25,33,74.75
2008-05-02,34,75.15
2008-05-09,36,73.15
2008-05-16,28,73.74
2008-05-23,28,69.97
2008-05-30,28,71.53
2008-06-06,34,69.45
2008-06-13,26,67.25
2008-06-20,23,66.18
2008-06-27,31,62.10
2008-07-04,32,
2008-07-11,33,57.49
2008-07-18,24,56.62
2008-07-25,24,55.69
2008-08-01,28,55.42
2008-08-08,31,60.93
2008-08-15,32,62.60
2008-08-22,25,58.58
2008-08-29,25,61.93
2008-09-05,28,64.11
2008-09-12,45,65.39
2008-09-19,30,67.81
2008-09-26,23,65.10
2008-10-03,27,48.12
2008-10-10,37,43.00
2008-10-17,47,33.70
2008-10-24,44,22.09
2008-10-31,31,29.42
2008-11-07,29,29.26
2008-11-14,51,17.11
2008-11-21,31,10.75
2008-11-28,32,13.46
2008-12-05,27,10.93
2008-12-12,46,14.29
2008-12-19,55,20.84
2008-12-26,29,20.27
2009-01-02,29,18.41
2009-01-09,29,17.26
2009-01-16,32,16.77
2009-01-23,27,16.07
2009-01-30,27,14.74
2009-02-06,25,15.09
2009-02-13,34,13.54
2009-02-20,44,11.20
2009-02-27,36,11.42
2009-03-06,35,7.17
2009-03-13,42,8.54
2009-03-20,21,6.19
2009-03-27,19,5.80
2009-04-03,35,9.84
2009-04-10,24,
2009-04-17,33,15.36
2009-04-24,26,16.28
2009-05-01,39,16.67
2009-05-08,44,19.30
2009-05-15,34,15.02
2009-05-22,36,15.96
2009-05-29,22,16.88
2009-06-05,22,20.71
2009-06-12,25,19.62
2009-06-19,29,18.44
2009-06-26,27,17.61
2009-07-03,24,
2009-07-10,37,14.96
2009-07-17,35,17.13
2009-07-24,30,18.93
2009-07-31,21,19.67
2009-08-07,42,27.40
2009-08-14,30,26.33
2009-08-21,31,25.72
2009-08-28,20,30.04
2009-09-04,29,26.18
2009-09-11,22,29.45
2009-09-18,33,33.69
2009-09-25,30,30.52
2009-10-02,32,27.88
2009-10-09,31,29.99
2009-10-16,20,29.16
2009-10-23,15,31.02
2009-10-30,33,29.80
2009-11-06,25,29.99
2009-11-13,21,32.50
2009-11-20,16,30.02
2009-11-27,29,28.44
2009-12-04,28,30.34
2009-12-11,22,31.21
2009-12-18,19,32.89
2009-12-25,17,
2010-01-01,17,
2010-01-08,15,32.84
2010-01-15,15,32.78
2010-01-22,16,31.55
2010-01-29,18,30.85
2010-02-05,23,31.31
2010-02-12,17,30.85
2010-02-19,17,33.64
2010-02-26,17,35.64
2010-03-05,24,38.58
2010-03-12,20,39.19
2010-03-19,17,39.40
2010-03-26,20,39.28
2010-04-02,23,
2010-04-09,27,41.99
2010-04-16,16,39.83
2010-04-23,42,45.00
2010-04-30,22,44.71
2010-05-07,26,40.75
2010-05-14,16,43.31
2010-05-21,26,40.33
2010-05-28,23,41.36
2010-06-04,20,37.81
2010-06-11,15,40.96
2010-06-18,15,42.91
2010-06-25,25,40.27
2010-07-02,19,36.59
2010-07-09,17,39.58
2010-07-16,25,37.51
2010-07-23,25,40.12
2010-07-30,25,41.45
2010-08-06,22,41.73
2010-08-13,30,39.29
2010-08-20,17,39.79
2010-08-27,16,40.81
2010-09-03,16,44.00
2010-09-10,17,42.21
2010-09-17,19,43.34
2010-09-24,23,43.27
2010-10-01,24,43.87
2010-10-08,19,43.64
2010-10-15,17,43.45
2010-10-22,19,44.63
2010-10-29,22,44.58
2010-11-05,23,49.40
2010-11-12,20,45.73
2010-11-19,20,45.20
2010-11-26,15,46.32
2010-12-03,15,48.24
2010-12-10,23,44.94
2010-12-17,11,45.10
2010-12-24,18,
2010-12-31,18,47.37
2011-01-07,15,46.43
2011-01-14,20,47.14
2011-01-21,13,46.31
2011-01-28,18,47.91
2011-02-04,16,48.39
2011-02-11,31,49.37
2011-02-18,17,49.27
2011-02-25,22,48.62
2011-03-04,17,48.36
2011-03-11,17,48.24
2011-03-18,18,47.87
2011-03-25,15,48.01
2011-04-01,18,49.11
2011-04-08,14,47.67
2011-04-15,22,49.88
2011-04-22,20,
2011-04-29,25,52.82
2011-05-06,13,49.97
2011-05-13,20,50.66
2011-05-20,17,52.15
2011-05-27,16,52.89
2011-06-03,14,52.84
2011-06-10,25,49.91
2011-06-17,13,50.54
2011-06-24,13,51.49
2011-07-01,13,54.18
2011-07-08,15,56.20
2011-07-15,10,53.92
2011-07-22,17,54.86
2011-07-29,31,53.13
2011-08-05,18,45.94
2011-08-12,18,49.00
2011-08-19,13,45.28
2011-08-26,18,46.04
2011-09-02,10,45.67
2011-09-09,15,45.06
2011-09-16,9,48.05
2011-09-23,9,44.08
2011-09-30,12,42.63
2011-10-07,13,41.51
2011-10-14,23,44.53
2011-10-21,17,47.26
2011-10-28,15,50.00
2011-11-04,16,50.24
2011-11-11,14,50.45
2011-11-18,13,49.04
2011-11-25,9,46.04
2011-12-02,20,48.86
2011-12-09,9,49.96
2011-12-16,14,49.20
2011-12-23,17,51.18
2011-12-30,14,50.60
2012-01-06,14,51.68
2012-01-13,23,52.00
2012-01-20,14,54.50
2012-01-27,18,55.01
2012-02-03,19,55.12
2012-02-10,16,55.02
2012-02-17,18,55.47
2012-02-24,14,54.34
2012-03-02,14,54.90
2012-03-09,14,54.43
2012-03-16,13,56.01
2012-03-23,11,55.63
2012-03-30,22,57.75
2012-04-06,15,
2012-04-13,19,57.86
2012-04-20,13,59.54
2012-04-27,19,61.90
2012-05-04,24,61.96
2012-05-11,12,60.80
2012-05-18,19,55.86
2012-05-25,19,57.96
2012-06-01,17,55.38
2012-06-08,14,57.27
2012-06-15,18,56.17
2012-06-22,10,56.92
2012-06-29,16,59.05
2012-07-06,12,59.68
2012-07-13,12,58.82
2012-07-20,14,57.11
2012-07-27,15,58.36
2012-08-03,17,58.71
2012-08-10,12,57.27
2012-08-17,10,57.72
2012-08-24,17,59.65
2012-08-31,13,59.57
2012-09-07,16,60.82
2012-09-14,8,61.34
2012-09-21,15,58.92
2012-09-28,14,57.23
2012-10-05,15,58.43
2012-10-12,13,59.03
2012-10-19,14,58.91
2012-10-26,14,57.06
2012-11-02,13,57.54
2012-11-09,11,56.00
2012-11-16,10,55.38
2012-11-23,11,56.97
2012-11-30,13,56.50
2012-12-07,15,57.90
2012-12-14,12,57.85
2012-12-21,18,58.48
2012-12-28,12,57.60
2013-01-04,12,59.00
2013-01-11,12,57.94
2013-01-18,13,58.61
2013-01-25,10,59.34
2013-02-01,12,60.46
2013-02-08,13,61.64
2013-02-15,15,61.53
2013-02-22,14,60.50
2013-03-01,15,60.11
2013-03-08,13,62.01
2013-03-15,13,62.61
2013-03-22,10,62.87
2013-03-29,10,
2013-04-05,13,65.06
2013-04-12,17,67.54
2013-04-19,12,67.18
2013-04-26,11,68.80
2013-05-03,16,70.42
2013-05-10,14,70.24
2013-05-17,17,70.41
2013-05-24,11,66.86
2013-05-31,11,64.91
2013-06-07,10,62.75
2013-06-14,16,62.25
2013-06-21,11,58.45
2013-06-28,12,60.97
2013-07-05,8,61.40
2013-07-12,13,63.78
2013-07-19,11,65.35
2013-07-26,10,63.63
2013-08-02,20,61.85
2013-08-09,12,61.81
2013-08-16,14,56.72
2013-08-23,11,56.72
2013-08-30,15,56.28
2013-09-06,12,56.61
2013-09-13,12,57.20
2013-09-20,8,58.12
2013-09-27,9,57.26
2013-10-04,10,55.68
2013-10-11,11,56.25
2013-10-18,14,59.09
2013-10-25,14,59.76
2013-11-01,14,59.93
2013-11-08,18,56.56
2013-11-15,12,58.89
2013-11-22,14,57.67
2013-11-29,10,56.94
2013-12-06,11,60.49
2013-12-13,16,58.51
2013-12-20,13,58.96
2013-12-27,10,59.17
2014-01-03,8,58.69
2014-01-10,11,58.91
2014-01-17,12,58.04
2014-01-24,12,57.10
2014-01-31,16,56.60
2014-02-07,12,59.23
2014-02-14,7,60.90
2014-02-21,13,60.67
2014-02-28,14,60.13
2014-03-07,13,60.25
2014-03-14,12,59.97
2014-03-21,11,60.56
2014-03-28,13,61.69
2014-04-04,9,62.67
2014-04-11,8,63.09
2014-04-18,14,
2014-04-25,11,63.92
2014-05-02,0,
