Date,Jacobs Engineering Group,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,45.05
2004-02-13,0,43.18
2004-02-20,0,42.25
2004-02-27,0,44.13
2004-03-05,0,43.73
2004-03-12,0,42.16
2004-03-19,0,43.24
2004-03-26,0,43.58
2004-04-02,0,44.20
2004-04-09,0,
2004-04-16,0,43.91
2004-04-23,0,43.65
2004-04-30,0,41.71
2004-05-07,0,39.92
2004-05-14,0,41.95
2004-05-21,0,41.45
2004-05-28,0,44.60
2004-06-04,0,44.58
2004-06-11,0,
2004-06-18,0,43.86
2004-06-25,0,46.22
2004-07-02,0,39.20
2004-07-09,0,38.01
2004-07-16,0,39.12
2004-07-23,0,38.18
2004-07-30,0,39.98
2004-08-06,0,37.83
2004-08-13,0,37.21
2004-08-20,0,39.17
2004-08-27,0,39.63
2004-09-03,0,39.30
2004-09-10,0,38.49
2004-09-17,0,38.45
2004-09-24,0,38.60
2004-10-01,0,39.10
2004-10-08,0,39.10
2004-10-15,0,38.72
2004-10-22,0,39.02
2004-10-29,0,40.73
2004-11-05,0,42.90
2004-11-12,0,43.35
2004-11-19,0,43.39
2004-11-26,0,45.22
2004-12-03,0,45.31
2004-12-10,0,46.17
2004-12-17,0,47.90
2004-12-24,0,
2004-12-31,0,47.79
2005-01-07,0,45.39
2005-01-14,0,45.86
2005-01-21,0,45.00
2005-01-28,0,49.60
2005-02-04,0,51.85
2005-02-11,0,51.69
2005-02-18,0,53.75
2005-02-25,0,56.21
2005-03-04,0,56.14
2005-03-11,0,53.90
2005-03-18,0,54.22
2005-03-25,0,
2005-04-01,0,51.81
2005-04-08,0,53.14
2005-04-15,0,49.63
2005-04-22,0,50.03
2005-04-29,0,48.71
2005-05-06,0,51.05
2005-05-13,0,51.73
2005-05-20,0,53.37
2005-05-27,0,52.69
2005-06-03,0,52.11
2005-06-10,0,54.11
2005-06-17,0,54.88
2005-06-24,0,53.30
2005-07-01,0,56.45
2005-07-08,0,56.26
2005-07-15,0,57.54
2005-07-22,0,57.18
2005-07-29,0,58.88
2005-08-05,0,59.30
2005-08-12,0,60.00
2005-08-19,0,57.20
2005-08-26,0,57.25
2005-09-02,0,61.80
2005-09-09,0,63.33
2005-09-16,0,61.87
2005-09-23,0,63.91
2005-09-30,0,67.40
2005-10-07,0,61.50
2005-10-14,0,60.26
2005-10-21,0,59.94
2005-10-28,0,61.41
2005-11-04,0,62.90
2005-11-11,0,62.00
2005-11-18,0,64.19
2005-11-25,0,65.50
2005-12-02,0,65.77
2005-12-09,0,65.37
2005-12-16,0,66.69
2005-12-23,0,68.77
2005-12-30,0,67.87
2006-01-06,0,70.89
2006-01-13,0,72.41
2006-01-20,0,70.92
2006-01-27,0,80.23
2006-02-03,0,81.94
2006-02-10,0,82.62
2006-02-17,0,83.11
2006-02-24,0,86.96
2006-03-03,0,85.63
2006-03-10,0,81.76
2006-03-17,0,85.72
2006-03-24,0,86.66
2006-03-31,0,86.74
2006-04-07,0,89.91
2006-04-14,0,
2006-04-21,0,92.92
2006-04-28,0,82.70
2006-05-05,0,86.92
2006-05-12,0,86.40
2006-05-19,0,77.98
2006-05-26,0,78.47
2006-06-02,0,80.17
2006-06-09,0,74.71
2006-06-16,0,75.17
2006-06-23,0,76.81
2006-06-30,0,79.64
2006-07-07,0,75.97
2006-07-14,0,73.75
2006-07-21,0,69.90
2006-07-28,0,81.65
2006-08-04,0,84.32
2006-08-11,0,83.16
2006-08-18,0,86.41
2006-08-25,0,84.53
2006-09-01,0,87.30
2006-09-08,0,83.34
2006-09-15,0,79.98
2006-09-22,0,72.12
2006-09-29,0,74.73
2006-10-06,0,74.72
2006-10-13,0,76.38
2006-10-20,0,74.65
2006-10-27,0,75.54
2006-11-03,0,78.80
2006-11-10,0,80.35
2006-11-17,0,80.82
2006-11-24,0,83.00
2006-12-01,0,83.76
2006-12-08,0,83.42
2006-12-15,0,83.47
2006-12-22,0,81.60
2006-12-29,0,81.54
2007-01-05,0,77.84
2007-01-12,0,80.84
2007-01-19,0,81.40
2007-01-26,0,88.24
2007-02-02,0,93.40
2007-02-09,0,90.30
2007-02-16,0,92.76
2007-02-23,0,93.12
2007-03-02,0,88.80
2007-03-09,0,90.84
2007-03-16,0,44.32
2007-03-23,0,47.35
2007-03-30,0,46.65
2007-04-06,0,
2007-04-13,0,49.46
2007-04-20,0,50.44
2007-04-27,0,51.49
2007-05-04,0,52.37
2007-05-11,0,53.75
2007-05-18,98,55.10
2007-05-25,0,55.12
2007-06-01,0,58.96
2007-06-08,0,55.95
2007-06-15,0,59.52
2007-06-22,0,56.71
2007-06-29,0,57.51
2007-07-06,0,59.59
2007-07-13,76,64.58
2007-07-20,0,65.85
2007-07-27,0,59.56
2007-08-03,0,60.97
2007-08-10,0,68.24
2007-08-17,0,60.21
2007-08-24,100,64.80
2007-08-31,0,66.09
2007-09-07,0,66.06
2007-09-14,0,71.00
2007-09-21,0,77.16
2007-09-28,0,75.58
2007-10-05,0,82.58
2007-10-12,0,85.21
2007-10-19,0,82.00
2007-10-26,0,86.17
2007-11-02,0,83.80
2007-11-09,0,83.32
2007-11-16,61,77.90
2007-11-23,0,77.61
2007-11-30,0,83.77
2007-12-07,0,94.08
2007-12-14,0,95.31
2007-12-21,0,96.33
2007-12-28,0,98.08
2008-01-04,70,96.61
2008-01-11,84,88.71
2008-01-18,98,74.21
2008-01-25,62,77.18
2008-02-01,62,80.22
2008-02-08,61,72.84
2008-02-15,61,75.82
2008-02-22,61,81.07
2008-02-29,66,80.29
2008-03-07,71,76.02
2008-03-14,70,73.04
2008-03-21,70,
2008-03-28,70,74.09
2008-04-04,70,80.74
2008-04-11,70,77.23
2008-04-18,59,85.11
2008-04-25,53,89.21
2008-05-02,53,88.47
2008-05-09,53,86.76
2008-05-16,53,96.45
2008-05-23,0,91.65
2008-05-30,0,94.78
2008-06-06,0,88.67
2008-06-13,0,90.01
2008-06-20,0,87.35
2008-06-27,0,81.17
2008-07-04,0,
2008-07-11,0,78.08
2008-07-18,0,81.41
2008-07-25,56,79.23
2008-08-01,66,76.81
2008-08-08,77,72.82
2008-08-15,0,74.72
2008-08-22,0,75.79
2008-08-29,0,73.82
2008-09-05,0,64.57
2008-09-12,0,64.61
2008-09-19,49,64.41
2008-09-26,53,55.04
2008-10-03,52,44.60
2008-10-10,52,35.78
2008-10-17,50,38.10
2008-10-24,50,30.48
2008-10-31,51,36.43
2008-11-07,52,35.60
2008-11-14,49,31.01
2008-11-21,49,29.36
2008-11-28,49,44.77
2008-12-05,49,42.43
2008-12-12,54,46.80
2008-12-19,59,45.99
2008-12-26,46,44.65
2009-01-02,46,50.42
2009-01-09,46,51.15
2009-01-16,46,48.36
2009-01-23,46,40.71
2009-01-30,55,38.67
2009-02-06,54,42.04
2009-02-13,62,40.41
2009-02-20,62,35.65
2009-02-27,62,33.74
2009-03-06,57,32.71
2009-03-13,52,40.35
2009-03-20,52,37.31
2009-03-27,52,41.32
2009-04-03,48,43.17
2009-04-10,43,
2009-04-17,42,46.60
2009-04-24,43,45.66
2009-05-01,43,38.11
2009-05-08,44,42.37
2009-05-15,47,38.58
2009-05-22,63,38.36
2009-05-29,43,42.90
2009-06-05,70,43.62
2009-06-12,69,44.33
2009-06-19,69,42.27
2009-06-26,71,41.37
2009-07-03,74,
2009-07-10,76,37.28
2009-07-17,56,39.99
2009-07-24,56,42.28
2009-07-31,56,40.98
2009-08-07,44,43.74
2009-08-14,56,43.78
2009-08-21,40,46.79
2009-08-28,61,44.65
2009-09-04,74,44.85
2009-09-11,37,46.64
2009-09-18,40,48.53
2009-09-25,47,45.16
2009-10-02,35,43.51
2009-10-09,53,44.09
2009-10-16,45,46.17
2009-10-23,45,46.92
2009-10-30,55,42.29
2009-11-06,38,43.81
2009-11-13,64,43.95
2009-11-20,54,36.59
2009-11-27,48,35.58
2009-12-04,48,34.94
2009-12-11,48,34.57
2009-12-18,48,37.74
2009-12-25,46,
2010-01-01,46,
2010-01-08,46,41.74
2010-01-15,48,40.27
2010-01-22,53,39.66
2010-01-29,50,37.79
2010-02-05,84,35.93
2010-02-12,43,36.50
2010-02-19,38,39.32
2010-02-26,42,38.80
2010-03-05,49,41.44
2010-03-12,55,43.55
2010-03-19,43,43.10
2010-03-26,58,44.87
2010-04-02,54,
2010-04-09,54,47.61
2010-04-16,73,46.90
2010-04-23,49,49.21
2010-04-30,50,48.22
2010-05-07,44,42.35
2010-05-14,44,46.11
2010-05-21,50,42.06
2010-05-28,38,41.76
2010-06-04,32,40.14
2010-06-11,38,40.82
2010-06-18,45,41.62
2010-06-25,32,39.50
2010-07-02,57,35.43
2010-07-09,30,37.97
2010-07-16,30,36.19
2010-07-23,30,39.30
2010-07-30,30,36.57
2010-08-06,30,36.71
2010-08-13,50,35.16
2010-08-20,37,35.40
2010-08-27,37,35.54
2010-09-03,27,37.12
2010-09-10,27,36.84
2010-09-17,27,36.11
2010-09-24,30,37.41
2010-10-01,27,39.01
2010-10-08,27,40.23
2010-10-15,26,39.38
2010-10-22,26,39.21
2010-10-29,26,38.61
2010-11-05,26,42.48
2010-11-12,26,41.72
2010-11-19,28,40.33
2010-11-26,30,38.91
2010-12-03,32,41.28
2010-12-10,39,42.86
2010-12-17,45,43.52
2010-12-24,35,
2010-12-31,35,45.85
2011-01-07,35,45.27
2011-01-14,23,51.02
2011-01-21,23,49.72
2011-01-28,23,49.95
2011-02-04,32,52.10
2011-02-11,37,52.14
2011-02-18,30,51.55
2011-02-25,25,49.67
2011-03-04,23,49.60
2011-03-11,30,49.08
2011-03-18,34,48.66
2011-03-25,28,48.73
2011-04-01,23,51.54
2011-04-08,23,50.59
2011-04-15,39,49.59
2011-04-22,34,
2011-04-29,26,49.61
2011-05-06,23,47.04
2011-05-13,23,46.59
2011-05-20,46,46.25
2011-05-27,46,45.38
2011-06-03,49,43.46
2011-06-10,52,41.51
2011-06-17,43,40.95
2011-06-24,30,40.88
2011-07-01,30,43.35
2011-07-08,28,43.48
2011-07-15,26,41.56
2011-07-22,30,42.81
2011-07-29,53,39.14
2011-08-05,23,35.64
2011-08-12,25,35.23
2011-08-19,36,31.88
2011-08-26,22,35.25
2011-09-02,30,35.03
2011-09-09,23,35.23
2011-09-16,44,36.54
2011-09-23,33,33.76
2011-09-30,25,32.29
2011-10-07,33,34.17
2011-10-14,45,37.81
2011-10-21,24,37.96
2011-10-28,24,40.39
2011-11-04,26,39.24
2011-11-11,28,38.96
2011-11-18,22,40.69
2011-11-25,22,38.51
2011-12-02,21,42.05
2011-12-09,22,42.53
2011-12-16,23,39.81
2011-12-23,25,40.89
2011-12-30,24,40.58
2012-01-06,29,41.17
2012-01-13,20,43.00
2012-01-20,18,45.29
2012-01-27,28,45.19
2012-02-03,34,47.21
2012-02-10,27,45.85
2012-02-17,24,45.55
2012-02-24,20,47.19
2012-03-02,24,47.18
2012-03-09,44,45.40
2012-03-16,20,46.89
2012-03-23,27,44.90
2012-03-30,25,44.37
2012-04-06,22,
2012-04-13,32,42.90
2012-04-20,25,43.18
2012-04-27,25,44.60
2012-05-04,22,39.55
2012-05-11,23,38.86
2012-05-18,23,36.14
2012-05-25,41,36.96
2012-06-01,25,34.95
2012-06-08,25,36.44
2012-06-15,25,35.94
2012-06-22,29,35.40
2012-06-29,22,37.86
2012-07-06,22,37.51
2012-07-13,23,37.24
2012-07-20,25,37.89
2012-07-27,36,39.45
2012-08-03,27,38.99
2012-08-10,24,39.34
2012-08-17,28,41.00
2012-08-24,26,40.40
2012-08-31,17,39.54
2012-09-07,19,40.20
2012-09-14,21,43.32
2012-09-21,24,42.78
2012-09-28,27,40.43
2012-10-05,27,41.21
2012-10-12,20,39.96
2012-10-19,35,39.62
2012-10-26,21,38.43
2012-11-02,21,38.77
2012-11-09,18,39.00
2012-11-16,34,38.95
2012-11-23,25,40.38
2012-11-30,25,40.94
2012-12-07,26,42.11
2012-12-14,19,41.34
2012-12-21,19,42.91
2012-12-28,19,41.73
2013-01-04,20,43.92
2013-01-11,23,44.95
2013-01-18,24,46.05
2013-01-25,25,48.46
2013-02-01,24,48.33
2013-02-08,25,48.08
2013-02-15,31,49.35
2013-02-22,36,49.10
2013-03-01,20,48.00
2013-03-08,39,51.82
2013-03-15,31,53.71
2013-03-22,18,54.49
2013-03-29,18,
2013-04-05,14,53.35
2013-04-12,17,53.08
2013-04-19,17,50.04
2013-04-26,22,51.65
2013-05-03,24,50.63
2013-05-10,26,51.00
2013-05-17,28,54.09
2013-05-24,30,54.99
2013-05-31,14,57.01
2013-06-07,14,56.93
2013-06-14,17,55.83
2013-06-21,17,55.86
2013-06-28,21,55.13
2013-07-05,15,55.36
2013-07-12,23,57.76
2013-07-19,20,59.52
2013-07-26,19,58.99
2013-08-02,22,62.33
2013-08-09,15,60.88
2013-08-16,19,61.42
2013-08-23,29,59.87
2013-08-30,19,58.28
2013-09-06,26,58.08
2013-09-13,15,57.90
2013-09-20,20,59.06
2013-09-27,22,57.79
2013-10-04,31,57.54
2013-10-11,29,58.15
2013-10-18,18,59.62
2013-10-25,15,60.56
2013-11-01,29,60.93
2013-11-08,16,61.99
2013-11-15,19,63.76
2013-11-22,21,60.09
2013-11-29,20,59.77
2013-12-06,13,58.48
2013-12-13,13,56.76
2013-12-20,14,61.20
2013-12-27,15,61.73
2014-01-03,16,62.29
2014-01-10,27,63.73
2014-01-17,19,65.73
2014-01-24,21,63.00
2014-01-31,24,60.71
2014-02-07,25,59.84
2014-02-14,21,60.47
2014-02-21,25,60.10
2014-02-28,21,60.65
2014-03-07,21,63.09
2014-03-14,34,62.59
2014-03-21,25,64.82
2014-03-28,25,63.12
2014-04-04,16,63.89
2014-04-11,19,61.45
2014-04-18,21,
2014-04-25,13,62.10
2014-05-02,0,
