Date,LSI Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,10.68
2004-02-13,0,10.51
2004-02-20,0,10.42
2004-02-27,0,10.10
2004-03-05,0,10.29
2004-03-12,0,9.44
2004-03-19,0,8.92
2004-03-26,0,9.46
2004-04-02,0,9.84
2004-04-09,0,
2004-04-16,0,8.85
2004-04-23,0,8.98
2004-04-30,0,7.44
2004-05-07,0,7.47
2004-05-14,0,7.33
2004-05-21,0,7.40
2004-05-28,0,8.20
2004-06-04,0,7.63
2004-06-11,0,
2004-06-18,0,7.40
2004-06-25,0,7.53
2004-07-02,0,7.23
2004-07-09,0,6.75
2004-07-16,0,6.38
2004-07-23,0,6.14
2004-07-30,0,5.09
2004-08-06,0,4.71
2004-08-13,0,4.52
2004-08-20,0,5.01
2004-08-27,0,5.02
2004-09-03,0,4.58
2004-09-10,0,5.19
2004-09-17,0,4.43
2004-09-24,0,4.21
2004-10-01,0,4.41
2004-10-08,0,4.36
2004-10-15,0,4.29
2004-10-22,0,4.72
2004-10-29,0,4.55
2004-11-05,0,4.79
2004-11-12,0,4.88
2004-11-19,0,5.67
2004-11-26,0,5.43
2004-12-03,0,5.39
2004-12-10,0,5.09
2004-12-17,0,5.24
2004-12-24,0,
2004-12-31,0,5.48
2005-01-07,0,5.83
2005-01-14,0,5.56
2005-01-21,0,5.45
2005-01-28,0,5.82
2005-02-04,0,6.03
2005-02-11,0,6.40
2005-02-18,0,6.26
2005-02-25,0,6.38
2005-03-04,0,6.38
2005-03-11,0,6.06
2005-03-18,0,6.03
2005-03-25,0,
2005-04-01,0,5.51
2005-04-08,0,5.58
2005-04-15,0,5.12
2005-04-22,0,5.31
2005-04-29,0,5.36
2005-05-06,0,5.67
2005-05-13,0,6.09
2005-05-20,0,6.16
2005-05-27,0,6.91
2005-06-03,0,7.58
2005-06-10,0,7.91
2005-06-17,0,7.93
2005-06-24,0,8.45
2005-07-01,0,8.69
2005-07-08,0,9.77
2005-07-15,0,10.11
2005-07-22,0,10.22
2005-07-29,0,9.76
2005-08-05,0,9.50
2005-08-12,0,9.12
2005-08-19,0,9.70
2005-08-26,0,9.67
2005-09-02,0,9.66
2005-09-09,0,10.00
2005-09-16,0,9.50
2005-09-23,0,9.28
2005-09-30,0,9.85
2005-10-07,0,8.99
2005-10-14,0,8.53
2005-10-21,0,8.36
2005-10-28,0,7.89
2005-11-04,0,8.41
2005-11-11,0,7.90
2005-11-18,0,7.97
2005-11-25,0,8.25
2005-12-02,0,8.71
2005-12-09,0,8.59
2005-12-16,0,8.17
2005-12-23,0,8.21
2005-12-30,0,8.00
2006-01-06,0,9.06
2006-01-13,0,8.86
2006-01-20,0,8.62
2006-01-27,0,9.37
2006-02-03,0,9.08
2006-02-10,0,9.26
2006-02-17,0,9.50
2006-02-24,0,9.56
2006-03-03,0,9.76
2006-03-10,0,10.31
2006-03-17,0,11.18
2006-03-24,0,11.00
2006-03-31,0,11.56
2006-04-07,0,11.39
2006-04-14,0,
2006-04-21,0,10.00
2006-04-28,0,10.65
2006-05-05,0,10.92
2006-05-12,0,10.36
2006-05-19,0,9.78
2006-05-26,0,10.10
2006-06-02,0,9.98
2006-06-09,0,8.93
2006-06-16,0,8.84
2006-06-23,0,8.60
2006-06-30,0,8.95
2006-07-07,0,8.83
2006-07-14,0,8.19
2006-07-21,0,7.73
2006-07-28,0,7.98
2006-08-04,0,8.41
2006-08-11,0,7.82
2006-08-18,0,8.05
2006-08-25,0,7.46
2006-09-01,0,8.01
2006-09-08,0,8.09
2006-09-15,0,8.49
2006-09-22,0,8.24
2006-09-29,0,8.22
2006-10-06,0,8.08
2006-10-13,0,8.59
2006-10-20,0,8.44
2006-10-27,0,9.90
2006-11-03,0,9.61
2006-11-10,0,10.23
2006-11-17,0,10.94
2006-11-24,0,10.84
2006-12-01,0,10.56
2006-12-08,0,9.35
2006-12-15,0,9.44
2006-12-22,0,9.24
2006-12-29,0,9.00
2007-01-05,0,9.20
2007-01-12,0,10.39
2007-01-19,0,10.26
2007-01-26,0,9.74
2007-02-02,0,9.28
2007-02-09,0,9.19
2007-02-16,0,9.35
2007-02-23,0,9.77
2007-03-02,0,9.96
2007-03-09,0,9.79
2007-03-16,0,10.09
2007-03-23,0,10.27
2007-03-30,0,10.44
2007-04-06,0,
2007-04-13,0,9.78
2007-04-20,0,9.85
2007-04-27,0,8.79
2007-05-04,0,8.38
2007-05-11,0,8.39
2007-05-18,73,8.24
2007-05-25,71,8.25
2007-06-01,71,8.95
2007-06-08,71,8.36
2007-06-15,71,8.25
2007-06-22,79,8.34
2007-06-29,86,7.51
2007-07-06,0,7.87
2007-07-13,0,7.79
2007-07-20,0,7.91
2007-07-27,0,7.51
2007-08-03,0,6.62
2007-08-10,0,6.57
2007-08-17,0,6.20
2007-08-24,83,6.81
2007-08-31,0,6.89
2007-09-07,0,6.81
2007-09-14,0,7.11
2007-09-21,0,6.79
2007-09-28,0,7.42
2007-10-05,77,7.71
2007-10-12,64,7.47
2007-10-19,71,7.10
2007-10-26,78,6.55
2007-11-02,81,6.51
2007-11-09,59,6.19
2007-11-16,59,6.05
2007-11-23,61,5.78
2007-11-30,63,5.55
2007-12-07,65,5.85
2007-12-14,63,5.60
2007-12-21,63,5.49
2007-12-28,63,5.26
2008-01-04,63,4.48
2008-01-11,63,4.03
2008-01-18,100,3.97
2008-01-25,55,4.84
2008-02-01,60,5.55
2008-02-08,66,4.89
2008-02-15,71,5.00
2008-02-22,70,5.04
2008-02-29,58,5.04
2008-03-07,58,4.99
2008-03-14,63,4.96
2008-03-21,74,
2008-03-28,86,4.98
2008-04-04,57,5.49
2008-04-11,83,5.46
2008-04-18,57,5.02
2008-04-25,74,6.18
2008-05-02,58,6.45
2008-05-09,58,6.69
2008-05-16,57,6.94
2008-05-23,0,6.73
2008-05-30,0,7.27
2008-06-06,0,7.24
2008-06-13,0,7.00
2008-06-20,0,7.03
2008-06-27,0,6.33
2008-07-04,0,
2008-07-11,0,5.84
2008-07-18,0,6.42
2008-07-25,0,6.96
2008-08-01,0,6.91
2008-08-08,0,7.24
2008-08-15,0,7.65
2008-08-22,0,7.41
2008-08-29,0,6.65
2008-09-05,0,6.47
2008-09-12,71,6.41
2008-09-19,0,5.95
2008-09-26,0,5.73
2008-10-03,0,5.06
2008-10-10,0,4.09
2008-10-17,0,4.07
2008-10-24,0,3.50
2008-10-31,0,3.85
2008-11-07,0,3.71
2008-11-14,0,3.12
2008-11-21,0,2.53
2008-11-28,0,2.68
2008-12-05,0,3.16
2008-12-12,0,3.41
2008-12-19,0,3.88
2008-12-26,0,3.16
2009-01-02,0,3.57
2009-01-09,0,3.43
2009-01-16,58,3.30
2009-01-23,45,3.27
2009-01-30,45,3.18
2009-02-06,44,3.65
2009-02-13,48,3.15
2009-02-20,44,2.62
2009-02-27,44,2.90
2009-03-06,0,2.64
2009-03-13,0,3.14
2009-03-20,0,3.11
2009-03-27,0,3.28
2009-04-03,0,3.68
2009-04-10,0,
2009-04-17,49,3.84
2009-04-24,0,3.88
2009-05-01,0,4.01
2009-05-08,0,4.16
2009-05-15,0,3.79
2009-05-22,0,4.04
2009-05-29,0,4.47
2009-06-05,38,4.19
2009-06-12,41,4.88
2009-06-19,37,4.56
2009-06-26,55,4.66
2009-07-03,61,
2009-07-10,66,4.55
2009-07-17,39,5.26
2009-07-24,39,5.17
2009-07-31,62,5.18
2009-08-07,54,5.16
2009-08-14,54,5.08
2009-08-21,50,5.05
2009-08-28,50,5.29
2009-09-04,50,5.16
2009-09-11,36,5.48
2009-09-18,41,5.45
2009-09-25,46,5.58
2009-10-02,38,5.22
2009-10-09,62,5.67
2009-10-16,40,5.63
2009-10-23,40,5.35
2009-10-30,33,5.12
2009-11-06,56,5.22
2009-11-13,49,5.59
2009-11-20,42,5.47
2009-11-27,43,5.42
2009-12-04,44,5.76
2009-12-11,45,5.57
2009-12-18,46,5.61
2009-12-25,38,
2010-01-01,38,
2010-01-08,38,6.02
2010-01-15,34,5.86
2010-01-22,30,5.73
2010-01-29,33,4.99
2010-02-05,36,5.15
2010-02-12,54,5.39
2010-02-19,34,5.64
2010-02-26,44,5.39
2010-03-05,39,5.64
2010-03-12,32,5.57
2010-03-19,47,6.41
2010-03-26,41,6.36
2010-04-02,78,
2010-04-09,68,6.21
2010-04-16,38,6.48
2010-04-23,38,6.56
2010-04-30,33,6.02
2010-05-07,33,5.47
2010-05-14,33,5.59
2010-05-21,35,5.31
2010-05-28,37,5.33
2010-06-04,39,5.21
2010-06-11,41,5.09
2010-06-18,43,5.27
2010-06-25,34,4.91
2010-07-02,34,4.50
2010-07-09,29,4.81
2010-07-16,29,4.76
2010-07-23,29,4.85
2010-07-30,29,4.03
2010-08-06,29,4.38
2010-08-13,34,4.20
2010-08-20,29,4.42
2010-08-27,27,4.18
2010-09-03,27,4.32
2010-09-10,49,4.18
2010-09-17,37,4.44
2010-09-24,41,4.47
2010-10-01,44,4.55
2010-10-08,28,4.55
2010-10-15,26,4.66
2010-10-22,40,4.69
2010-10-29,43,5.24
2010-11-05,27,5.61
2010-11-12,27,5.52
2010-11-19,29,5.69
2010-11-26,32,5.80
2010-12-03,34,5.97
2010-12-10,27,5.99
2010-12-17,27,6.00
2010-12-24,31,
2010-12-31,35,5.99
2011-01-07,39,6.05
2011-01-14,32,6.22
2011-01-21,44,5.76
2011-01-28,26,6.13
2011-02-04,26,6.36
2011-02-11,25,6.48
2011-02-18,25,6.75
2011-02-25,27,6.42
2011-03-04,29,6.28
2011-03-11,33,6.60
2011-03-18,33,6.39
2011-03-25,22,6.94
2011-04-01,29,6.66
2011-04-08,68,6.63
2011-04-15,43,6.59
2011-04-22,38,
2011-04-29,30,7.33
2011-05-06,33,7.52
2011-05-13,38,7.62
2011-05-20,35,7.51
2011-05-27,33,7.31
2011-06-03,30,7.02
2011-06-10,30,6.81
2011-06-17,24,6.74
2011-06-24,22,6.83
2011-07-01,22,7.25
2011-07-08,23,7.27
2011-07-15,25,6.69
2011-07-22,27,6.71
2011-07-29,45,7.36
2011-08-05,24,6.79
2011-08-12,24,6.99
2011-08-19,24,6.29
2011-08-26,29,6.76
2011-09-02,29,6.59
2011-09-09,28,6.55
2011-09-16,36,6.65
2011-09-23,24,5.79
2011-09-30,34,5.18
2011-10-07,28,5.39
2011-10-14,25,5.94
2011-10-21,30,5.86
2011-10-28,35,6.29
2011-11-04,29,6.28
2011-11-11,19,5.94
2011-11-18,25,5.66
2011-11-25,35,5.10
2011-12-02,26,5.77
2011-12-09,28,5.73
2011-12-16,30,5.42
2011-12-23,31,5.91
2011-12-30,31,5.95
2012-01-06,32,6.72
2012-01-13,32,6.65
2012-01-20,27,7.06
2012-01-27,43,7.74
2012-02-03,47,8.11
2012-02-10,19,8.33
2012-02-17,42,8.28
2012-02-24,30,8.50
2012-03-02,23,8.33
2012-03-09,35,8.73
2012-03-16,24,8.80
2012-03-23,25,8.66
2012-03-30,37,8.68
2012-04-06,32,
2012-04-13,42,8.13
2012-04-20,37,7.93
2012-04-27,21,7.89
2012-05-04,32,7.90
2012-05-11,17,7.74
2012-05-18,21,7.19
2012-05-25,28,6.90
2012-06-01,28,6.33
2012-06-08,22,6.60
2012-06-15,31,6.40
2012-06-22,26,6.37
2012-06-29,26,6.37
2012-07-06,25,6.20
2012-07-13,28,5.85
2012-07-20,24,6.16
2012-07-27,40,7.15
2012-08-03,25,7.29
2012-08-10,30,7.70
2012-08-17,25,7.85
2012-08-24,30,7.59
2012-08-31,32,7.79
2012-09-07,34,7.87
2012-09-14,38,7.89
2012-09-21,33,7.28
2012-09-28,33,6.91
2012-10-05,33,7.10
2012-10-12,26,6.45
2012-10-19,26,6.46
2012-10-26,33,6.88
2012-11-02,28,6.76
2012-11-09,17,6.74
2012-11-16,25,6.41
2012-11-23,22,6.71
2012-11-30,27,6.74
2012-12-07,17,6.96
2012-12-14,17,6.75
2012-12-21,28,7.00
2012-12-28,21,6.92
2013-01-04,21,7.30
2013-01-11,32,7.15
2013-01-18,30,7.33
2013-01-25,28,7.32
2013-02-01,26,7.38
2013-02-08,27,7.17
2013-02-15,22,7.11
2013-02-22,19,7.10
2013-03-01,32,6.89
2013-03-08,33,6.92
2013-03-15,19,6.86
2013-03-22,41,6.61
2013-03-29,26,
2013-04-05,38,6.45
2013-04-12,43,6.40
2013-04-19,38,6.10
2013-04-26,36,6.40
2013-05-03,30,6.72
2013-05-10,27,7.03
2013-05-17,22,7.23
2013-05-24,29,7.22
2013-05-31,15,7.41
2013-06-07,36,7.36
2013-06-14,32,7.31
2013-06-21,24,7.02
2013-06-28,32,7.14
2013-07-05,26,7.38
2013-07-12,28,7.54
2013-07-19,17,7.70
2013-07-26,35,7.67
2013-08-02,30,7.80
2013-08-09,23,7.65
2013-08-16,28,7.48
2013-08-23,18,7.59
2013-08-30,18,7.41
2013-09-06,19,7.76
2013-09-13,22,7.90
2013-09-20,40,7.88
2013-09-27,36,7.89
2013-10-04,21,7.88
2013-10-11,19,7.69
2013-10-18,21,7.99
2013-10-25,32,7.79
2013-11-01,40,8.45
2013-11-08,20,8.25
2013-11-15,18,8.22
2013-11-22,37,8.07
2013-11-29,21,8.07
2013-12-06,15,8.10
2013-12-13,26,7.91
2013-12-20,73,10.94
2013-12-27,19,11.01
2014-01-03,19,11.03
2014-01-10,27,10.97
2014-01-17,24,11.00
2014-01-24,26,11.00
2014-01-31,15,11.03
2014-02-07,36,11.06
2014-02-14,14,11.09
2014-02-21,22,11.08
2014-02-28,29,11.09
2014-03-07,21,11.08
2014-03-14,24,11.09
2014-03-21,28,11.05
2014-03-28,35,11.07
2014-04-04,28,11.07
2014-04-11,24,11.06
2014-04-18,32,
2014-04-25,30,11.13
2014-05-02,47,
